1,2,3,4,5,6,7
sphere2D_-0.3_-16.9_34.6_40.csv,132,40,"[-0.3, -16.9, 34.6]","[-0.3000000000000049, -16.9, 34.599999999999994]",4,3.1226068123876795e-23
sphere2D_-12.1_16.9_10.5_44.csv,148,44,"[-12.1, 16.9, 10.5]","[-12.100000000061671, 16.899999999930742, -10.49999999924413]",3,2.5997049476514835e-14
sphere2D_-12.3_45.3_8.1_18.csv,60,18,"[-12.3, 45.3, 8.1]","[-12.300000000000093, 45.299999999999955, -8.100000000000295]",4,9.883542103592492e-22
sphere2D_-13.0_-26.6_8.7_32.csv,108,32,"[-13.0, -26.6, 8.7]","[-13.000000000000329, -26.600000000000065, -8.700000000002204]",3,1.1133791389408834e-19
sphere2D_-13.1_37.0_12.9_31.csv,103,31,"[-13.1, 37.0, 12.9]","[-13.100000000010226, 36.999999999989555, -12.899999999829516]",3,1.384800606554907e-15
sphere2D_-14.4_-23.6_3.0_7.csv,24,7,"[-14.4, -23.6, 3.0]","[-14.40000001804573, -23.600000008458412, -2.999999997153669]",3,1.1233827583415995e-13
sphere2D_-14.5_37.5_38.7_44.csv,147,44,"[-14.5, 37.5, 38.7]","[-14.50000000008295, 37.50000000001914, -38.700000000014995]",22,2.3050626386454414e-15
sphere2D_-16.8_-45.7_14.9_15.csv,50,15,"[-16.8, -45.7, 14.9]","[-16.799999999639198, -45.6999999996205, -14.899999998099808]",3,1.0882134666666722e-13
sphere2D_-19.4_-20.1_19.0_21.csv,71,21,"[-19.4, -20.1, 19.0]","[-19.400000000001086, -20.10000000000495, -18.999999999963805]",3,9.293324054888145e-17
sphere2D_-19.5_34.6_33.4_32.csv,108,32,"[-19.5, 34.6, 33.4]","[-19.499999999997815, 34.600000000006766, -33.399999999953025]",3,7.415629100371739e-16
sphere2D_-2.1_-1.4_26.9_12.csv,40,12,"[-2.1, -1.4, 26.9]","[-2.099999999999848, -1.4000000000004902, 26.900000000002464]",3,4.775803263793684e-19
sphere2D_-2.5_-24.4_25.7_34.csv,115,34,"[-2.5, -24.4, 25.7]","[-2.500000000042381, -24.40000000004374, -25.699999999998024]",20,3.9342842426613143e-16
sphere2D_-21.0_-29.6_12.6_44.csv,148,44,"[-21.0, -29.6, 12.6]","[-20.999999999999964, -29.600000000000094, -12.599999999999984]",4,3.421902406876959e-22
sphere2D_-22.2_-32.8_14.8_16.csv,54,16,"[-22.2, -32.8, 14.8]","[-22.20000000000005, -32.79999999999998, -14.80000000000044]",4,6.5734904290659715e-21
sphere2D_-23.6_-8.9_18.9_42.csv,139,42,"[-23.6, -8.9, 18.9]","[-23.600000000001433, -8.900000000000807, -18.899999999984338]",3,3.3420395294656495e-17
sphere2D_-24.5_-6.5_35.6_18.csv,60,18,"[-24.5, -6.5, 35.6]","[-24.500000000000185, -6.499999999999946, 35.59999999999935]",4,9.118699486056209e-20
