1,2,3,4,5,6
sphere2D_-0.3_-16.9_34.6_40.csv,132,40,"[-0.3, -16.9, 34.6]","[-0.30000000000000987, -16.9, 34.59999999999999]",2.53e-5
sphere2D_-12.1_16.9_10.5_44.csv,148,44,"[-12.1, 16.9, 10.5]","[-12.100000000019113, 16.899999999961775, -10.499999999538213]",2.99e-5
sphere2D_-12.3_45.3_8.1_18.csv,60,18,"[-12.3, 45.3, 8.1]","[-12.300000000865671, 45.299999998865474, -8.10000000674113]",7.05e-6
sphere2D_-13.0_-26.6_8.7_32.csv,108,32,"[-13.0, -26.6, 8.7]","[-13.000000000000329, -26.600000000000065, -8.700000000002204]",1.695e-5
sphere2D_-13.1_37.0_12.9_31.csv,103,31,"[-13.1, 37.0, 12.9]","[-13.100000000010803, 37.00000000000021, -12.899999999874346]",1.77e-5
sphere2D_-14.4_-23.6_3.0_7.csv,24,7,"[-14.4, -23.6, 3.0]","[-14.400000026912753, -23.600000009813872, -2.999999994252051]",2.765e-6
sphere2D_-14.5_37.5_38.7_44.csv,147,44,"[-14.5, 37.5, 38.7]","[-14.631159424057765, 38.273568150255656, -12.652257569415228]",0.00036705
sphere2D_-16.8_-45.7_14.9_15.csv,50,15,"[-16.8, -45.7, 14.9]","[-16.799999999733327, -45.699999999816455, -14.899999998811811]",5.70625e-6
sphere2D_-19.4_-20.1_19.0_21.csv,71,21,"[-19.4, -20.1, 19.0]","[-19.39999999999748, -20.10000000000088, -18.99999999998247]",9.32e-6
sphere2D_-19.5_34.6_33.4_32.csv,108,32,"[-19.5, 34.6, 33.4]","[-19.499999999997613, 34.60000000000715, -33.39999999996367]",1.705e-5
sphere2D_-2.1_-1.4_26.9_12.csv,40,12,"[-2.1, -1.4, 26.9]","[-2.099999999999848, -1.4000000000004902, 26.900000000002464]",4.222222222222223e-6
sphere2D_-2.5_-24.4_25.7_34.csv,115,34,"[-2.5, -24.4, 25.7]","[-2.4999999999980322, -24.399999999999746, -25.699999999934484]",1.86e-5
sphere2D_-21.0_-29.6_12.6_44.csv,148,44,"[-21.0, -29.6, 12.6]","[-20.999999999999932, -29.600000000000193, -12.599999999999998]",3.815e-5
sphere2D_-22.2_-32.8_14.8_16.csv,54,16,"[-22.2, -32.8, 14.8]","[-22.199999999999985, -32.800000000000004, -14.800000000000994]",5.98125e-6
sphere2D_-23.6_-8.9_18.9_42.csv,139,42,"[-23.6, -8.9, 18.9]","[-23.600000000003554, -8.900000000002187, -18.89999999997052]",2.67e-5
sphere2D_-24.5_-6.5_35.6_18.csv,60,18,"[-24.5, -6.5, 35.6]","[-24.50000000000034, -6.499999999999957, 35.599999999999056]",7.0642857142857134e-6
sphere2D_-24.5_27.9_29.4_12.csv,41,12,"[-24.5, 27.9, 29.4]","[-24.499999999999517, 27.900000000000677, -29.399999999949948]",4.516666666666666e-6
sphere2D_-25.0_0.7_31.3_30.csv,100,30,"[-25.0, 0.7, 31.3]","[-24.999999999999996, 0.7000000000000032, 31.3]",1.57e-5
sphere2D_-25.1_50.0_12.6_8.csv,26,8,"[-25.1, 50.0, 12.6]","[-25.099999999999923, 50.000000000000774, -12.599999999999259]",2.875e-6
sphere2D_-25.3_-6.4_5.2_42.csv,139,42,"[-25.3, -6.4, 5.2]","[-25.2999999999526, -6.3999999997637165, -5.199999997108321]",2.495e-5
