1,2,3,4,5,6
sphere3D_-0.9_16.5_17.8_36.7_10.csv,32,10,"[-0.9, 16.5, 17.8, 36.7]","[-0.9000000000000196, 16.499999999999844, 17.80000000000005, 36.70000000000032]",2.711111111111111e-6
sphere3D_-1.2_7.7_-12.8_45.2_19.csv,64,19,"[-1.2, 7.7, -12.8, 45.2]","[-1.200000000010346, 7.69999999999607, -12.799999999995508, 45.19999999998612]",6.816666666666666e-6
sphere3D_-1.4_34.6_37.1_21.5_39.csv,129,39,"[-1.4, 34.6, 37.1, 21.5]","[-1.3999999998754464, 34.59999999997999, 37.1000000000203, -21.500000000185135]",1.78e-5
sphere3D_-11.3_-26.5_-21.7_16.0_24.csv,81,24,"[-11.3, -26.5, -21.7, 16.0]","[-11.300000001757352, -26.49999999993688, -21.70000000058499, -15.999999999053303]",9.925e-6
sphere3D_-11.7_-28.5_-22.6_23.0_19.csv,64,19,"[-11.7, -28.5, -22.6, 23.0]","[-11.699999999999898, -28.49999999999995, -22.600000000000026, -23.000000000000068]",6.757142857142857e-6
sphere3D_-12.3_17.3_-42.1_48.4_31.csv,104,31,"[-12.3, 17.3, -42.1, 48.4]","[-12.299999999991512, 17.300000000000303, -42.10000000000204, 48.40000000001163]",1.26e-5
sphere3D_-13.5_3.0_46.1_35.4_22.csv,74,22,"[-13.5, 3.0, 46.1, 35.4]","[-13.499999999998709, 2.999999999999535, 46.10000000000033, -35.400000000002144]",8.8e-6
sphere3D_-15.4_5.3_45.0_35.8_14.csv,46,14,"[-15.4, 5.3, 45.0, 35.8]","[-15.399999999997586, 5.299999999999865, 45.00000000000065, -35.80000000000308]",4.6625e-6
sphere3D_-15.9_-22.3_-8.0_40.0_41.csv,136,41,"[-15.9, -22.3, -8.0, 40.0]","[-15.899999999999993, -22.300000000000065, -7.999999999999966, 39.99999999999989]",2.19e-5
sphere3D_-16.0_13.0_-33.0_20.9_16.csv,55,16,"[-16.0, 13.0, -33.0, 20.9]","[-15.999999999999831, 12.999999999999941, -32.999999999999986, -20.90000000000009]",5.478571428571429e-6
sphere3D_-18.2_-1.8_-2.1_39.7_9.csv,31,9,"[-18.2, -1.8, -2.1, 39.7]","[-18.19999999999993, -1.7999999999999232, -2.0999999999999672, 39.700000000000294]",2.8e-6
