1,2,3,4,5,6,7,8
sphere3D_-0.8_45.4_37.7_9.6_10.csv,35,10,"[-0.8, 45.4, 37.7, 9.6]","([-0.6027056559489238, 45.545960240197644, 37.612996733100886, -9.720073147455036], 1)",15,5,5845.882659050063
sphere3D_-1.9_6.5_-4.5_49.9_44.csv,147,44,"[-1.9, 6.5, -4.5, 49.9]","([-1.9486165723239657, 6.683701715897874, -4.716679731719036, 49.93756539010996], 1)",18,6,776216.3713544806
sphere3D_-10.1_-16.5_-19.3_45.3_21.csv,69,21,"[-10.1, -16.5, -19.3, 45.3]","([-10.561837980754783, -16.878588235282397, -19.22436992811718, 45.31882858828793], 1)",26,5,436282.4253237387
sphere3D_-10.9_44.2_7.1_41.8_45.csv,149,45,"[-10.9, 44.2, 7.1, 41.8]","([-10.58659091563083, 43.73728526112012, 7.304133247758177, -41.734825693497534], 1)",21,6,658048.7153426977
sphere3D_-12.4_28.6_47.1_39.0_35.csv,116,35,"[-12.4, 28.6, 47.1, 39.0]","([-12.857754447035886, 28.943811086214815, 46.646080630663036, -38.91281748890036], 1)",27,6,361109.69138242793
sphere3D_-12.6_-17.9_18.0_27.9_13.csv,44,13,"[-12.6, -17.9, 18.0, 27.9]","([-11.201798990610062, -18.80064138165928, 18.96470290304042, -28.745889239650467], 1)",14,5,56531.02364288668
sphere3D_-13.9_33.9_43.4_4.6_15.csv,51,15,"[-13.9, 33.9, 43.4, 4.6]","([-14.8122429983956, 33.400384336566965, 43.36878903388671, -4.744534192462166], 1)",18,6,1253.26540602564
sphere3D_-15.3_42.9_-25.8_9.7_40.csv,132,40,"[-15.3, 42.9, -25.8, 9.7]","([-15.851518014340654, 42.80837290499122, -25.492180292340432, -9.932415884109062], 1)",17,6,23777.67218670798
sphere3D_-18.3_9.7_-36.2_31.2_42.csv,139,42,"[-18.3, 9.7, -36.2, 31.2]","([-17.918590734013545, 9.620559519595348, -36.04574922657722, -31.199322669828206], 1)",14,5,325553.3692379116
sphere3D_-19.7_41.3_-11.5_34.4_25.csv,82,25,"[-19.7, 41.3, -11.5, 34.4]","([-20.395473568395236, 40.509268739622215, -11.35726245252217, -34.41727256226827], 1)",34,7,156333.59465178667
sphere3D_-19.9_-26.8_-49.2_31.4_11.csv,37,11,"[-19.9, -26.8, -49.2, 31.4]","([-19.91111860947854, -26.073241009188965, -48.903735782564816, -31.95023992493102], 1)",11,4,68634.13836271822
