1,2,3,4,5,6,7
cubic_-0.1_0.3_6.3_28.csv,135,28,"[-0.1, 0.3, 6.3, -4.7]","[-0.1000000003157498, 0.2999999946557329, 6.300000005605377, -4.699999918376532]",5,3.021110334179162e-13
cubic_-0.1_5.3_-6.8_26.csv,123,26,"[-0.1, 5.3, -6.8, 5.6]","[-0.09999999636135769, 5.300000130518663, -6.800000093068722, 5.599998068853156]",4,1.7001759240453793e-10
cubic_-0.2_5.1_5.0_9.csv,42,9,"[-0.2, 5.1, 5.0, -0.9]","[-0.1999999844795851, 5.100000333544027, 4.999999687624668, -0.9000052062140528]",6,3.6086028946570955e-10
cubic_-0.6_6.0_1.7_27.csv,128,27,"[-0.6, 6.0, 1.7, -4.3]","[-0.6000000002487794, 6.000000004505923, 1.700000004843395, -4.30000006882249]",4,2.1614624288953526e-13
cubic_-1.2_-6.3_3.8_26.csv,126,26,"[-1.2, -6.3, 3.8, 8.9]","[-1.1999999995563848, -6.299999998210652, 3.7999999914188107, 8.899999971454426]",4,4.657841618093307e-14
cubic_-1.6_-1.7_-8.6_27.csv,128,27,"[-1.6, -1.7, -8.6, -9.8]","[-1.6000000009058821, -1.7000000180326709, -8.599999986700404, -9.79999973071684]",4,3.203295255966206e-12
cubic_-1.7_6.0_-5.9_11.csv,52,11,"[-1.7, 6.0, -5.9, 7.7]","[-1.7000000166103209, 6.000000156432974, -5.899999736905006, 7.6999976496802125]",5,1.0464498630574788e-10
cubic_-1.7_7.9_-2.0_5.csv,25,5,"[-1.7, 7.9, -2.0, -4.0]","[-1.6999999880200791, 7.900000242163784, -2.000000125195982, -4.000003669307185]",7,1.0378556862359628e-10
cubic_-1.8_10.0_-0.1_11.csv,53,11,"[-1.8, 10.0, -0.1, 8.8]","[-1.8000000005602796, 10.000000067743787, -0.09999998630136463, 8.799998914195378]",5,2.130399404194549e-11
cubic_-1.9_-3.2_0.6_23.csv,111,23,"[-1.9, -3.2, 0.6, -5.9]","[-1.899999995653534, -3.200000116528288, 0.5999999364625416, -5.89999821430308]",4,1.1922719591799533e-10
