1,2,3,4,5,6,7
cubic_-0.1_-7.4_-6.7_22.csv,110,22,"[-0.1, -7.4, -6.7, 7.9]","[-0.9367667223312562, -9.18272067271553, 6.444084295908402, 19.993794328872575]",0,43119.369162195944
cubic_-0.3_8.2_-3.0_15.csv,73,15,"[-0.3, 8.2, -3.0, 0.1]","[-0.3793454810776687, 8.751811890675244, -4.449569378553984, -3.459134466705243]",0,13996.195220278356
cubic_-1.0_-10.0_-0.8_14.csv,72,14,"[-1.0, -10.0, -0.8, -6.4]","[-0.9156247542624957, -10.905612991646947, 7.151837593921558, 7.43883789293917]",0,63436.71262315196
cubic_-1.0_-4.0_-9.2_12.csv,58,12,"[-1.0, -4.0, -9.2, 9.9]","[-0.12511770803640057, -5.826637005454449, -24.236408356385432, 3.372423694167446]",0,54485.598267602574
cubic_-1.0_-4.3_-6.7_21.csv,104,21,"[-1.0, -4.3, -6.7, -3.1]","[-1.2331980791672514, -2.694117180959838, -7.233150848631469, -34.8138080356644]",0,23044.487876379957
cubic_-1.4_3.8_-3.1_17.csv,83,17,"[-1.4, 3.8, -3.1, -8.4]","[-1.904322926819095, 3.071539630343392, 2.0397024683678877, 20.113162707631194]",0,17454.39739612071
cubic_-1.4_7.7_3.1_17.csv,86,17,"[-1.4, 7.7, 3.1, 9.9]","[-0.5895909773363153, 6.016455412743062, -8.323375862812686, 24.664600308344376]",0,23715.299566570306
cubic_-1.7_-9.2_-2.4_28.csv,141,28,"[-1.7, -9.2, -2.4, -8.2]","[-2.0159211021075483, -9.443422587445754, 4.5128909928460725, -14.579349341455412]",0,12511.530980578385
cubic_-1.8_5.6_-3.2_15.csv,76,15,"[-1.8, 5.6, -3.2, -4.6]","[-1.7739427644572103, 5.584140154216762, -3.8327299486753756, -19.090078832405457]",6,849.0650836265335
cubic_-1.9_-2.8_4.9_10.csv,52,10,"[-1.9, -2.8, 4.9, 1.8]","[-1.064767408540067, -3.1128741175871717, -5.00308967006834, 5.977432829862758]",0,18157.831615069026
cubic_-2.1_-3.5_-8.8_20.csv,100,20,"[-2.1, -3.5, -8.8, 3.9]","[-2.1054240955930106, -3.442392931287486, -8.920843033107552, 16.79469623941558]",5,1431.1858556037566
cubic_-2.6_8.4_-2.9_5.csv,27,5,"[-2.6, 8.4, -2.9, -7.9]","[-2.575437071029319, 8.327387075974393, -3.7041549447121525, 6.278213241711454]",6,290.79116911812145
cubic_-2.8_4.2_-8.9_7.csv,33,7,"[-2.8, 4.2, -8.9, 3.1]","[-2.688933778460236, 4.638740839284914, -9.406561155582146, -10.760896118249924]",6,606.5816501972619
cubic_-2.8_4.4_-2.7_21.csv,103,21,"[-2.8, 4.4, -2.7, -4.5]","[-3.0785932239964198, 3.4003925076831174, -1.0377992827656943, 9.939852756129442]",0,17638.184139605473
cubic_-3.5_-5.8_4.6_15.csv,76,15,"[-3.5, -5.8, 4.6, -3.0]","[-3.3066647126787925, -5.290068015284053, 0.8064742190068382, 13.361809253889268]",0,6113.919276049532
cubic_-3.5_-8.0_1.0_25.csv,126,25,"[-3.5, -8.0, 1.0, 6.4]","[-3.4734813356059515, -7.9511385154770835, 0.5580648585785075, -8.17943756283642]",4,1699.3732611802193
cubic_-4.2_-4.4_2.4_20.csv,102,20,"[-4.2, -4.4, 2.4, 1.8]","[-3.9459301074711832, -4.389670066922647, -3.3010307652388557, 19.701806709098147]",0,6705.47850555132
cubic_-4.3_-5.4_4.8_25.csv,127,25,"[-4.3, -5.4, 4.8, 1.1]","[-4.239354919058427, -7.0735992730178525, 4.552701464425337, 36.86554910915534]",0,22272.58867057145
cubic_-4.3_6.1_8.9_10.csv,48,10,"[-4.3, 6.1, 8.9, 3.6]","[-4.273400148003084, 6.073008243003877, 8.4374342555684, -10.378889416151692]",6,716.5271844002691
cubic_-4.3_6.2_-4.6_20.csv,100,20,"[-4.3, 6.2, -4.6, -8.0]","[-4.4521683070221245, 7.107169728954783, 0.72136563394795, -35.37910656116733]",0,12261.016720808297
cubic_-4.4_-2.9_8.7_22.csv,112,22,"[-4.4, -2.9, 8.7, 6.1]","[-4.901737093116981, -2.0844030041505253, 16.113251041737556, -7.037718857398258]",0,13235.781517359115
cubic_-4.5_-7.3_1.1_9.csv,46,9,"[-4.5, -7.3, 1.1, -8.2]","[-4.398294700629721, -7.279412368193627, -0.4314639860147773, -21.829763863886622]",7,603.3810937634614
cubic_-5.0_-9.3_-2.1_20.csv,102,20,"[-5.0, -9.3, -2.1, -2.4]","[-4.708397921618363, -9.518649431491045, -11.351794001147379, -8.912182340513125]",0,22133.500711376102
cubic_-5.5_1.6_0.7_28.csv,142,28,"[-5.5, 1.6, 0.7, -3.1]","[-5.497690273535673, 1.633935305499065, 0.31243785664116713, 11.257940259286366]",6,1298.9603604055596
cubic_-5.7_-5.5_5.2_8.csv,40,8,"[-5.7, -5.5, 5.2, 2.2]","[-5.670902052663047, -5.485238205890707, 5.1539851007741895, 17.26844267525831]",5,383.60891419190926
cubic_-5.8_-5.2_0.8_7.csv,37,7,"[-5.8, -5.2, 0.8, -9.2]","[-5.777767802412719, -5.1985553859898355, 0.37576200005898613, 5.004649378091695]",7,250.57379687245276
cubic_-5.8_0.5_-4.3_25.csv,126,25,"[-5.8, 0.5, -4.3, 7.6]","[-5.58237628032247, -0.08899828308869934, -7.977355447646853, 23.480605980631896]",0,6753.521206188776
cubic_-5.9_-3.8_-3.5_6.csv,28,6,"[-5.9, -3.8, -3.5, -4.7]","[-5.9867520740052145, -3.841471319071011, -1.9744398313882259, -18.249924552931184]",7,254.65857149222074
cubic_-6.0_-1.3_-7.3_11.csv,55,11,"[-6.0, -1.3, -7.3, 1.2]","[-5.978631654091575, -1.1875689940466272, -7.5027361502841154, -14.755624862519598]",7,636.8173538754769
cubic_-6.3_5.8_3.1_19.csv,94,19,"[-6.3, 5.8, 3.1, -6.2]","[-6.108590263111577, 5.609443159344986, -2.483529976460123, -26.946577338934688]",0,10012.164108826608
cubic_-6.3_7.5_-4.3_23.csv,114,23,"[-6.3, 7.5, -4.3, 7.4]","[-6.724907862128995, 7.940612709740343, -2.69135438109184, 1.8112179274470344]",0,39420.780252406636
cubic_-6.5_-6.7_7.4_8.csv,38,8,"[-6.5, -6.7, 7.4, 3.4]","[-6.4930441860338854, -6.571780338486035, 7.119047145580101, -11.066527558229525]",7,377.56335212870545
cubic_-6.5_-9.5_-7.0_10.csv,52,10,"[-6.5, -9.5, -7.0, 5.6]","[-6.5674011292222705, -9.24731847021308, -5.285964697770436, 10.097147194933626]",0,3122.096441853034
cubic_-6.8_-8.8_1.4_13.csv,63,13,"[-6.8, -8.8, 1.4, -8.4]","[-6.971585149009207, -10.527138096436152, 7.369906268750913, 10.922555330339097]",0,14704.090370819264
cubic_-7.1_-7.1_-1.8_24.csv,121,24,"[-7.1, -7.1, -1.8, 2.7]","[-7.319240914201491, -7.9294792253788655, -1.0692846266174265, -13.97679781050033]",0,11649.487190500193
cubic_-7.4_-1.7_9.4_26.csv,129,26,"[-7.4, -1.7, 9.4, -0.5]","[-8.164225654596095, -0.3063891142528998, 21.944275610909592, -10.698690960385628]",0,36134.3406448672
cubic_-7.4_-5.3_6.5_23.csv,117,23,"[-7.4, -5.3, 6.5, -6.2]","[-7.87596181941131, -4.634371382613904, 17.537314802340465, -22.138738786348327]",0,23990.356335436878
