1,2,3,4,5,6,7
cubic_-0.1_-7.4_-6.7_22.csv,110,22,"[-0.1, -7.4, -6.7, 7.9]","[-0.09518846978511683, -7.439218220412607, -6.631743599921384, -5.621118391873079]",6,1211.0084925840038
cubic_-0.3_8.2_-3.0_15.csv,73,15,"[-0.3, 8.2, -3.0, 0.1]","[-0.3556085886983399, 8.267254889828946, -2.4528112188118465, -13.402122783592741]",7,1025.2269153494663
cubic_-1.0_-10.0_-0.8_14.csv,72,14,"[-1.0, -10.0, -0.8, -6.4]","[-0.9759902620888172, -9.998775358326663, -1.1153895870978667, -19.919314625184636]",8,1111.7196991164592
cubic_-1.0_-4.0_-9.2_12.csv,58,12,"[-1.0, -4.0, -9.2, 9.9]","[-1.0459388079267666, -4.037777773871504, -8.688606261409616, 24.006805348243446]",7,560.6139476305442
cubic_-1.0_-4.3_-6.7_21.csv,104,21,"[-1.0, -4.3, -6.7, -3.1]","[-1.024686838311494, -4.3136119800544535, -6.19529334082466, -17.58323434098139]",8,1174.9158257492215
cubic_-1.4_3.8_-3.1_17.csv,83,17,"[-1.4, 3.8, -3.1, -8.4]","[-1.3762739281928609, 3.8206916327796163, -3.2633722052719825, 5.363537051057211]",7,1251.1174640393822
cubic_-1.4_7.7_3.1_17.csv,86,17,"[-1.4, 7.7, 3.1, 9.9]","[-1.418330338834858, 7.7376959146489845, 3.226826200765902, 23.737663839308272]",10,1069.4509156252893
cubic_-1.7_-9.2_-2.4_28.csv,141,28,"[-1.7, -9.2, -2.4, -8.2]","[-1.739179469823763, -9.22024620075858, -1.8256537800280317, -22.199413577582092]",6,1655.3072766323721
cubic_-1.8_5.6_-3.2_15.csv,76,15,"[-1.8, 5.6, -3.2, -4.6]","[-1.7739427651478974, 5.584140134536351, -3.832729934847852, -19.090078528662293]",7,849.0650836265293
cubic_-1.9_-2.8_4.9_10.csv,52,10,"[-1.9, -2.8, 4.9, 1.8]","[-1.9042315842183308, -2.804585821910629, 4.932607955948985, 17.0539636927215]",7,626.0043771510859
cubic_-2.1_-3.5_-8.8_20.csv,100,20,"[-2.1, -3.5, -8.8, 3.9]","[-2.1054240975091107, -3.4423929972445793, -8.92084300583564, 16.79469717642965]",6,1431.1858556037255
cubic_-2.6_8.4_-2.9_5.csv,27,5,"[-2.6, 8.4, -2.9, -7.9]","[-2.575437081648008, 8.327386844113352, -3.7041547175525857, 6.278217115549942]",8,290.79116911797314
