1,2,3,4,5,6
cubic_-0.1_-7.4_-6.7_22.csv,110,22,"[-0.1, -7.4, -6.7, 7.9]","[-0.9367667223312562, -9.18272067271553, 6.444084295908402, 19.993794328872575]",0.0001809
cubic_-0.3_8.2_-3.0_15.csv,73,15,"[-0.3, 8.2, -3.0, 0.1]","[-0.3793454810776687, 8.751811890675244, -4.449569378553984, -3.459134466705243]",0.0001212
cubic_-1.0_-10.0_-0.8_14.csv,72,14,"[-1.0, -10.0, -0.8, -6.4]","[-0.9156247542624957, -10.905612991646947, 7.151837593921558, 7.43883789293917]",0.000119
cubic_-1.0_-4.0_-9.2_12.csv,58,12,"[-1.0, -4.0, -9.2, 9.9]","[-0.12511770803640057, -5.826637005454449, -24.236408356385432, 3.372423694167446]",9.43e-5
cubic_-1.0_-4.3_-6.7_21.csv,104,21,"[-1.0, -4.3, -6.7, -3.1]","[-1.2331980791672514, -2.694117180959838, -7.233150848631469, -34.8138080356644]",0.00017255
cubic_-1.4_3.8_-3.1_17.csv,83,17,"[-1.4, 3.8, -3.1, -8.4]","[-1.904322926819095, 3.071539630343392, 2.0397024683678877, 20.113162707631194]",0.0001348
cubic_-1.4_7.7_3.1_17.csv,86,17,"[-1.4, 7.7, 3.1, 9.9]","[-0.5895909773363153, 6.016455412743062, -8.323375862812686, 24.664600308344376]",0.0001409
cubic_-1.7_-9.2_-2.4_28.csv,141,28,"[-1.7, -9.2, -2.4, -8.2]","[-2.0159211021075483, -9.443422587445754, 4.5128909928460725, -14.579349341455412]",0.0002465
cubic_-1.8_5.6_-3.2_15.csv,76,15,"[-1.8, 5.6, -3.2, -4.6]","[-1.7739427644591959, 5.584140154159133, -3.832729948635558, -19.090078831516045]",0.00078745
cubic_-1.9_-2.8_4.9_10.csv,52,10,"[-1.9, -2.8, 4.9, 1.8]","[-1.064767408540067, -3.1128741175871717, -5.00308967006834, 5.977432829862758]",8.395e-5
cubic_-2.1_-3.5_-8.8_20.csv,100,20,"[-2.1, -3.5, -8.8, 3.9]","[-2.1054240956368115, -3.4423929327636205, -8.92084303248142, 16.794696260385212]",0.0008917
cubic_-2.6_8.4_-2.9_5.csv,27,5,"[-2.6, 8.4, -2.9, -7.9]","[-2.575437071873892, 8.327387057737171, -3.704154926657803, 6.278213546426152]",0.00028575
cubic_-2.8_4.2_-8.9_7.csv,33,7,"[-2.8, 4.2, -8.9, 3.1]","[-2.688933777529774, 4.638740845190019, -9.406561162829782, -10.760896178033162]",0.0003354
cubic_-2.8_4.4_-2.7_21.csv,103,21,"[-2.8, 4.4, -2.7, -4.5]","[-3.0785932239964198, 3.4003925076831174, -1.0377992827656943, 9.939852756129442]",0.00017785
cubic_-3.5_-5.8_4.6_15.csv,76,15,"[-3.5, -5.8, 4.6, -3.0]","[-3.3066647126787925, -5.290068015284053, 0.8064742190068382, 13.361809253889268]",0.00012085
cubic_-3.5_-8.0_1.0_25.csv,126,25,"[-3.5, -8.0, 1.0, 6.4]","[-3.473481335890616, -7.951138495920092, 0.558064863291069, -8.179437867510554]",0.00097945
cubic_-4.2_-4.4_2.4_20.csv,102,20,"[-4.2, -4.4, 2.4, 1.8]","[-3.9459301074711832, -4.389670066922647, -3.3010307652388557, 19.701806709098147]",0.00016765
