1,2,3,4,5,6
cubic_-0.1_-7.4_-6.7_22.csv,110,22,"[-0.1, -7.4, -6.7, 7.9]","[-0.0951884697848047, -7.439218220399884, -6.63174359992637, -5.621118392062925]",0.0011874
cubic_-0.3_8.2_-3.0_15.csv,73,15,"[-0.3, 8.2, -3.0, 0.1]","[-0.3556085887010132, 8.267254889717675, -2.452811218786334, -13.402122781970933]",0.00089025
cubic_-1.0_-10.0_-0.8_14.csv,72,14,"[-1.0, -10.0, -0.8, -6.4]","[-0.9759902620920485, -9.998775358468293, -1.1153895870560562, -19.919314623079178]",0.0008693
cubic_-1.0_-4.0_-9.2_12.csv,58,12,"[-1.0, -4.0, -9.2, 9.9]","[-1.0459388079268972, -4.037777773881799, -8.688606261403768, 24.006805348399762]",0.0007283
cubic_-1.0_-4.3_-6.7_21.csv,104,21,"[-1.0, -4.3, -6.7, -3.1]","[-1.02468683830395, -4.313611980186509, -6.19529334093602, -17.58323433897206]",0.00124515
cubic_-1.4_3.8_-3.1_17.csv,83,17,"[-1.4, 3.8, -3.1, -8.4]","[-1.3762739281928593, 3.8206916327801403, -3.2633722052721064, 5.363537051049405]",0.0009887
cubic_-1.4_7.7_3.1_17.csv,86,17,"[-1.4, 7.7, 3.1, 9.9]","[-1.4183303388855135, 7.737695915092384, 3.226826201397901, 23.737663833412597]",0.0010557
cubic_-1.7_-9.2_-2.4_28.csv,141,28,"[-1.7, -9.2, -2.4, -8.2]","[-1.7391794698258802, -9.220246200771317, -1.8256537799905843, -22.19941357739689]",0.0014884
cubic_-1.8_5.6_-3.2_15.csv,76,15,"[-1.8, 5.6, -3.2, -4.6]","[-1.773942765147948, 5.584140134534901, -3.832729934846838, -19.09007852863993]",0.00094025
cubic_-1.9_-2.8_4.9_10.csv,52,10,"[-1.9, -2.8, 4.9, 1.8]","[-1.90423158421899, -2.8045858219282533, 4.932607955964108, 17.053963693002967]",0.00064435
cubic_-2.1_-3.5_-8.8_20.csv,100,20,"[-2.1, -3.5, -8.8, 3.9]","[-2.1054240975095615, -3.4423929972595944, -8.920843005829179, 16.794697176642956]",0.00106115
cubic_-2.6_8.4_-2.9_5.csv,27,5,"[-2.6, 8.4, -2.9, -7.9]","[-2.5754370816499925, 8.327386844070807, -3.704154717510183, 6.278217116260836]",0.00038
cubic_-2.8_4.2_-8.9_7.csv,33,7,"[-2.8, 4.2, -8.9, 3.1]","[-2.68893376642565, 4.638740917819379, -9.40656124639643, -10.760896917565363]",0.00039795
cubic_-2.8_4.4_-2.7_21.csv,103,21,"[-2.8, 4.4, -2.7, -4.5]","[-2.821547734924113, 4.482041966278754, -2.276599553341853, 8.823952963536888]",0.00129045
cubic_-3.5_-5.8_4.6_15.csv,76,15,"[-3.5, -5.8, 4.6, -3.0]","[-3.5154660790801215, -5.806940878752081, 4.6038822504996535, 11.044129311622134]",0.0008124
cubic_-3.5_-8.0_1.0_25.csv,126,25,"[-3.5, -8.0, 1.0, 6.4]","[-3.473481331994693, -7.951138504744844, 0.5580647913113306, -8.179437731840004]",0.00120045
cubic_-4.2_-4.4_2.4_20.csv,102,20,"[-4.2, -4.4, 2.4, 1.8]","[-4.224558965350193, -4.427293010395559, 2.8354531485841106, 15.541397051426861]",0.001217
cubic_-4.3_-5.4_4.8_25.csv,127,25,"[-4.3, -5.4, 4.8, 1.1]","[-4.296531999194346, -5.397966883089371, 4.8698828181400104, 15.296031959467953]",0.0014834
