1,2,3,4,5,6
cubic_-0.1_-7.4_-6.7_22.csv,110,22,"[-0.1, -7.4, -6.7, 7.9]","[-0.09518846981104193, -7.43921822075251, -6.631743599475997, -5.621118386801513]",0.00151595
cubic_-0.3_8.2_-3.0_15.csv,73,15,"[-0.3, 8.2, -3.0, 0.1]","[-0.35560858902183806, 8.267254883701307, -2.452811214286271, -13.40212269465305]",0.00109935
cubic_-1.0_-10.0_-0.8_14.csv,72,14,"[-1.0, -10.0, -0.8, -6.4]","[-0.9759902603956706, -9.998775312260824, -1.1153896122942908, -19.91931530969137]",0.0019311
cubic_-1.0_-4.0_-9.2_12.csv,58,12,"[-1.0, -4.0, -9.2, 9.9]","[-1.0459388055433667, -4.037777649520142, -8.6886063469275, 24.0068034565909]",0.00093515
cubic_-1.0_-4.3_-6.7_21.csv,104,21,"[-1.0, -4.3, -6.7, -3.1]","[-1.0246868391071398, -4.313611966784526, -6.195293328950534, -17.583234542826332]",0.00166155
cubic_-1.4_3.8_-3.1_17.csv,83,17,"[-1.4, 3.8, -3.1, -8.4]","[-1.3762739283466372, 3.820691626489156, -3.263372201376286, 5.363537144945991]",0.0011818
cubic_-1.4_7.7_3.1_17.csv,86,17,"[-1.4, 7.7, 3.1, 9.9]","[-1.4183303379896972, 7.737695908167204, 3.226826189712756, 23.737663924840522]",0.0012649
cubic_-1.7_-9.2_-2.4_28.csv,141,28,"[-1.7, -9.2, -2.4, -8.2]","[-1.7391794714479272, -9.22024619331103, -1.8256537517163622, -22.19941368314232]",0.0018588
cubic_-1.8_5.6_-3.2_15.csv,76,15,"[-1.8, 5.6, -3.2, -4.6]","[-1.7739427638577119, 5.584140171239454, -3.832729960673564, -19.09007909513067]",0.0011265
cubic_-1.9_-2.8_4.9_10.csv,52,10,"[-1.9, -2.8, 4.9, 1.8]","[-1.9042315805288939, -2.804585741261042, 4.932607874121838, 17.053962402894424]",0.0008542
cubic_-2.1_-3.5_-8.8_20.csv,100,20,"[-2.1, -3.5, -8.8, 3.9]","[-2.10542409478747, -3.442392903544285, -8.9208430445716, 16.794695845283616]",0.0008429
cubic_-2.6_8.4_-2.9_5.csv,27,5,"[-2.6, 8.4, -2.9, -7.9]","[-2.5754370789750483, 8.327386901729897, -3.7041547746856147, 6.278216152862578]",0.00030725
cubic_-2.8_4.2_-8.9_7.csv,33,7,"[-2.8, 4.2, -8.9, 3.1]","[-2.6889338001375087, 4.638740697705477, -9.406560992165051, -10.76089467704165]",0.00030505
cubic_-2.8_4.4_-2.7_21.csv,103,21,"[-2.8, 4.4, -2.7, -4.5]","[-2.82154773468045, 4.482041960565081, -2.2765995586919163, 8.823953053118409]",0.001605
cubic_-3.5_-5.8_4.6_15.csv,76,15,"[-3.5, -5.8, 4.6, -3.0]","[-3.515466078315556, -5.806940920909685, 4.603882246869848, 11.044129924680094]",0.00064625
cubic_-3.5_-8.0_1.0_25.csv,126,25,"[-3.5, -8.0, 1.0, 6.4]","[-3.4734813325350795, -7.951138470474276, 0.5580648003398935, -8.1794382657199]",0.0019316
cubic_-4.2_-4.4_2.4_20.csv,102,20,"[-4.2, -4.4, 2.4, 1.8]","[-4.224558962275622, -4.427292986503582, 2.8354530887612657, 15.54139668403416]",0.0020589
cubic_-4.3_-5.4_4.8_25.csv,127,25,"[-4.3, -5.4, 4.8, 1.1]","[-4.296531999145261, -5.397966884792157, 4.869882817424063, 15.296031983861974]",0.00191625
cubic_-4.3_6.1_8.9_10.csv,48,10,"[-4.3, 6.1, 8.9, 3.6]","[-4.2734001508343535, 6.073008113501025, 8.43743432310996, -10.378887293602995]",0.00075965
cubic_-4.3_6.2_-4.6_20.csv,100,20,"[-4.3, 6.2, -4.6, -8.0]","[-4.305468630746254, 6.287681561097664, -4.50474571655629, -22.739956299830368]",0.0019497
cubic_-4.4_-2.9_8.7_22.csv,112,22,"[-4.4, -2.9, 8.7, 6.1]","[-4.422877847063992, -2.7907721277715627, 8.842441522732182, -8.733342935279751]",0.00205225
cubic_-4.5_-7.3_1.1_9.csv,46,9,"[-4.5, -7.3, 1.1, -8.2]","[-4.398294700233451, -7.2794125727289405, -0.43146402949393625, -21.82976070072665]",0.00105035
cubic_-5.0_-9.3_-2.1_20.csv,102,20,"[-5.0, -9.3, -2.1, -2.4]","[-5.001148145183071, -9.34491021599172, -2.068090679498902, -15.940362486501593]",0.00084325
cubic_-5.5_1.6_0.7_28.csv,142,28,"[-5.5, 1.6, 0.7, -3.1]","[-5.497690273902881, 1.6339353120582933, 0.3124378626931876, 11.257940161532712]",0.00258455
cubic_-5.7_-5.5_5.2_8.csv,40,8,"[-5.7, -5.5, 5.2, 2.2]","[-5.670901960542933, -5.4852382838379485, 5.153983315210054, 17.268443911823518]",0.00070065
cubic_-5.8_-5.2_0.8_7.csv,37,7,"[-5.8, -5.2, 0.8, -9.2]","[-5.777767817137196, -5.1985556421443455, 0.37576226189378675, 5.004653586499164]",0.0006228
cubic_-5.8_0.5_-4.3_25.csv,126,25,"[-5.8, 0.5, -4.3, 7.6]","[-5.835257909846406, 0.49779837709939123, -3.647413084654431, 22.02767044786317]",0.00167675
cubic_-5.9_-3.8_-3.5_6.csv,28,6,"[-5.9, -3.8, -3.5, -4.7]","[-5.986752059677581, -3.8414714722976506, -1.9744401562649252, -18.249921906536795]",0.00054175
cubic_-6.0_-1.3_-7.3_11.csv,55,11,"[-6.0, -1.3, -7.3, 1.2]","[-5.9786316553036105, -1.1875690157965635, -7.5027361285179435, -14.755624521394292]",0.001159
cubic_-6.3_5.8_3.1_19.csv,94,19,"[-6.3, 5.8, 3.1, -6.2]","[-6.345630135901747, 5.738917807166934, 3.7551779625723443, -19.873738653021608]",0.0016999
cubic_-6.3_7.5_-4.3_23.csv,114,23,"[-6.3, 7.5, -4.3, 7.4]","[-6.309734113791326, 7.53096167442926, -4.06803439647963, 20.914187670537114]",0.00188245
cubic_-6.5_-6.7_7.4_8.csv,38,8,"[-6.5, -6.7, 7.4, 3.4]","[-6.493044183783888, -6.57178040143258, 7.119047098781684, -11.066526494812075]",0.0006586
cubic_-6.5_-9.5_-7.0_10.csv,52,10,"[-6.5, -9.5, -7.0, 5.6]","[-6.511780974884221, -9.394406376768027, -6.87227902378361, 18.851111709862092]",0.0004778
cubic_-6.8_-8.8_1.4_13.csv,63,13,"[-6.8, -8.8, 1.4, -8.4]","[-6.802416513030776, -8.73369382312667, 1.5898010427382385, 4.624693121380153]",0.00102805
