1,2,3,4,5,6,7
cubic_-0.1_0.3_6.3_28.csv,135,28,"[-0.1, 0.3, 6.3, -4.7]","[0.6763518221392257, -0.6194161728230044, -2.307336336859808, -0.004061942617373339]",0,21373.50143379331
cubic_-0.1_5.3_-6.8_26.csv,123,26,"[-0.1, 5.3, -6.8, 5.6]","[-0.09999999997244137, 5.300000001419352, -6.800000000793515, 5.599999979025169]",6,2.0030799742270606e-14
cubic_-0.2_5.1_5.0_9.csv,42,9,"[-0.2, 5.1, 5.0, -0.9]","[-0.698790357040248, 0.06120677707176244, 10.153689758398054, 63.15611995458725]",0,45689.73472382099
cubic_-0.6_6.0_1.7_27.csv,128,27,"[-0.6, 6.0, 1.7, -4.3]","[-0.8616679794283776, 5.8385427338487, 6.360053309022008, -9.388342031078464]",0,6473.951262520356
cubic_-1.2_-6.3_3.8_26.csv,126,26,"[-1.2, -6.3, 3.8, 8.9]","[-1.1999999994705055, -6.300000001227189, 3.799999990323425, 8.900000018466312]",5,2.986510610214242e-14
cubic_-1.6_-1.7_-8.6_27.csv,128,27,"[-1.6, -1.7, -8.6, -9.8]","[-1.6000000006054074, -1.70000001178643, -8.599999991067728, -9.79999982401609]",5,1.3683634911856117e-12
cubic_-1.7_6.0_-5.9_11.csv,52,11,"[-1.7, 6.0, -5.9, 7.7]","[-1.7000000077026964, 6.000000058152649, -5.899999874368339, 7.699999130194412]",6,1.4661095662787455e-11
cubic_-1.7_7.9_-2.0_5.csv,25,5,"[-1.7, 7.9, -2.0, -4.0]","[-1.6999999930056198, 7.9000001418144326, -2.0000000729325556, -4.00000214888148]",8,3.5594910759077224e-11
cubic_-1.8_10.0_-0.1_11.csv,53,11,"[-1.8, 10.0, -0.1, 8.8]","[-1.8000000002027734, 10.000000024550374, -0.09999999504082333, 8.799999606504436]",6,2.797932241387202e-12
cubic_-1.9_-3.2_0.6_23.csv,111,23,"[-1.9, -3.2, 0.6, -5.9]","[-1.7614579121499419, -4.27942272804409, 0.39210743214339494, 8.969200776965204]",0,10646.854247416837
cubic_-1.9_-4.8_-0.6_5.csv,23,5,"[-1.9, -4.8, -0.6, 0.3]","[-1.9000000037779023, -4.800000062035477, -0.599999919709415, 0.3000010659073651]",7,9.090991038132746e-12
cubic_-2.1_-1.7_7.3_6.csv,30,6,"[-2.1, -1.7, 7.3, 4.0]","[-2.0999999981318727, -1.700000066202835, 7.299999954431698, 4.000001042459508]",7,1.1022508718607221e-11
cubic_-2.2_6.6_5.8_19.csv,91,19,"[-2.2, 6.6, 5.8, -5.9]","[-2.946571108055209, 7.743496980378634, 17.448831451799514, -7.288314354085143]",0,14629.909585523654
cubic_-2.3_-6.5_8.7_9.csv,43,9,"[-2.3, -6.5, 8.7, 5.0]","[-2.2999999953258308, -6.499999956690093, 8.699999933124964, 4.999999380966399]",6,5.536053498377832e-12
cubic_-2.4_-9.9_-8.0_7.csv,35,7,"[-2.4, -9.9, -8.0, 9.7]","[-2.3999999955957687, -9.899999696896502, -8.000000119080674, 9.699994962131376]",6,3.251999973486081e-10
cubic_-2.5_1.4_-5.2_28.csv,135,28,"[-2.5, 1.4, -5.2, 4.2]","[-2.3267925637749878, -0.9077886859388994, -10.772278330191915, 35.465863864603655]",0,54367.797705952515
cubic_-2.5_1.9_-4.9_22.csv,103,22,"[-2.5, 1.9, -4.9, -6.2]","[-3.1589917974850956, 1.4752984939734453, 7.549819920227622, 9.739517485499334]",0,29844.044592277205
cubic_-2.6_-3.3_-1.2_14.csv,66,14,"[-2.6, -3.3, -1.2, 1.2]","[-2.880336132642318, -3.2159718539964777, 3.8313449291157804, 12.983439389770895]",0,9498.675521170588
cubic_-2.7_-2.4_-2.2_20.csv,95,20,"[-2.7, -2.4, -2.2, -3.3]","[-2.4699662382590777, -4.147854300184756, -1.0068036558208595, 17.49899525177145]",0,24069.065004545213
cubic_-3.2_3.4_7.0_23.csv,111,23,"[-3.2, 3.4, 7.0, -8.6]","[-2.3794004090233054, 4.741154560000297, -2.277331586432073, -10.681806548126188]",0,21181.356610328356
cubic_-3.7_-9.0_-8.8_28.csv,133,28,"[-3.7, -9.0, -8.8, -2.6]","[-4.318469688729403, -8.332400428110764, -0.34991024537357107, 1.1247437224760803]",0,17599.775159596426
cubic_-4.2_7.0_0.8_18.csv,86,18,"[-4.2, 7.0, 0.8, -8.0]","[-3.889583865275543, 6.6653921768440485, -1.4297866833075268, -12.71191857449625]",0,6276.474406127213
cubic_-4.4_0.2_-2.1_15.csv,70,15,"[-4.4, 0.2, -2.1, 6.7]","[-4.50881293066433, 0.14773159419196652, -3.8550881844302016, 23.152834007729034]",0,17612.66020500418
cubic_-4.7_2.9_6.2_7.csv,34,7,"[-4.7, 2.9, 6.2, -3.8]","[-4.699999922062595, 2.9000001316359416, 6.199998627544777, -3.800001850557482]",5,9.825406616590094e-11
