1,2,3,4,5,6
cubic_-0.1_0.3_6.3_28.csv,135,28,"[-0.1, 0.3, 6.3, -4.7]","[-0.1000000003157498, 0.2999999946557329, 6.300000005605377, -4.699999918376532]",0.0001768
cubic_-0.1_5.3_-6.8_26.csv,123,26,"[-0.1, 5.3, -6.8, 5.6]","[-0.09999999636135769, 5.300000130518663, -6.800000093068722, 5.599998068853156]",0.00014915
cubic_-0.2_5.1_5.0_9.csv,42,9,"[-0.2, 5.1, 5.0, -0.9]","[-0.1999999844795851, 5.100000333544027, 4.999999687624668, -0.9000052062140528]",4.885e-5
cubic_-0.6_6.0_1.7_27.csv,128,27,"[-0.6, 6.0, 1.7, -4.3]","[-0.6000000002487794, 6.000000004505923, 1.700000004843395, -4.30000006882249]",0.00016255
cubic_-1.2_-6.3_3.8_26.csv,126,26,"[-1.2, -6.3, 3.8, 8.9]","[-1.1999999995563848, -6.299999998210652, 3.7999999914188107, 8.899999971454426]",0.0001575
cubic_-1.6_-1.7_-8.6_27.csv,128,27,"[-1.6, -1.7, -8.6, -9.8]","[-1.6000000009058821, -1.7000000180326709, -8.599999986700404, -9.79999973071684]",0.0001594
cubic_-1.7_6.0_-5.9_11.csv,52,11,"[-1.7, 6.0, -5.9, 7.7]","[-1.7000000166103209, 6.000000156432974, -5.899999736905006, 7.6999976496802125]",6.52e-5
cubic_-1.7_7.9_-2.0_5.csv,25,5,"[-1.7, 7.9, -2.0, -4.0]","[-1.6999999880200791, 7.900000242163784, -2.000000125195982, -4.000003669307185]",3.09e-5
cubic_-1.8_10.0_-0.1_11.csv,53,11,"[-1.8, 10.0, -0.1, 8.8]","[-1.8000000005602796, 10.000000067743787, -0.09999998630136463, 8.799998914195378]",6.59e-5
cubic_-1.9_-3.2_0.6_23.csv,111,23,"[-1.9, -3.2, 0.6, -5.9]","[-1.899999995653534, -3.200000116528288, 0.5999999364625416, -5.89999821430308]",0.0001435
cubic_-1.9_-4.8_-0.6_5.csv,23,5,"[-1.9, -4.8, -0.6, 0.3]","[-1.9000000224908629, -4.800000566155029, -0.5999995085377542, 0.3000097173691795]",2.73e-5
cubic_-2.1_-1.7_7.3_6.csv,30,6,"[-2.1, -1.7, 7.3, 4.0]","[-2.0999999986289652, -1.7000000485153706, 7.299999966568129, 4.000000763949639]",3.87e-5
cubic_-2.2_6.6_5.8_19.csv,91,19,"[-2.2, 6.6, 5.8, -5.9]","[-2.2000000002456503, 6.600000007401212, 5.800000003478943, -5.900000112505872]",0.0001174
cubic_-2.3_-6.5_8.7_9.csv,43,9,"[-2.3, -6.5, 8.7, 5.0]","[-2.2999999859656697, -6.49999986916111, 8.699999799526955, 4.99999812977024]",6.54e-5
cubic_-2.4_-9.9_-8.0_7.csv,35,7,"[-2.4, -9.9, -8.0, 9.7]","[-2.3999999999101465, -9.899999986122443, -8.000000003276321, 9.699999769500337]",5.565e-5
cubic_-2.5_1.4_-5.2_28.csv,135,28,"[-2.5, 1.4, -5.2, 4.2]","[-2.4999999965814235, 1.3999999579378244, -5.200000062666401, 4.200000637142645]",0.00022085
cubic_-2.5_1.9_-4.9_22.csv,103,22,"[-2.5, 1.9, -4.9, -6.2]","[-2.5000000030806557, 1.899999907922623, -4.899999967245694, -6.199998626623353]",0.0001381
cubic_-2.6_-3.3_-1.2_14.csv,66,14,"[-2.6, -3.3, -1.2, 1.2]","[-2.59999999655148, -3.3000002187894557, -1.2000000203729961, 1.2000031890262417]",8.6e-5
cubic_-2.7_-2.4_-2.2_20.csv,95,20,"[-2.7, -2.4, -2.2, -3.3]","[-2.6999999999235182, -2.400000005940203, -2.2000000007073304, -3.2999999091059444]",0.00013165
cubic_-3.2_3.4_7.0_23.csv,111,23,"[-3.2, 3.4, 7.0, -8.6]","[-3.19999999914206, 3.3999999823717726, 6.999999983263037, -8.599999736691652]",0.0001664
cubic_-3.7_-9.0_-8.8_28.csv,133,28,"[-3.7, -9.0, -8.8, -2.6]","[-3.7000000008851193, -8.99999998288047, -8.79999998418177, -2.600000266780981]",0.0001821
cubic_-4.2_7.0_0.8_18.csv,86,18,"[-4.2, 7.0, 0.8, -8.0]","[-4.199999995146752, 6.999999957727762, 0.7999999126612704, -7.999999345607399]",0.00011345
cubic_-4.4_0.2_-2.1_15.csv,70,15,"[-4.4, 0.2, -2.1, 6.7]","[-4.399999996702405, 0.2000001133963616, -2.1000000395316327, 6.699998302336194]",0.0001099
cubic_-4.7_2.9_6.2_7.csv,34,7,"[-4.7, 2.9, 6.2, -3.8]","[-4.700000007970785, 2.8999998902236106, 6.200000135637475, -3.7999983981952616]",5.49e-5
cubic_-4.8_-0.8_-1.4_12.csv,57,12,"[-4.8, -0.8, -1.4, 0.1]","[-4.800000002126629, -0.8000000675514969, -1.3999999522402404, 0.10000104308288262]",9.0e-5
cubic_-4.8_-2.5_4.5_10.csv,46,10,"[-4.8, -2.5, 4.5, -8.7]","[-4.800000015441075, -2.5000003619816513, 4.50000036001088, -8.699994075097822]",6.0e-5
cubic_-4.8_-5.4_-7.9_22.csv,104,22,"[-4.8, -5.4, -7.9, 5.5]","[-4.800000001460913, -5.40000001719766, -7.8999999739349045, 5.500000253957952]",0.00014625
cubic_-4.9_-4.6_-1.5_20.csv,96,20,"[-4.9, -4.6, -1.5, -2.1]","[-4.899999994320511, -4.599999938937856, -1.500000087365764, -2.1000009235341186]",0.0001423
cubic_-4.9_6.8_7.1_7.csv,33,7,"[-4.9, 6.8, 7.1, 6.0]","[-4.900000006463341, 6.799999463719592, 7.1000000417141305, 6.00000872684292]",4.11e-5
cubic_-4.9_7.2_2.7_17.csv,81,17,"[-4.9, 7.2, 2.7, -0.4]","[-4.900000000186513, 7.199999990464786, 2.700000003023529, -0.3999998541591244]",0.00010245
cubic_-5.0_-9.5_8.7_24.csv,114,24,"[-5.0, -9.5, 8.7, -0.2]","[-5.000000001271278, -9.499999880691323, 8.69999998864002, -0.200001778844754]",0.0001534
cubic_-5.1_-8.3_8.2_20.csv,95,20,"[-5.1, -8.3, 8.2, -4.4]","[-5.09999999821238, -8.299999967364629, 8.199999965474008, -4.400000502720021]",0.00012125
cubic_-5.2_-6.1_-8.7_18.csv,87,18,"[-5.2, -6.1, -8.7, 4.4]","[-5.199999979381501, -6.099999921718749, -8.700000352908324, 4.3999988734989905]",0.00011295
cubic_-5.3_5.6_1.7_7.csv,31,7,"[-5.3, 5.6, 1.7, 5.1]","[-5.299999973670837, 5.599999693670626, 1.6999994512896284, 5.100005280366249]",3.915e-5
cubic_-5.4_-9.0_6.4_8.csv,38,8,"[-5.4, -9.0, 6.4, 2.4]","[-5.3999999971866135, -9.000000138774162, 6.399999966074012, 2.4000022661983555]",5.19e-5
cubic_-5.8_-5.6_-9.0_26.csv,122,26,"[-5.8, -5.6, -9.0, -2.5]","[-5.799999992319546, -5.600000068169928, -9.000000139866335, -2.499998964430921]",0.0001668
cubic_-5.8_9.0_-10.0_8.csv,38,8,"[-5.8, 9.0, -10.0, 8.5]","[-5.80000000236255, 8.999999698784142, -9.999999958292255, 8.500004385440178]",5.075e-5
cubic_-6.7_-4.4_1.0_26.csv,122,26,"[-6.7, -4.4, 1.0, 5.9]","[-6.699999996977655, -4.39999986287611, 0.9999999519539245, 5.899997934056638]",0.0001639
cubic_-7.4_7.7_9.9_26.csv,122,26,"[-7.4, 7.7, 9.9, -1.2]","[-7.399999989792378, 7.700000151563001, 9.899999827812309, -1.2000023177819288]",0.00016495
cubic_-7.7_-2.7_7.2_12.csv,57,12,"[-7.7, -2.7, 7.2, -1.3]","[-7.69999999795977, -2.700000016815856, 7.199999962198261, -1.2999997333176228]",8.27e-5
cubic_-8.0_-4.6_-3.4_11.csv,53,11,"[-8.0, -4.6, -3.4, 3.1]","[-8.000000001302832, -4.599999983012126, -3.39999998063779, 3.099999743343558]",7.21e-5
cubic_-8.2_-3.3_-4.8_5.csv,24,5,"[-8.2, -3.3, -4.8, -7.6]","[-8.200000001218513, -3.300000030328749, -4.79999996939378, -7.599999503984857]",3.085e-5
cubic_-8.3_1.3_-8.1_11.csv,53,11,"[-8.3, 1.3, -8.1, -4.5]","[-8.299999997408113, 1.3000000605753648, -8.10000005540108, -4.500000951437048]",6.97e-5
cubic_-8.6_-8.9_4.5_29.csv,140,29,"[-8.6, -8.9, 4.5, -5.5]","[-8.600000001812488, -8.900000017511859, 4.5000000307059675, -5.4999997432335075]",0.0001965
cubic_-8.8_6.9_8.2_23.csv,109,23,"[-8.8, 6.9, 8.2, 4.7]","[-8.799999999344665, 6.900000006262169, 8.199999987685624, 4.699999902577999]",0.00014915
cubic_-9.1_0.0_-4.8_27.csv,129,27,"[-9.1, 0.0, -4.8, 1.2]","[-9.099999999784535, -5.730173597483202e-9, -4.800000004553202, 1.2000000868449487]",0.000181
cubic_-9.2_-10.0_1.8_9.csv,41,9,"[-9.2, -10.0, 1.8, -1.2]","[-9.199999997213357, -10.00000024502701, 1.7999999423042106, -1.1999962548806102]",5.285e-5
cubic_-9.2_-3.9_-8.3_26.csv,125,26,"[-9.2, -3.9, -8.3, 1.9]","[-9.2000000000667, -3.900000031627286, -8.300000001180951, 1.900000453828378]",0.0001669
cubic_-9.2_8.8_2.0_26.csv,122,26,"[-9.2, 8.8, 2.0, -6.5]","[-9.199999998785248, 8.799999987369603, 1.9999999789083798, -6.499999802670417]",0.0001744
cubic_-9.3_-6.8_1.3_20.csv,97,20,"[-9.3, -6.8, 1.3, -9.6]","[-9.299999992083592, -6.799999994703442, 1.2999998565937176, -9.600000085967464]",0.0001383
cubic_-9.4_1.9_9.5_20.csv,96,20,"[-9.4, 1.9, 9.5, 5.5]","[-9.40000000710585, 1.899999919311307, 9.500000137322909, 5.50000125044441]",0.00013585
cubic_-9.6_4.0_-6.8_31.csv,149,31,"[-9.6, 4.0, -6.8, -2.3]","[-9.600000002665219, 4.0000000360270365, -6.7999999474933155, -2.300000562131863]",0.00022535
