1,2,3,4,5,6
cubic_-0.1_0.3_6.3_28.csv,135,28,"[-0.1, 0.3, 6.3, -4.7]","[0.6763518221392257, -0.6194161728230044, -2.307336336859808, -0.004061942617373339]",0.00021995
cubic_-0.1_5.3_-6.8_26.csv,123,26,"[-0.1, 5.3, -6.8, 5.6]","[-0.09999999997244124, 5.300000001419495, -6.800000000793546, 5.599999979023071]",0.00117095
cubic_-0.2_5.1_5.0_9.csv,42,9,"[-0.2, 5.1, 5.0, -0.9]","[-0.698790357040248, 0.06120677707176244, 10.153689758398054, 63.15611995458725]",6.135e-5
cubic_-0.6_6.0_1.7_27.csv,128,27,"[-0.6, 6.0, 1.7, -4.3]","[-0.8616679794283776, 5.8385427338487, 6.360053309022008, -9.388342031078464]",0.00020685
cubic_-1.2_-6.3_3.8_26.csv,126,26,"[-1.2, -6.3, 3.8, 8.9]","[-1.1999999994724748, -6.30000000129429, 3.799999990371474, 8.900000019517238]",0.0010491
cubic_-1.6_-1.7_-8.6_27.csv,128,27,"[-1.6, -1.7, -8.6, -9.8]","[-1.600000000594582, -1.7000000115542269, -8.599999991223878, -9.799999827485083]",0.00105445
cubic_-1.7_6.0_-5.9_11.csv,52,11,"[-1.7, 6.0, -5.9, 7.7]","[-1.7000000077174142, 6.000000058856935, -5.899999874277792, 7.699999119459342]",0.00050895
cubic_-1.7_7.9_-2.0_5.csv,25,5,"[-1.7, 7.9, -2.0, -4.0]","[-1.6999999877500513, 7.900000248287184, -2.0000001277666413, -4.000003762221553]",0.00028425
cubic_-1.8_10.0_-0.1_11.csv,53,11,"[-1.8, 10.0, -0.1, 8.8]","[-1.8000000001948124, 10.000000023547939, -0.09999999523721466, 8.79999962257103]",0.0005158
cubic_-1.9_-3.2_0.6_23.csv,111,23,"[-1.9, -3.2, 0.6, -5.9]","[-1.7614579121499419, -4.27942272804409, 0.39210743214339494, 8.969200776965204]",0.00017665
cubic_-1.9_-4.8_-0.6_5.csv,23,5,"[-1.9, -4.8, -0.6, 0.3]","[-1.9000000039331175, -4.800000064413428, -0.59999991642236, 0.3000011067749088]",0.00026125
cubic_-2.1_-1.7_7.3_6.csv,30,6,"[-2.1, -1.7, 7.3, 4.0]","[-2.099999998140747, -1.7000000658993273, 7.299999954646455, 4.000001037679595]",0.00035175
cubic_-2.2_6.6_5.8_19.csv,91,19,"[-2.2, 6.6, 5.8, -5.9]","[-2.946571108055209, 7.743496980378634, 17.448831451799514, -7.288314354085143]",0.0001461
cubic_-2.3_-6.5_8.7_9.csv,43,9,"[-2.3, -6.5, 8.7, 5.0]","[-2.2999999955833084, -6.499999959122935, 8.699999936789865, 4.9999994157471965]",0.0004949
cubic_-2.4_-9.9_-8.0_7.csv,35,7,"[-2.4, -9.9, -8.0, 9.7]","[-2.3999999956089155, -9.89999970171029, -8.000000118294928, 9.699995042060525]",0.00042185
cubic_-2.5_1.4_-5.2_28.csv,135,28,"[-2.5, 1.4, -5.2, 4.2]","[-2.3267925637749878, -0.9077886859388994, -10.772278330191915, 35.465863864603655]",0.0002753
cubic_-2.5_1.9_-4.9_22.csv,103,22,"[-2.5, 1.9, -4.9, -6.2]","[-3.1589917974850956, 1.4752984939734453, 7.549819920227622, 9.739517485499334]",0.00017275
cubic_-2.6_-3.3_-1.2_14.csv,66,14,"[-2.6, -3.3, -1.2, 1.2]","[-2.880336132642318, -3.2159718539964777, 3.8313449291157804, 12.983439389770895]",0.00010625
cubic_-2.7_-2.4_-2.2_20.csv,95,20,"[-2.7, -2.4, -2.2, -3.3]","[-2.4699662382590777, -4.147854300184756, -1.0068036558208595, 17.49899525177145]",0.0001642
cubic_-3.2_3.4_7.0_23.csv,111,23,"[-3.2, 3.4, 7.0, -8.6]","[-2.3794004090233054, 4.741154560000297, -2.277331586432073, -10.681806548126188]",0.0002037
cubic_-3.7_-9.0_-8.8_28.csv,133,28,"[-3.7, -9.0, -8.8, -2.6]","[-4.318469688729403, -8.332400428110764, -0.34991024537357107, 1.1247437224760803]",0.00022765
cubic_-4.2_7.0_0.8_18.csv,86,18,"[-4.2, 7.0, 0.8, -8.0]","[-3.889583865275543, 6.6653921768440485, -1.4297866833075268, -12.71191857449625]",0.00014585
cubic_-4.4_0.2_-2.1_15.csv,70,15,"[-4.4, 0.2, -2.1, 6.7]","[-4.50881293066433, 0.14773159419196652, -3.8550881844302016, 23.152834007729034]",0.0001368
cubic_-4.7_2.9_6.2_7.csv,34,7,"[-4.7, 2.9, 6.2, -3.8]","[-4.699999906066131, 2.9000003297520034, 6.199998354246779, -3.8000047397183474]",0.00036355
cubic_-4.8_-0.8_-1.4_12.csv,57,12,"[-4.8, -0.8, -1.4, 0.1]","[-4.800000001273243, -0.8000000382563921, -1.3999999716973293, 0.10000059095508443]",0.00069785
cubic_-4.8_-2.5_4.5_10.csv,46,10,"[-4.8, -2.5, 4.5, -8.7]","[-4.981427031453312, -2.0349967149091315, 4.023397235089045, -3.0034685685040774]",8.185e-5
cubic_-4.8_-5.4_-7.9_22.csv,104,22,"[-4.8, -5.4, -7.9, 5.5]","[-5.241119147790039, -5.351228741070213, 0.5287584405780729, 22.103186777918594]",0.0001857
cubic_-4.9_-4.6_-1.5_20.csv,96,20,"[-4.9, -4.6, -1.5, -2.1]","[-5.180608703151895, -4.136881694533313, -2.5841344974149267, -12.136784833249411]",0.00017665
cubic_-4.9_6.8_7.1_7.csv,33,7,"[-4.9, 6.8, 7.1, 6.0]","[-4.90000000238732, 6.7999998042002145, 7.100000015766666, 6.000003186154719]",0.0003238
cubic_-4.9_7.2_2.7_17.csv,81,17,"[-4.9, 7.2, 2.7, -0.4]","[-5.090845689970799, 6.13437466180962, 10.61125257528344, 6.134859673473474]",0.00012855
cubic_-5.0_-9.5_8.7_24.csv,114,24,"[-5.0, -9.5, 8.7, -0.2]","[-4.893037052363127, -8.366292935224365, 3.145705454553745, -8.94074879331623]",0.000193
cubic_-5.1_-8.3_8.2_20.csv,95,20,"[-5.1, -8.3, 8.2, -4.4]","[-4.371794464686079, -8.001343825646368, -0.4919440187767492, -7.65394794731674]",0.00015625
cubic_-5.2_-6.1_-8.7_18.csv,87,18,"[-5.2, -6.1, -8.7, 4.4]","[-5.199999971934059, -6.099999892503503, -8.70000048021239, 4.399998452865]",0.0007716
cubic_-5.3_5.6_1.7_7.csv,31,7,"[-5.3, 5.6, 1.7, 5.1]","[-6.544545460960757, 5.252260364190945, 28.551061931300623, 37.940874726295824]",4.955e-5
cubic_-5.4_-9.0_6.4_8.csv,38,8,"[-5.4, -9.0, 6.4, 2.4]","[-5.3999999990348435, -9.000000052885758, 6.399999989162513, 2.4000008638011026]",0.00040685
cubic_-5.8_-5.6_-9.0_26.csv,122,26,"[-5.8, -5.6, -9.0, -2.5]","[-5.7999999893029655, -5.600000101159694, -9.000000194965065, -2.4999984640601913]",0.0011212
