1,2,3,4,5,6
cubic_-0.1_0.3_6.3_28.csv,135,28,"[-0.1, 0.3, 6.3, -4.7]","[-0.10000000000160195, 0.2999999999600469, 6.300000000028212, -4.69999999938939]",0.00161865
cubic_-0.1_5.3_-6.8_26.csv,123,26,"[-0.1, 5.3, -6.8, 5.6]","[-0.09999999997244124, 5.300000001419495, -6.800000000793546, 5.599999979023071]",0.00124715
cubic_-0.2_5.1_5.0_9.csv,42,9,"[-0.2, 5.1, 5.0, -0.9]","[-0.19999999995541315, 5.100000000936044, 4.999999999103987, -0.900000014612168]",0.0006012
cubic_-0.6_6.0_1.7_27.csv,128,27,"[-0.6, 6.0, 1.7, -4.3]","[-0.6000000003140833, 5.99999999946346, 1.7000000056463318, -4.299999992300583]",0.0011337
cubic_-1.2_-6.3_3.8_26.csv,126,26,"[-1.2, -6.3, 3.8, 8.9]","[-1.199999999998753, -6.3000000000090965, 3.799999999978252, 8.90000000014045]",0.00128075
cubic_-1.6_-1.7_-8.6_27.csv,128,27,"[-1.6, -1.7, -8.6, -9.8]","[-1.6000000000043149, -1.7000000000914308, -8.599999999937573, -9.799999998634163]",0.0013358
cubic_-1.7_6.0_-5.9_11.csv,52,11,"[-1.7, 6.0, -5.9, 7.7]","[-1.7000000001256288, 6.0000000021504345, -5.89999999825392, 7.699999967428332]",0.00060905
cubic_-1.7_7.9_-2.0_5.csv,25,5,"[-1.7, 7.9, -2.0, -4.0]","[-1.699999999955869, 7.900000000906928, -2.000000000455579, -4.000000013744861]",0.0003705
cubic_-1.8_10.0_-0.1_11.csv,53,11,"[-1.8, 10.0, -0.1, 8.8]","[-1.8000000000070082, 10.000000000881647, -0.09999999982714969, 8.799999985869341]",0.00062275
cubic_-1.9_-3.2_0.6_23.csv,111,23,"[-1.9, -3.2, 0.6, -5.9]","[-1.899999999945449, -3.2000000011364422, 0.5999999991600781, -5.899999982597854]",0.0011358
cubic_-1.9_-4.8_-0.6_5.csv,23,5,"[-1.9, -4.8, -0.6, 0.3]","[-1.9000000001736244, -4.800000002722002, -0.5999999963188444, 0.30000004677688696]",0.0003033
cubic_-2.1_-1.7_7.3_6.csv,30,6,"[-2.1, -1.7, 7.3, 4.0]","[-2.099999999935518, -1.7000000022103405, 7.299999998438733, 4.000000034810113]",0.0003967
cubic_-2.2_6.6_5.8_19.csv,91,19,"[-2.2, 6.6, 5.8, -5.9]","[-2.1999999997049646, 6.599999999405857, 5.799999994766763, -5.89999999132639]",0.0009598
cubic_-2.3_-6.5_8.7_9.csv,43,9,"[-2.3, -6.5, 8.7, 5.0]","[-2.2999999997963316, -6.499999998080828, 8.69999999709891, 4.999999972563679]",0.00050275
cubic_-2.4_-9.9_-8.0_7.csv,35,7,"[-2.4, -9.9, -8.0, 9.7]","[-2.3999999999981263, -9.899999999585164, -8.000000000082132, 9.699999993110914]",0.00047215
cubic_-2.5_1.4_-5.2_28.csv,135,28,"[-2.5, 1.4, -5.2, 4.2]","[-2.499999999985369, 1.3999999998068142, -5.200000000268405, 4.200000002925674]",0.00139955
cubic_-2.5_1.9_-4.9_22.csv,103,22,"[-2.5, 1.9, -4.9, -6.2]","[-2.5000000000184, 1.899999999210237, -4.899999999864885, -6.199999988199289]",0.00104305
cubic_-2.6_-3.3_-1.2_14.csv,66,14,"[-2.6, -3.3, -1.2, 1.2]","[-2.5999999999609895, -3.30000000205024, -1.2000000003126252, 1.2000000298657645]",0.00068675
cubic_-2.7_-2.4_-2.2_20.csv,95,20,"[-2.7, -2.4, -2.2, -3.3]","[-2.699999999999228, -2.4000000000679256, -2.200000000006205, -3.299999998960505]",0.0011371
cubic_-3.2_3.4_7.0_23.csv,111,23,"[-3.2, 3.4, 7.0, -8.6]","[-3.199999999995514, 3.399999999853588, 6.999999999907807, -8.599999997816056]",0.0013281
cubic_-3.7_-9.0_-8.8_28.csv,133,28,"[-3.7, -9.0, -8.8, -2.6]","[-3.700000000004439, -8.999999999794204, -8.799999999924616, -2.600000003204934]",0.0013783
cubic_-4.2_7.0_0.8_18.csv,86,18,"[-4.2, 7.0, 0.8, -8.0]","[-4.199999999957268, 6.999999999381057, 0.799999999243802, -7.99999999041511]",0.00104095
cubic_-4.4_0.2_-2.1_15.csv,70,15,"[-4.4, 0.2, -2.1, 6.7]","[-4.399999999991506, 0.20000000014932137, -2.100000000127461, 6.699999997774408]",0.0008268
cubic_-4.7_2.9_6.2_7.csv,34,7,"[-4.7, 2.9, 6.2, -3.8]","[-4.699999999940595, 2.900000000580205, 6.1999999989774475, -3.8000000084483414]",0.00040395
cubic_-4.8_-0.8_-1.4_12.csv,57,12,"[-4.8, -0.8, -1.4, 0.1]","[-4.800000000037832, -0.8000000012711156, -1.399999999141118, 0.10000001962049476]",0.00068755
cubic_-4.8_-2.5_4.5_10.csv,46,10,"[-4.8, -2.5, 4.5, -8.7]","[-4.799999999964409, -2.5000000010245804, 4.499999999502465, -8.699999983483545]",0.0004779
cubic_-4.8_-5.4_-7.9_22.csv,104,22,"[-4.8, -5.4, -7.9, 5.5]","[-4.800000000009527, -5.40000000014632, -7.899999999830408, 5.5000000021547875]",0.0012002
cubic_-4.9_-4.6_-1.5_20.csv,96,20,"[-4.9, -4.6, -1.5, -2.1]","[-4.899999999970874, -4.599999999628995, -1.5000000004341434, -2.100000005629317]",0.00101435
cubic_-4.9_6.8_7.1_7.csv,33,7,"[-4.9, 6.8, 7.1, 6.0]","[-4.900000000004768, 6.799999999654159, 7.100000000038598, 6.000000005626114]",0.00043635
cubic_-4.9_7.2_2.7_17.csv,81,17,"[-4.9, 7.2, 2.7, -0.4]","[-4.900000000002695, 7.199999999852281, 2.7000000000432585, -0.39999999774066]",0.0009655
cubic_-5.0_-9.5_8.7_24.csv,114,24,"[-5.0, -9.5, 8.7, -0.2]","[-5.00000000002449, -9.49999999866316, 8.700000000054564, -0.2000000198977364]",0.00116065
cubic_-5.1_-8.3_8.2_20.csv,95,20,"[-5.1, -8.3, 8.2, -4.4]","[-5.09999999998859, -8.299999999740571, 8.199999999776255, -4.400000003992606]",0.00100925
cubic_-5.2_-6.1_-8.7_18.csv,87,18,"[-5.2, -6.1, -8.7, 4.4]","[-5.1999999998558595, -6.099999998819235, -8.700000002354479, 4.399999982864044]",0.00091445
cubic_-5.3_5.6_1.7_7.csv,31,7,"[-5.3, 5.6, 1.7, 5.1]","[-5.300000000065798, 5.600000000546174, 1.700000001351418, 5.0999999905452436]",0.00040595
