1,2,3,4,5,6,7,8,9,10
cubic_-0.1_0.3_6.3_28.csv,135,28,"[-0.1, 0.3, 6.3, -4.7]","[-0.10000000086991208, 0.2999999852792742, 6.300000015443249, -4.699999775169139]",5,5,2.292187440361669e-12,5,0.00170365
cubic_-0.1_5.3_-6.8_26.csv,123,26,"[-0.1, 5.3, -6.8, 5.6]","[-0.09999998536395967, 5.300000521820274, -6.800000373705255, 5.599992278986006]",4,5,2.7178541360822566e-9,4,0.0015404
cubic_-0.2_5.1_5.0_9.csv,42,9,"[-0.2, 5.1, 5.0, -0.9]","[-0.1999999340596977, 5.1000014273428285, 4.999998672200628, -0.90002227830485]",7,6,6.607549578314789e-9,7,0.0007921
cubic_-0.6_6.0_1.7_27.csv,128,27,"[-0.6, 6.0, 1.7, -4.3]","[-0.6000000010094659, 6.000000018010075, 1.7000000196323306, -4.300000275103753]",4,4,3.4550964689028296e-12,4,0.00138465
cubic_-1.2_-6.3_3.8_26.csv,126,26,"[-1.2, -6.3, 3.8, 8.9]","[-1.199999573025739, -6.299999349340336, 3.7999919209666437, 8.899989267387253]",3,4,1.3264596563157267e-8,3,0.00127905
cubic_-1.6_-1.7_-8.6_27.csv,128,27,"[-1.6, -1.7, -8.6, -9.8]","[-1.600000003624862, -1.7000000720517712, -8.5999999467645, -9.799998924055199]",4,4,5.1140317985018686e-11,4,0.0014775
cubic_-1.7_6.0_-5.9_11.csv,52,11,"[-1.7, 6.0, -5.9, 7.7]","[-1.700000033744725, 5.999999959156196, -5.8999993751184245, 7.700000711009263]",5,5,3.0410778338073956e-11,5,0.00076955
cubic_-1.7_7.9_-2.0_5.csv,25,5,"[-1.7, 7.9, -2.0, -4.0]","[-1.699999957653412, 7.900000843554788, -2.000000447244409, -4.000012779225022]",8,6,1.2589478963852292e-9,8,0.0005589
cubic_-1.8_10.0_-0.1_11.csv,53,11,"[-1.8, 10.0, -0.1, 8.8]","[-1.8000000015719306, 10.000000189763385, -0.09999996158003299, 8.79999695844821]",5,4,1.671661256171004e-10,5,0.00077895
cubic_-1.9_-3.2_0.6_23.csv,111,23,"[-1.9, -3.2, 0.6, -5.9]","[-1.8999999828492602, -3.200000463844004, 0.599999749812962, -5.899992891825884]",4,5,1.8892087263868112e-9,4,0.00154205
cubic_-1.9_-4.8_-0.6_5.csv,23,5,"[-1.9, -4.8, -0.6, 0.3]","[-1.8999995919890107, -4.800025730964417, -0.6000064519167858, 0.3004403963449046]",4,5,1.5732954719269997e-6,4,0.00033195
