1,2,3,4,5,6,7,8
line2d_-10.0_-4.6_18.csv,90,18,"[-10.0, -4.6]","([-9.999999999173475, -4.59999976209234], 1)",10,4,4.071541222909454e-12
line2d_-10.5_24.0_11.csv,55,11,"[-10.5, 24.0]","([-10.500000003087202, 23.99999898735171], 1)",10,4,4.5089238743832946e-11
line2d_-10.7_23.6_28.csv,140,28,"[-10.7, 23.6]","([-10.699999999745073, 23.60000002986814], 1)",10,4,9.936436219996165e-14
line2d_-10.8_3.1_22.csv,109,22,"[-10.8, 3.1]","([-10.800000000612142, 3.099999837810747], 1)",10,4,2.286420788376867e-12
line2d_-11.0_13.8_7.csv,36,7,"[-11.0, 13.8]","([-11.000000005934, 13.799997866609429], 1)",6,3,1.3190894247727733e-10
line2d_-11.3_-11.8_27.csv,137,27,"[-11.3, -11.8]","([-11.299999999983317, -11.800000036364661], 1)",9,4,1.454603485320777e-13
line2d_-11.3_-24.7_23.csv,115,23,"[-11.3, -24.7]","([-11.299999999815219, -24.700000023955116], 1)",6,3,5.2567631092805107e-14
line2d_-11.3_9.9_8.csv,38,8,"[-11.3, 9.9]","([-11.299999998872112, 9.899999872279059], 1)",11,4,4.860298472538331e-13
line2d_-11.4_6.8_20.csv,98,20,"[-11.4, 6.8]","([-11.400000001161718, 6.80000011198599], 1)",10,4,9.706069408535508e-13
line2d_-13.6_-8.4_24.csv,119,24,"[-13.6, -8.4]","([-13.599999999870198, -8.399999988286854], 1)",10,4,1.2919809129599178e-14
line2d_-13.9_-21.3_3.csv,13,3,"[-13.9, -21.3]","([-13.900000011118006, -21.300004208194817], 1)",14,4,1.7697330444945278e-10
line2d_-14.0_20.2_5.csv,23,5,"[-14.0, 20.2]","([-14.000000001886239, 20.20000025733114], 1)",13,4,1.186716343879004e-12
line2d_-14.8_14.4_20.csv,99,20,"[-14.8, 14.4]","([-14.79999999972967, 14.400000049168725], 3)",7,3,1.905836776559637e-13
line2d_-14.9_-22.0_19.csv,97,19,"[-14.9, -22.0]","([-14.899999999974112, -21.999999993277644], 1)",11,4,3.520910406997853e-15
line2d_-16.5_14.7_19.csv,96,19,"[-16.5, 14.7]","([-16.500000000160767, 14.699999661227379], 1)",10,4,8.836906265269461e-12
line2d_-16.7_-16.5_23.csv,115,23,"[-16.7, -16.5]","([-16.699999999934217, -16.500000118016963], 1)",10,4,1.2813481904537327e-12
line2d_-17.3_-2.2_26.csv,129,26,"[-17.3, -2.2]","([-17.300000000226216, -2.1999999326988076], 1)",10,4,4.661568498807841e-13
line2d_-17.4_-15.0_6.csv,31,6,"[-17.4, -15.0]","([-17.399999966949803, -14.999996681794245], 1)",6,3,2.733153332417958e-10
line2d_-18.1_27.3_6.csv,28,6,"[-18.1, 27.3]","([-18.10000001706704, 27.299997895654187], 1)",15,5,9.702931897027985e-11
line2d_-18.3_-22.9_12.csv,59,12,"[-18.3, -22.9]","([-18.300000000641848, -22.89999995726108], 1)",11,4,8.433752842581776e-14
line2d_-18.7_21.2_29.csv,147,29,"[-18.7, 21.2]","([-18.700000001369347, 21.20000073339434], 1)",9,4,6.345155285553352e-11
line2d_-19.4_-19.2_17.csv,83,17,"[-19.4, -19.2]","([-19.4000000040126, -19.200000623860454], 1)",9,4,2.5608440582751265e-11
line2d_-19.7_4.2_10.csv,48,10,"[-19.7, 4.2]","([-19.69999998580116, 4.200000687712827], 1)",10,4,1.741229672400027e-11
line2d_-2.3_25.4_5.csv,23,5,"[-2.3, 25.4]","([-2.3000000094002213, 25.40000060531674], 1)",12,4,6.511568985736084e-12
line2d_-20.8_-27.5_13.csv,64,13,"[-20.8, -27.5]","([-20.800000000358168, -27.499999972165437], 1)",6,3,3.901378109261203e-14
line2d_-20.8_0.4_28.csv,141,28,"[-20.8, 0.4]","([-20.799999999652357, 0.39999992426722936], 1)",9,4,6.471156272469199e-13
line2d_-20.9_24.2_6.csv,28,6,"[-20.9, 24.2]","([-20.900000027188952, 24.200001897090313], 1)",6,3,7.80467451516131e-11
line2d_-20.9_9.0_20.csv,101,20,"[-20.9, 9.0]","([-20.900000001859574, 8.999999082731648], 1)",5,3,6.813066998736803e-11
line2d_-22.0_15.1_26.csv,132,26,"[-22.0, 15.1]","([-21.999999999730402, 15.099999952834267], 1)",10,4,2.352482006114149e-13
line2d_-22.6_-6.6_16.csv,80,16,"[-22.6, -6.6]","([-22.60000000045263, -6.600000238955485], 1)",10,4,3.653368720574519e-12
line2d_-23.1_-1.6_12.csv,61,12,"[-23.1, -1.6]","([-23.100000000669944, -1.6000001067343947], 1)",6,3,5.565250837108292e-13
line2d_-25.1_18.2_6.csv,28,6,"[-25.1, 18.2]","([-25.10000000010651, 18.200000160905187], 1)",12,4,5.69571766501757e-13
line2d_-26.3_-19.2_8.csv,39,8,"[-26.3, -19.2]","([-26.30000000174936, -19.19999990948795], 1)",11,4,2.4668225335458337e-13
line2d_-26.5_5.5_21.csv,104,21,"[-26.5, 5.5]","([-26.500000000068564, 5.500000024888934], 1)",6,3,5.138793151158705e-14
line2d_-26.9_13.4_5.csv,27,5,"[-26.9, 13.4]","([-26.899999996635273, 13.399999672823762], 1)",12,4,2.3336273711185254e-12
line2d_-27.4_-6.0_11.csv,54,11,"[-27.4, -6.0]","([-27.400000000224438, -6.000000041882804], 1)",11,4,7.526382569988065e-14
line2d_-28.1_4.0_8.csv,41,8,"[-28.1, 4.0]","([-28.09999999906326, 3.999999938448097], 1)",11,4,1.2276155893426512e-13
line2d_-28.4_-1.2_28.csv,139,28,"[-28.4, -1.2]","([-28.399999999971993, -1.199999990917313], 1)",10,4,9.150391008285273e-15
line2d_-28.9_29.8_21.csv,105,21,"[-28.9, 29.8]","([-28.899999999432755, 29.799999704835425], 1)",10,4,7.316209366465203e-12
line2d_-29.1_-22.1_25.csv,124,25,"[-29.1, -22.1]","([-29.100000000246908, -22.100000206449554], 1)",10,4,4.2190851856146195e-12
line2d_-29.7_23.6_29.csv,143,29,"[-29.7, 23.6]","([-29.699999997720543, 23.59999938713766], 1)",9,4,4.277434677019048e-11
line2d_-4.0_-22.7_12.csv,60,12,"[-4.0, -22.7]","([-3.9999999997596287, -22.70000003060042], 1)",11,4,4.4732354359461424e-14
line2d_-4.4_4.9_4.csv,18,4,"[-4.4, 4.9]","([-4.399999939442854, 4.89999686082943], 1)",12,4,1.3432129441411522e-10
line2d_-4.9_-12.3_8.csv,41,8,"[-4.9, -12.3]","([-4.8999999976363835, -12.299999531664177], 1)",6,3,7.223408606165729e-12
line2d_-4.9_26.2_16.csv,82,16,"[-4.9, 26.2]","([-4.900000013003075, 26.200001302219754], 1)",5,3,1.111047730019846e-10
