1,2,3,4,5,6,7
line2d_-10.0_-4.6_18.csv,90,18,"[-10.0, -4.6]","[-9.999999999837325, -4.599999953176464]",4,1.5771404503001894e-13
line2d_-10.5_24.0_11.csv,55,11,"[-10.5, 24.0]","[-10.50000000098729, 23.999999676146935]",4,4.611600401285003e-12
line2d_-10.7_23.6_28.csv,140,28,"[-10.7, 23.6]","[-10.699999999867774, 23.60000001549204]",4,2.6732006891939948e-14
line2d_-10.8_3.1_22.csv,109,22,"[-10.8, 3.1]","[-10.800000000327431, 3.0999999132307]",4,6.544013138254493e-13
line2d_-11.0_13.8_7.csv,36,7,"[-11.0, 13.8]","[-11.000000005934, 13.799997866609429]",4,1.3190894247727733e-10
line2d_-11.3_-11.8_27.csv,137,27,"[-11.3, -11.8]","[-11.2999999999951, -11.800000010680213]",4,1.254714982073458e-14
line2d_-11.3_-24.7_23.csv,115,23,"[-11.3, -24.7]","[-11.299999999815219, -24.700000023955116]",4,5.2567631092805107e-14
line2d_-11.3_9.9_8.csv,38,8,"[-11.3, 9.9]","[-11.299999998894773, 9.899999874845141]",5,4.666960821367253e-13
line2d_-11.4_6.8_20.csv,98,20,"[-11.4, 6.8]","[-11.400000000295558, 6.800000028490247]",4,6.282151020196812e-14
line2d_-13.6_-8.4_24.csv,119,24,"[-13.6, -8.4]","[-13.60000000739941, -8.400000664007743]",3,4.151982842273061e-11
line2d_-13.9_-21.3_3.csv,13,3,"[-13.9, -21.3]","[-13.900000005734972, -21.300002170701653]",6,4.708866271782586e-11
line2d_-14.0_20.2_5.csv,23,5,"[-14.0, 20.2]","[-14.000000039760812, 20.200005424388298]",5,5.273072714666169e-10
line2d_-14.8_14.4_20.csv,99,20,"[-14.8, 14.4]","[-14.799999996608303, 14.40000061879438]",3,3.0185649482340147e-11
line2d_-14.9_-22.0_19.csv,97,19,"[-14.9, -22.0]","[-14.89999999782129, -21.999999434308123]",4,2.4932825174208322e-11
line2d_-16.5_14.7_19.csv,96,19,"[-16.5, 14.7]","[-16.500000000079474, 14.69999983252669]",4,2.1596075574716237e-12
line2d_-16.7_-16.5_23.csv,115,23,"[-16.7, -16.5]","[-16.69999999997309, -16.500000048277553]",4,2.144216814993202e-13
line2d_-17.3_-2.2_26.csv,129,26,"[-17.3, -2.2]","[-17.300000000113155, -2.199999966336163]",4,1.1663094308655684e-13
line2d_-17.4_-15.0_6.csv,31,6,"[-17.4, -15.0]","[-17.399999966949803, -14.999996681794245]",4,2.733153332417958e-10
line2d_-18.1_27.3_6.csv,28,6,"[-18.1, 27.3]","[-18.100000015917015, 27.299998037405803]",5,8.439753876417967e-11
line2d_-18.3_-22.9_12.csv,59,12,"[-18.3, -22.9]","[-18.300000000525014, -22.899999965040678]",5,5.642867420133456e-14
line2d_-18.7_21.2_29.csv,147,29,"[-18.7, 21.2]","[-18.6999999990468, 21.19999950679153]",3,2.8696457608361422e-11
line2d_-19.4_-19.2_17.csv,83,17,"[-19.4, -19.2]","[-19.400000000206628, -19.20000003201921]",4,6.745740016043424e-14
line2d_-19.7_4.2_10.csv,48,10,"[-19.7, 4.2]","[-19.699999997533148, 4.200000119479803]",4,5.255702897793876e-13
line2d_-2.3_25.4_5.csv,23,5,"[-2.3, 25.4]","[-2.300000012340061, 25.40000079462541]",5,1.1221351602923382e-11
line2d_-20.8_-27.5_13.csv,64,13,"[-20.8, -27.5]","[-20.800000000358168, -27.499999972165437]",4,3.901378109261203e-14
line2d_-20.8_0.4_28.csv,141,28,"[-20.8, 0.4]","[-20.79999999988625, 0.39999997522000835]",4,6.928139792812318e-14
line2d_-20.9_24.2_6.csv,28,6,"[-20.9, 24.2]","[-20.900000027188952, 24.200001897090313]",4,7.80467451516131e-11
line2d_-20.9_9.0_20.csv,101,20,"[-20.9, 9.0]","[-20.900000001859574, 8.999999082731648]",3,6.813066998736803e-11
line2d_-22.0_15.1_26.csv,132,26,"[-22.0, 15.1]","[-21.999999999853614, 15.099999974390096]",4,6.93567986947014e-14
line2d_-22.6_-6.6_16.csv,80,16,"[-22.6, -6.6]","[-22.59999999982109, -6.599999905519853]",4,5.711374635832575e-13
line2d_-23.1_-1.6_12.csv,61,12,"[-23.1, -1.6]","[-23.100000000669944, -1.6000001067343947]",4,5.565250837108292e-13
line2d_-25.1_18.2_6.csv,28,6,"[-25.1, 18.2]","[-25.10000000019699, 18.200000297602067]",5,1.9484095544025197e-12
line2d_-26.3_-19.2_8.csv,39,8,"[-26.3, -19.2]","[-26.300000001754764, -19.199999909208337]",5,2.4820871426082127e-13
line2d_-26.5_5.5_21.csv,104,21,"[-26.5, 5.5]","[-26.500000000068564, 5.500000024888934]",4,5.138793151158705e-14
line2d_-26.9_13.4_5.csv,27,5,"[-26.9, 13.4]","[-26.89999999577953, 13.399999589613577]",5,3.671588267168578e-12
line2d_-27.4_-6.0_11.csv,54,11,"[-27.4, -6.0]","[-27.400000011357516, -6.000002119285812]",4,1.9270540365212277e-10
line2d_-28.1_4.0_8.csv,41,8,"[-28.1, 4.0]","[-28.099999953583957, 3.9999969500798516]",4,3.014090280104951e-10
line2d_-28.4_-1.2_28.csv,139,28,"[-28.4, -1.2]","[-28.399999999980043, -1.1999999935290693]",4,4.6445697362429605e-15
line2d_-28.9_29.8_21.csv,105,21,"[-28.9, 29.8]","[-28.89999999981518, 29.799999903830408]",4,7.766643272479922e-13
line2d_-29.1_-22.1_25.csv,124,25,"[-29.1, -22.1]","[-29.100000000117625, -22.10000009835424]",4,9.575832493975887e-13
line2d_-29.7_23.6_29.csv,143,29,"[-29.7, 23.6]","[-29.699999999972704, 23.599999992630913]",4,6.184244362719631e-15
line2d_-4.0_-22.7_12.csv,60,12,"[-4.0, -22.7]","[-3.999999984362754, -22.700001990643262]",4,1.8930139698299392e-10
