1,2,3,4,5,6,7
line2d_-0.1_-29.3_13.csv,66,13,"[-0.1, -29.3]","[0.6648135203765293, -14.081733270365254]",0,3426.305610971619
line2d_-0.5_17.6_13.csv,66,13,"[-0.5, 17.6]","[-1.6619740320915999, 20.167870973736278]",0,11132.756646686279
line2d_-10.4_12.4_26.csv,128,26,"[-10.4, 12.4]","[-10.42129180204318, -1.1029732153839165]",4,1710.9778717046074
line2d_-12.3_2.7_13.csv,63,13,"[-12.3, 2.7]","[-12.273259073310813, -10.717078020382017]",5,819.3703771054618
line2d_-12.7_13.9_27.csv,135,27,"[-12.7, 13.9]","[-12.670224991059918, 28.15518515334165]",5,1893.9035182506723
line2d_-13.3_-18.8_30.csv,149,30,"[-13.3, -18.8]","[-13.269449075083838, -32.50190032127035]",5,1744.4392657469914
line2d_-14.9_17.3_13.csv,64,13,"[-14.9, 17.3]","[-14.436519829366071, 30.6698780832929]",0,1784.8590790779122
line2d_-15.1_24.9_20.csv,98,20,"[-15.1, 24.9]","[-14.988399518321314, 10.711885220984717]",4,956.5356060281745
line2d_-15.3_5.8_5.csv,26,5,"[-15.3, 5.8]","[-15.384221311468403, 22.09431483771318]",6,277.9359627634758
line2d_-15.7_-2.6_15.csv,75,15,"[-15.7, -2.6]","[-15.635063057052662, -19.204857382322523]",0,1251.677433084195
line2d_-15.8_18.0_13.csv,66,13,"[-15.8, 18.0]","[-15.45468846421649, 23.05314804877547]",0,4622.278513726995
line2d_-17.5_-27.9_24.csv,118,24,"[-17.5, -27.9]","[-17.597686665779065, -42.221600081366006]",5,1285.9478620892785
line2d_-18.0_-4.8_18.csv,91,18,"[-18.0, -4.8]","[-17.93389635850419, -18.452045606793618]",5,1407.1431433461316
line2d_-18.1_-10.6_21.csv,103,21,"[-18.1, -10.6]","[-18.025455616035448, 3.184367831883917]",6,1366.2832022434225
line2d_-18.1_-15.5_15.csv,74,15,"[-18.1, -15.5]","[-18.462936058010293, 20.811841578469455]",0,28181.78878345939
line2d_-19.0_-1.2_24.csv,119,24,"[-19.0, -1.2]","[-18.935521238531702, -15.390788333626098]",4,1653.0917581399035
line2d_-19.8_5.6_9.csv,45,9,"[-19.8, 5.6]","[-22.871558473615014, 35.61270248677503]",0,36749.485894242556
line2d_-19.9_7.7_5.csv,27,5,"[-19.9, 7.7]","[-19.891526558250284, -5.684651411394974]",6,246.62567467451493
line2d_-2.4_10.9_28.csv,138,28,"[-2.4, 10.9]","[-2.412834997653027, 25.542235822848355]",4,1855.6839393070936
line2d_-2.8_-2.2_6.csv,32,6,"[-2.8, -2.2]","[-3.227692287105764, 22.31819190276439]",0,3583.973282073671
line2d_-20.1_-13.3_17.csv,83,17,"[-20.1, -13.3]","[-20.120251546127673, 2.395037429399383]",0,1164.6818906626354
line2d_-20.4_-15.7_28.csv,142,28,"[-20.4, -15.7]","[-20.40197067072549, -1.361736938587864]",6,1929.675348824775
line2d_-20.5_-18.9_27.csv,135,27,"[-20.5, -18.9]","[-20.53789984542313, -32.411187043517856]",6,1641.6565384436528
line2d_-20.6_27.2_27.csv,137,27,"[-20.6, 27.2]","[-20.52975882651493, 41.107452069881]",8,1695.5705817212024
line2d_-20.7_26.8_26.csv,132,26,"[-20.7, 26.8]","[-20.6979680381248, 13.09479552057199]",5,1747.280279242607
line2d_-20.9_8.3_23.csv,117,23,"[-20.9, 8.3]","[-21.027182827357016, 22.5273626319974]",4,1581.99146015725
line2d_-21.4_-1.1_10.csv,49,10,"[-21.4, -1.1]","[-22.683594485852566, -17.736766522144617]",0,3998.59003822087
line2d_-23.4_21.7_20.csv,99,20,"[-23.4, 21.7]","[-21.771081311786553, 32.20161567584226]",0,16434.997107323325
line2d_-24.5_-18.7_14.csv,71,14,"[-24.5, -18.7]","[-24.023643571499306, -17.37022840720694]",0,11257.044491957553
line2d_-25.1_8.6_18.csv,92,18,"[-25.1, 8.6]","[-25.14964151058304, 22.56234732098232]",5,1018.7051169607191
line2d_-27.0_1.7_25.csv,124,25,"[-27.0, 1.7]","[-26.971765948088656, 15.309814409159216]",4,1526.1087394401106
line2d_-3.1_22.6_26.csv,128,26,"[-3.1, 22.6]","[-3.1132874586943684, 8.749078140681581]",5,1463.7054971201037
line2d_-3.4_18.1_19.csv,94,19,"[-3.4, 18.1]","[-5.772634822197298, 28.89390600768137]",0,27110.822054159144
line2d_-4.0_-9.2_23.csv,116,23,"[-4.0, -9.2]","[-4.003159451481936, -23.93417754510603]",5,1355.6689397360603
line2d_-5.4_6.3_4.csv,18,4,"[-5.4, 6.3]","[-5.369360642393452, -8.444655379332895]",6,199.1313042845697
line2d_-5.5_-17.0_18.csv,90,18,"[-5.5, -17.0]","[-5.529636876775946, -2.9996681044933453]",5,1257.082847290173
line2d_-5.7_-12.0_15.csv,77,15,"[-5.7, -12.0]","[-5.18908999933465, -18.956903582021916]",0,26486.796363332385
line2d_-5.8_-13.8_8.csv,42,8,"[-5.8, -13.8]","[-4.8577725118859565, 23.64840428392037]",0,19976.708691113647
line2d_-5.8_-22.8_9.csv,44,9,"[-5.8, -22.8]","[-7.387846913345219, -22.314373699652464]",0,10990.10920452621
line2d_-7.6_19.5_16.csv,78,16,"[-7.6, 19.5]","[-5.422717058937488, 19.242462970498725]",0,38727.32426085289
line2d_-7.9_25.9_4.csv,20,4,"[-7.9, 25.9]","[-8.038222586303531, 38.38918864161414]",6,316.82408226532056
line2d_-7.9_7.4_4.csv,21,4,"[-7.9, 7.4]","[-8.86064190862307, 3.0635282642195043]",0,7188.788802289391
line2d_-8.1_-27.7_12.csv,62,12,"[-8.1, -27.7]","[-7.987994012039069, -13.360871042195672]",5,802.518378170063
line2d_-9.7_-14.0_10.csv,48,10,"[-9.7, -14.0]","[-9.259498954746942, -18.143102439657937]",0,4174.70899945232
line2d_0.0_4.6_6.csv,30,6,"[0.0, 4.6]","[1.608711597207707, -11.434198488235612]",0,26644.145930581897
line2d_0.6_20.6_7.csv,34,7,"[0.6, 20.6]","[0.6459507723992, 35.64376270524015]",5,410.32701623170334
line2d_1.8_-3.2_13.csv,64,13,"[1.8, -3.2]","[1.767660430836441, -17.706462299421194]",6,875.7320892725885
line2d_10.0_9.5_11.csv,53,11,"[10.0, 9.5]","[8.304895608330007, 26.744415923542885]",0,9197.41724274797
line2d_10.2_8.2_3.csv,15,3,"[10.2, 8.2]","[10.054111249481211, 21.389101783933427]",6,181.6492084717197
line2d_10.6_-4.0_20.csv,98,20,"[10.6, -4.0]","[10.650814867503362, -17.814905599948744]",5,1348.2328130755593
line2d_10.9_1.6_9.csv,44,9,"[10.9, 1.6]","[9.268830885851136, 21.441039755386836]",0,8693.49896873308
line2d_11.3_-22.0_29.csv,145,29,"[11.3, -22.0]","[11.321239315861076, -36.86786398575885]",5,1919.8990599800527
line2d_11.3_26.2_3.csv,14,3,"[11.3, 26.2]","[11.250891288046663, 11.13108763499005]",6,87.14210736825034
line2d_11.6_13.1_29.csv,145,29,"[11.6, 13.1]","[11.57781838938527, -1.6262314619482376]",0,1591.848175285313
line2d_11.6_14.4_27.csv,136,27,"[11.6, 14.4]","[12.829248771791173, -0.29496017930946034]",0,13657.761054496563
line2d_14.4_4.8_7.csv,34,7,"[14.4, 4.8]","[15.392436036891675, 8.336101418954456]",0,9545.620608015959
line2d_14.4_5.2_26.csv,131,26,"[14.4, 5.2]","[14.322981748087436, -8.615191203017487]",4,1872.7947307177717
line2d_14.5_-24.0_30.csv,150,30,"[14.5, -24.0]","[14.502126338297698, -9.754829054358831]",4,2003.3224702990487
line2d_15.5_11.5_29.csv,147,29,"[15.5, 11.5]","[15.401155362768282, 4.431682431767934]",0,8390.794418982307
line2d_15.8_-0.2_9.csv,44,9,"[15.8, -0.2]","[15.949370434479409, 13.397755255169308]",5,597.799055705118
line2d_16.2_4.8_7.csv,33,7,"[16.2, 4.8]","[15.06377335043298, 21.786257721430996]",0,2746.639600647651
line2d_16.6_27.1_30.csv,149,30,"[16.6, 27.1]","[16.641620590507483, 41.07503576370873]",4,1978.2435441147525
line2d_16.9_4.3_23.csv,116,23,"[16.9, 4.3]","[16.882250323709936, 18.442666094239712]",5,1537.4215453298996
line2d_17.0_-26.5_27.csv,137,27,"[17.0, -26.5]","[16.899073748227234, -40.09839099644125]",5,1563.3559815325057
line2d_17.0_-3.3_24.csv,121,24,"[17.0, -3.3]","[17.098249276470842, -17.761168814996942]",5,1826.6452446908852
line2d_17.3_-15.3_26.csv,132,26,"[17.3, -15.3]","[17.290913964140326, -28.829525171223317]",5,1823.9161738877347
line2d_17.3_4.7_10.csv,50,10,"[17.3, 4.7]","[20.760518336812115, -37.60869235210507]",0,48520.50732304672
line2d_18.3_19.1_22.csv,110,22,"[18.3, 19.1]","[18.2598426040907, 32.24700388016097]",5,1366.3134584940606
line2d_18.5_21.8_21.csv,105,21,"[18.5, 21.8]","[17.419305289038448, 52.427130686153035]",0,29486.198958126362
line2d_19.4_8.8_6.csv,31,6,"[19.4, 8.8]","[22.79709329655, 10.68790136368925]",0,19941.003415294756
line2d_19.6_7.6_16.csv,80,16,"[19.6, 7.6]","[19.087411987395928, 34.22953764228912]",0,10879.321280686294
line2d_2.0_2.4_4.csv,20,4,"[2.0, 2.4]","[1.9581513679010523, 17.714873364767623]",6,259.5700387564791
line2d_2.4_-26.1_27.csv,136,27,"[2.4, -26.1]","[2.356134124959011, -12.43959752010589]",5,1498.0728658412315
