1,2,3,4,5,6
line2d_-0.1_-29.3_13.csv,66,13,"[-0.1, -29.3]","[0.6648135203765293, -14.081733270365254]",8.165e-5
line2d_-0.5_17.6_13.csv,66,13,"[-0.5, 17.6]","[-1.6619740320915999, 20.167870973736278]",7.915e-5
line2d_-10.4_12.4_26.csv,128,26,"[-10.4, 12.4]","[-10.421291802017567, -1.1029732223870854]",0.0007226
line2d_-12.3_2.7_13.csv,63,13,"[-12.3, 2.7]","[-12.273259073313577, -10.71707802087603]",0.00041985
line2d_-12.7_13.9_27.csv,135,27,"[-12.7, 13.9]","[-12.67022499105979, 28.1551851533558]",0.00095585
line2d_-13.3_-18.8_30.csv,149,30,"[-13.3, -18.8]","[-13.26944907508386, -32.501900321280914]",0.00106315
line2d_-14.9_17.3_13.csv,64,13,"[-14.9, 17.3]","[-14.436519829366071, 30.6698780832929]",8.08e-5
line2d_-15.1_24.9_20.csv,98,20,"[-15.1, 24.9]","[-14.98839951832195, 10.711885221279445]",0.0005665
line2d_-15.3_5.8_5.csv,26,5,"[-15.3, 5.8]","[-15.384221311410132, 22.094314831989962]",0.0002205
line2d_-15.7_-2.6_15.csv,75,15,"[-15.7, -2.6]","[-15.635063057052662, -19.204857382322523]",0.0001001
line2d_-15.8_18.0_13.csv,66,13,"[-15.8, 18.0]","[-15.45468846421649, 23.05314804877547]",9.46e-5
line2d_-17.5_-27.9_24.csv,118,24,"[-17.5, -27.9]","[-17.59768666577913, -42.22160008147828]",0.00086435
line2d_-18.0_-4.8_18.csv,91,18,"[-18.0, -4.8]","[-17.933896358506036, -18.45204560708075]",0.00069935
line2d_-18.1_-10.6_21.csv,103,21,"[-18.1, -10.6]","[-18.025455616035448, 3.1843678318843436]",0.0011043
line2d_-18.1_-15.5_15.csv,74,15,"[-18.1, -15.5]","[-18.462936058010293, 20.811841578469455]",0.0001271
line2d_-19.0_-1.2_24.csv,119,24,"[-19.0, -1.2]","[-18.93552123853064, -15.390788333372644]",0.000927
line2d_-19.8_5.6_9.csv,45,9,"[-19.8, 5.6]","[-22.871558473615014, 35.61270248677503]",5.845e-5
line2d_-19.9_7.7_5.csv,27,5,"[-19.9, 7.7]","[-19.89152655825787, -5.684651412307715]",0.00022635
line2d_-2.4_10.9_28.csv,138,28,"[-2.4, 10.9]","[-2.4128349976563754, 25.542235821361924]",0.0009214
line2d_-2.8_-2.2_6.csv,32,6,"[-2.8, -2.2]","[-3.227692287105764, 22.31819190276439]",4.3e-5
line2d_-20.1_-13.3_17.csv,83,17,"[-20.1, -13.3]","[-20.120251546127673, 2.395037429399383]",0.00011395
line2d_-20.4_-15.7_28.csv,142,28,"[-20.4, -15.7]","[-20.40197067072549, -1.3617369385877132]",0.0014406
line2d_-20.5_-18.9_27.csv,135,27,"[-20.5, -18.9]","[-20.53789984542313, -32.4111870435177]",0.0013264
line2d_-20.6_27.2_27.csv,137,27,"[-20.6, 27.2]","[-20.52975882651493, 41.107452069881]",0.00160155
line2d_-20.7_26.8_26.csv,132,26,"[-20.7, 26.8]","[-20.697968038124817, 13.094795520582398]",0.0010335
line2d_-20.9_8.3_23.csv,117,23,"[-20.9, 8.3]","[-21.027182827398924, 22.52736262694938]",0.0007706
line2d_-21.4_-1.1_10.csv,49,10,"[-21.4, -1.1]","[-22.683594485852566, -17.736766522144617]",7.32e-5
line2d_-23.4_21.7_20.csv,99,20,"[-23.4, 21.7]","[-21.771081311786553, 32.20161567584226]",0.0001768
line2d_-24.5_-18.7_14.csv,71,14,"[-24.5, -18.7]","[-24.023643571499306, -17.37022840720694]",0.0001022
line2d_-25.1_8.6_18.csv,92,18,"[-25.1, 8.6]","[-25.14964151058428, 22.562347321181658]",0.00075855
line2d_-27.0_1.7_25.csv,124,25,"[-27.0, 1.7]","[-26.971765948058223, 15.3098144122308]",0.0008882
line2d_-3.1_22.6_26.csv,128,26,"[-3.1, 22.6]","[-3.1132874586937556, 8.749078140590095]",0.00097395
line2d_-3.4_18.1_19.csv,94,19,"[-3.4, 18.1]","[-5.772634822197298, 28.89390600768137]",0.00013065
line2d_-4.0_-9.2_23.csv,116,23,"[-4.0, -9.2]","[-4.0031594514820865, -23.934177545043212]",0.000884
line2d_-5.4_6.3_4.csv,18,4,"[-5.4, 6.3]","[-5.369360642398065, -8.444655378414835]",0.0001537
line2d_-5.5_-17.0_18.csv,90,18,"[-5.5, -17.0]","[-5.529636876776267, -2.9996681047268576]",0.00063735
line2d_-5.7_-12.0_15.csv,77,15,"[-5.7, -12.0]","[-5.18908999933465, -18.956903582021916]",0.0001025
line2d_-5.8_-13.8_8.csv,42,8,"[-5.8, -13.8]","[-4.8577725118859565, 23.64840428392037]",5.79e-5
line2d_-5.8_-22.8_9.csv,44,9,"[-5.8, -22.8]","[-7.387846913345219, -22.314373699652464]",6.51e-5
line2d_-7.6_19.5_16.csv,78,16,"[-7.6, 19.5]","[-5.422717058937488, 19.242462970498725]",0.0001205
line2d_-7.9_25.9_4.csv,20,4,"[-7.9, 25.9]","[-8.03822258596349, 38.3891886652205]",0.0001636
line2d_-7.9_7.4_4.csv,21,4,"[-7.9, 7.4]","[-8.86064190862307, 3.0635282642195043]",2.83e-5
line2d_-8.1_-27.7_12.csv,62,12,"[-8.1, -27.7]","[-7.9879940120417965, -13.360871043803408]",0.0005562
line2d_-9.7_-14.0_10.csv,48,10,"[-9.7, -14.0]","[-9.259498954746942, -18.143102439657937]",6.54e-5
line2d_0.0_4.6_6.csv,30,6,"[0.0, 4.6]","[1.608711597207707, -11.434198488235612]",4.04e-5
line2d_0.6_20.6_7.csv,34,7,"[0.6, 20.6]","[0.6459507723543357, 35.64376268377879]",0.0004503
line2d_1.8_-3.2_13.csv,64,13,"[1.8, -3.2]","[1.7676604308365509, -17.706462299441306]",0.0005666
line2d_10.0_9.5_11.csv,53,11,"[10.0, 9.5]","[8.304895608330007, 26.744415923542885]",7.56e-5
line2d_10.2_8.2_3.csv,15,3,"[10.2, 8.2]","[10.054111250608113, 21.38910189038265]",0.0001458
line2d_10.6_-4.0_20.csv,98,20,"[10.6, -4.0]","[10.650814867507226, -17.81490560057303]",0.0009573
line2d_10.9_1.6_9.csv,44,9,"[10.9, 1.6]","[9.268830885851136, 21.441039755386836]",6.11e-5
line2d_11.3_-22.0_29.csv,145,29,"[11.3, -22.0]","[11.321239315860907, -36.86786398578298]",0.00138745
line2d_11.3_26.2_3.csv,14,3,"[11.3, 26.2]","[11.250891287601766, 11.13108778330255]",0.0001209
line2d_11.6_13.1_29.csv,145,29,"[11.6, 13.1]","[11.57781838938527, -1.6262314619482376]",0.0002103
line2d_11.6_14.4_27.csv,136,27,"[11.6, 14.4]","[12.829248771791173, -0.29496017930946034]",0.00019995
line2d_14.4_4.8_7.csv,34,7,"[14.4, 4.8]","[15.392436036891675, 8.336101418954456]",4.965e-5
line2d_14.4_5.2_26.csv,131,26,"[14.4, 5.2]","[14.322981748096694, -8.615191204275618]",0.00082845
line2d_14.5_-24.0_30.csv,150,30,"[14.5, -24.0]","[14.502126338298327, -9.754829054487537]",0.00096525
line2d_15.5_11.5_29.csv,147,29,"[15.5, 11.5]","[15.401155362768282, 4.431682431767934]",0.0002213
line2d_15.8_-0.2_9.csv,44,9,"[15.8, -0.2]","[15.94937043478319, 13.397755270858358]",0.00032225
line2d_16.2_4.8_7.csv,33,7,"[16.2, 4.8]","[15.06377335043298, 21.786257721430996]",4.535e-5
line2d_16.6_27.1_30.csv,149,30,"[16.6, 27.1]","[16.641620590502786, 41.075035766022374]",0.0009588
line2d_16.9_4.3_23.csv,116,23,"[16.9, 4.3]","[16.882250323710497, 18.442666094161172]",0.00091765
line2d_17.0_-26.5_27.csv,137,27,"[17.0, -26.5]","[16.899073748227234, -40.098390996451435]",0.0010794
line2d_17.0_-3.3_24.csv,121,24,"[17.0, -3.3]","[17.098249276471524, -17.761168815095278]",0.0011513
line2d_17.3_-15.3_26.csv,132,26,"[17.3, -15.3]","[17.290913964140323, -28.829525171245248]",0.0012631
line2d_17.3_4.7_10.csv,50,10,"[17.3, 4.7]","[20.760518336812115, -37.60869235210507]",7.045e-5
line2d_18.3_19.1_22.csv,110,22,"[18.3, 19.1]","[18.25984260409058, 32.2470038802655]",0.00084695
line2d_18.5_21.8_21.csv,105,21,"[18.5, 21.8]","[17.419305289038448, 52.427130686153035]",0.00014565
line2d_19.4_8.8_6.csv,31,6,"[19.4, 8.8]","[22.79709329655, 10.68790136368925]",4.565e-5
line2d_19.6_7.6_16.csv,80,16,"[19.6, 7.6]","[19.087411987395928, 34.22953764228912]",0.0001135
