1,2,3,4,5,6
line2d_-0.1_-29.3_13.csv,66,13,"[-0.1, -29.3]","[-0.09983236894717477, -15.023404365475145]",9.605e-5
line2d_-0.5_17.6_13.csv,66,13,"[-0.5, 17.6]","[-0.6440221116547451, 31.103612021749516]",8.295e-5
line2d_-10.4_12.4_26.csv,128,26,"[-10.4, 12.4]","[-10.421291797909458, -1.1029743234284202]",0.00034815
line2d_-12.3_2.7_13.csv,63,13,"[-12.3, 2.7]","[-12.273259068674246, -10.717077192027979]",7.85e-5
line2d_-12.7_13.9_27.csv,135,27,"[-12.7, 13.9]","[-12.670224990797365, 28.155185182300823]",0.0002035
line2d_-13.3_-18.8_30.csv,149,30,"[-13.3, -18.8]","[-13.269449075331188, -32.501900409507314]",0.0002453
line2d_-14.9_17.3_13.csv,64,13,"[-14.9, 17.3]","[-14.911596717286073, 30.447986709125114]",0.0001018
line2d_-15.1_24.9_20.csv,98,20,"[-15.1, 24.9]","[-14.988399518205709, 10.711885167470326]",0.00016065
line2d_-15.3_5.8_5.csv,26,5,"[-15.3, 5.8]","[-15.384221321911753, 22.094315863428125]",3.515e-5
line2d_-15.7_-2.6_15.csv,75,15,"[-15.7, -2.6]","[-15.766956782436322, -17.17049583030249]",9.84e-5
line2d_-15.8_18.0_13.csv,66,13,"[-15.8, 18.0]","[-15.777490800243461, 31.132349429594615]",7.68e-5
line2d_-17.5_-27.9_24.csv,118,24,"[-17.5, -27.9]","[-17.59768666568633, -42.221599917532814]",0.00070255
line2d_-18.0_-4.8_18.csv,91,18,"[-18.0, -4.8]","[-17.93389635770271, -18.45204548218731]",0.000126
line2d_-18.1_-10.6_21.csv,103,21,"[-18.1, -10.6]","[-18.025455616169264, 3.184367747694485]",0.00016585
line2d_-18.1_-15.5_15.csv,74,15,"[-18.1, -15.5]","[-18.142693264030594, -1.784906630342823]",0.0006487
line2d_-19.0_-1.2_24.csv,119,24,"[-19.0, -1.2]","[-18.935521238765862, -15.390788389606103]",0.0001958
line2d_-19.8_5.6_9.csv,45,9,"[-19.8, 5.6]","[-19.831599118247436, 19.379504352567487]",4.925e-5
line2d_-19.9_7.7_5.csv,27,5,"[-19.9, 7.7]","[-19.891526560805417, -5.684651718764259]",3.105e-5
line2d_-2.4_10.9_28.csv,138,28,"[-2.4, 10.9]","[-2.412834996795894, 25.54223620326578]",0.00019375
line2d_-2.8_-2.2_6.csv,32,6,"[-2.8, -2.2]","[-2.7790004041003695, 11.468391931287615]",3.6e-5
line2d_-20.1_-13.3_17.csv,83,17,"[-20.1, -13.3]","[-20.118885653035846, 0.9279276070158625]",0.00010355
line2d_-20.4_-15.7_28.csv,142,28,"[-20.4, -15.7]","[-20.401970670845877, -1.361736959614039]",0.0001879
line2d_-20.5_-18.9_27.csv,135,27,"[-20.5, -18.9]","[-20.5378998454209, -32.41118703759253]",0.0001694
line2d_-20.6_27.2_27.csv,137,27,"[-20.6, 27.2]","[-20.529758826754772, 41.10745209552709]",0.00018735
line2d_-20.7_26.8_26.csv,132,26,"[-20.7, 26.8]","[-20.697968037879622, 13.09479540633535]",0.0001968
line2d_-20.9_8.3_23.csv,117,23,"[-20.9, 8.3]","[-21.027182832244474, 22.52736204326209]",0.00014355
line2d_-21.4_-1.1_10.csv,49,10,"[-21.4, -1.1]","[-21.55217589497653, -15.314208092357966]",5.22e-5
