1,2,3,4,5,6,7,8,9
line2d_-10.0_-4.6_18.csv,90,18,"[-10.0, -4.6]","[-9.999999999996326, -4.599999998942853]",5,8.039184053775876e-17,5,0.0006906
line2d_-10.5_24.0_11.csv,55,11,"[-10.5, 24.0]","[-10.500000000000012, 23.99999999999603]",6,6.921396951510403e-22,6,0.0004458
line2d_-10.7_23.6_28.csv,140,28,"[-10.7, 23.6]","[-10.69999999999821, 23.600000000209576]",5,4.892154163583772e-18,5,0.0010045
line2d_-10.8_3.1_22.csv,109,22,"[-10.8, 3.1]","[-10.800000000000638, 3.099999999830867]",6,2.4863585114666375e-18,8,0.0009028
line2d_-11.0_13.8_7.csv,36,7,"[-11.0, 13.8]","[-11.000000000000053, 13.79999999998065]",6,1.0849982499533953e-20,6,0.00028935
line2d_-11.3_-11.8_27.csv,137,27,"[-11.3, -11.8]","[-11.299999999999914, -11.800000000189025]",5,3.9302058230312134e-18,5,0.0010449
line2d_-11.3_-24.7_23.csv,115,23,"[-11.3, -24.7]","[-11.299999999998501, -24.700000000194343]",5,3.459910643780192e-18,5,0.0008169
line2d_-11.3_9.9_8.csv,38,8,"[-11.3, 9.9]","[-11.29999999999928, 9.899999999918442]",6,1.9821004536641456e-19,6,0.0003068
line2d_-11.4_6.8_20.csv,98,20,"[-11.4, 6.8]","[-11.4000000000057, 6.800000000549443]",5,2.3364476103346253e-17,5,0.0006965
line2d_-13.6_-8.4_24.csv,119,24,"[-13.6, -8.4]","[-13.599999999999854, -8.399999999986823]",5,1.6366931816436315e-20,5,0.0008473
line2d_-13.9_-21.3_3.csv,13,3,"[-13.9, -21.3]","[-13.900000000000194, -21.30000000007344]",7,5.3892189576291936e-20,7,0.000127
line2d_-14.0_20.2_5.csv,23,5,"[-14.0, 20.2]","[-14.000000000029646, 20.2000000040444]",6,2.931375296991343e-16,6,0.0001884
line2d_-14.8_14.4_20.csv,99,20,"[-14.8, 14.4]","[-14.799999999999978, 14.40000000000409]",8,1.3179156336132471e-21,13,0.0010279
line2d_-14.9_-22.0_19.csv,97,19,"[-14.9, -22.0]","[-14.899999999999986, -21.999999999996444]",6,9.840880821382502e-22,6,0.0008122
line2d_-16.5_14.7_19.csv,96,19,"[-16.5, 14.7]","[-16.5, 14.699999999999049]",6,6.892178332441922e-23,6,0.0007871
line2d_-16.7_-16.5_23.csv,115,23,"[-16.7, -16.5]","[-16.699999999999594, -16.50000000072545]",5,4.841631807418698e-17,5,0.0008036
line2d_-17.3_-2.2_26.csv,129,26,"[-17.3, -2.2]","[-17.30000000000026, -2.199999999922573]",15,6.169613071365574e-19,28,0.00253325
line2d_-17.4_-15.0_6.csv,31,6,"[-17.4, -15.0]","[-17.399999999999647, -14.999999999964551]",6,3.119025672916612e-20,6,0.0002583
line2d_-18.1_27.3_6.csv,28,6,"[-18.1, 27.3]","[-18.100000000000275, 27.299999999966236]",7,2.4981267647645605e-20,8,0.0002579
line2d_-18.3_-22.9_12.csv,59,12,"[-18.3, -22.9]","[-18.300000000000363, -22.899999999975922]",6,2.6763756837958128e-20,6,0.000476
line2d_-18.7_21.2_29.csv,147,29,"[-18.7, 21.2]","[-18.699999999999996, 21.200000000773805]",4,7.065568670316434e-17,4,0.0009527
line2d_-19.4_-19.2_17.csv,83,17,"[-19.4, -19.2]","[-19.400000000001807, -19.20000000028023]",5,5.1671384554771694e-18,5,0.0005743
line2d_-19.7_4.2_10.csv,48,10,"[-19.7, 4.2]","[-19.699999999999946, 4.200000000002528]",6,2.358559597937876e-22,6,0.0003832
line2d_-2.3_25.4_5.csv,23,5,"[-2.3, 25.4]","[-2.300000000000265, 25.400000000017076]",7,5.183176808197027e-21,8,0.000213
line2d_-20.8_-27.5_13.csv,64,13,"[-20.8, -27.5]","[-20.80000000000295, -27.49999999977095]",5,2.6418993186711235e-18,5,0.0004378
line2d_-20.8_0.4_28.csv,141,28,"[-20.8, 0.4]","[-20.7999999999981, 0.39999999958594945]",5,1.9342883027212416e-17,5,0.0010291
line2d_-20.9_24.2_6.csv,28,6,"[-20.9, 24.2]","[-20.900000000000333, 24.200000000023405]",6,1.1883444199283185e-20,6,0.0002566
line2d_-20.9_9.0_20.csv,101,20,"[-20.9, 9.0]","[-20.900000000000063, 8.999999999967898]",5,8.3457311806544e-20,5,0.0007432
line2d_-22.0_15.1_26.csv,132,26,"[-22.0, 15.1]","[-21.999999999998053, 15.099999999659547]",5,1.2257146791318963e-17,5,0.0009478
line2d_-22.6_-6.6_16.csv,80,16,"[-22.6, -6.6]","[-22.599999999999827, -6.599999999907622]",5,5.461144187052494e-19,5,0.0006295
line2d_-23.1_-1.6_12.csv,61,12,"[-23.1, -1.6]","[-23.10000000000552, -1.6000000008791608]",5,3.775806511930535e-17,5,0.0004161
line2d_-25.1_18.2_6.csv,28,6,"[-25.1, 18.2]","[-25.100000000000108, 18.20000000016024]",6,5.648869687744211e-19,6,0.0002431
line2d_-26.3_-19.2_8.csv,39,8,"[-26.3, -19.2]","[-26.300000000001134, -19.19999999994141]",6,1.0333806246643611e-19,6,0.0003111
line2d_-26.5_5.5_21.csv,104,21,"[-26.5, 5.5]","[-26.500000000000558, 5.500000000202291]",5,3.394719697293935e-18,5,0.0007209
line2d_-26.9_13.4_5.csv,27,5,"[-26.9, 13.4]","[-26.899999999997434, 13.399999999750635]",6,1.3554180926594866e-18,6,0.0002272
line2d_-27.4_-6.0_11.csv,54,11,"[-27.4, -6.0]","[-27.400000000000123, -6.000000000023593]",6,2.387818799797854e-20,6,0.0004289
line2d_-28.1_4.0_8.csv,41,8,"[-28.1, 4.0]","[-28.099999999999383, 3.999999999959297]",6,5.367196276955218e-20,6,0.0003343
line2d_-28.4_-1.2_28.csv,139,28,"[-28.4, -1.2]","[-28.399999999999757, -1.1999999999220143]",5,6.745061168417053e-19,5,0.0010136
line2d_-28.9_29.8_21.csv,105,21,"[-28.9, 29.8]","[-28.89999999999998, 29.79999999999082]",6,7.09585788890134e-21,7,0.0009
line2d_-29.1_-22.1_25.csv,124,25,"[-29.1, -22.1]","[-29.1, -22.10000000000044]",6,1.8028122256941662e-23,6,0.0011433
line2d_-29.7_23.6_29.csv,143,29,"[-29.7, 23.6]","[-29.69999999999974, 23.59999999992986]",5,5.603327623338131e-19,5,0.0010715
line2d_-4.0_-22.7_12.csv,60,12,"[-4.0, -22.7]","[-3.999999999999854, -22.700000000018605]",6,1.653622706148362e-20,6,0.0004743
line2d_-4.4_4.9_4.csv,18,4,"[-4.4, 4.9]","[-4.399999999997486, 4.899999999869686]",7,2.3147047797332454e-19,7,0.0001658
line2d_-4.9_-12.3_8.csv,41,8,"[-4.9, -12.3]","[-4.899999999999982, -12.299999999996286]",6,4.541529321221076e-22,6,0.0003511
line2d_-4.9_26.2_16.csv,82,16,"[-4.9, 26.2]","[-4.900000000000565, 26.200000000056534]",5,2.0940064331938834e-19,5,0.0005842
line2d_-5.7_-16.2_20.csv,98,20,"[-5.7, -16.2]","[-5.699999999999994, -16.200000000001193]",6,1.108523531442341e-22,6,0.00080785
line2d_-5.7_0.2_28.csv,139,28,"[-5.7, 0.2]","[-5.700000000000086, 0.20000000017010344]",5,3.2117579245696123e-18,5,0.0010017
line2d_-6.0_-10.9_17.csv,87,17,"[-6.0, -10.9]","[-5.999999999990014, -10.899999999152548]",5,4.9750852793848236e-17,5,0.0006035
line2d_-6.8_9.7_20.csv,99,20,"[-6.8, 9.7]","[-6.799999999999412, 9.699999999916578]",5,5.477393930062351e-19,5,0.0006993
line2d_-8.0_18.7_7.csv,34,7,"[-8.0, 18.7]","[-7.999999999996798, 18.700000000196024]",6,1.015791379807785e-18,6,0.0002916
line2d_-8.1_17.2_20.csv,100,20,"[-8.1, 17.2]","[-8.10000000000002, 17.200000000001275]",6,1.279322803703182e-22,6,0.0010188
line2d_-8.1_23.8_10.csv,51,10,"[-8.1, 23.8]","[-8.100000000000191, 23.799999999961795]",6,5.971103866189326e-20,6,0.0004073
line2d_-8.2_11.7_11.csv,55,11,"[-8.2, 11.7]","[-8.199999999999932, 11.699999999991679]",6,3.0323654572544872e-21,6,0.0004518
line2d_-8.3_17.5_3.csv,17,3,"[-8.3, 17.5]","[-8.300000000005445, 17.499999999568615]",6,2.5704460104869186e-18,6,0.0001459
line2d_-8.5_26.7_9.csv,43,9,"[-8.5, 26.7]","[-8.500000000000025, 26.69999999999329]",6,1.528277271080219e-21,6,0.0003471
line2d_10.3_-1.5_5.csv,25,5,"[10.3, -1.5]","[10.299999999996299, -1.4999999988047084]",6,2.8552663120910007e-17,6,0.000202
line2d_11.3_-4.7_15.csv,77,15,"[11.3, -4.7]","[11.299999999985582, -4.700000000762725]",5,3.5147610269428565e-17,5,0.0005291
line2d_11.8_3.2_17.csv,86,17,"[11.8, 3.2]","[11.800000000001178, 3.1999999988377144]",5,9.320534776650072e-17,5,0.0006135
line2d_12.8_-2.8_3.csv,16,3,"[12.8, -2.8]","[12.79999999998214, -2.7999999976319923]",6,7.260529666201502e-17,6,0.0001384
line2d_12.9_27.9_2.csv,12,2,"[12.9, 27.9]","[12.89999999995727, 27.900000003530284]",15,1.230015042100524e-16,25,0.0002582
line2d_13.0_-22.7_22.csv,110,22,"[13.0, -22.7]","[13.00000000000001, -22.699999999988087]",6,1.2486004478797491e-20,7,0.0008968
line2d_14.7_3.7_19.csv,96,19,"[14.7, 3.7]","[14.700000000000045, 3.7000000000405104]",5,1.2637820228433354e-19,5,0.0006693
line2d_15.2_-13.6_11.csv,54,11,"[15.2, -13.6]","[15.200000000000008, -13.60000000000249]",6,2.68144565970151e-22,6,0.0004354
line2d_15.8_-22.1_15.csv,76,15,"[15.8, -22.1]","[15.800000000002251, -22.100000000264156]",5,4.2332888753019476e-18,5,0.0005376
line2d_17.9_-22.4_22.csv,108,22,"[17.9, -22.4]","[17.899999999999988, -22.400000000002308]",6,4.566398468913921e-22,7,0.0009306
line2d_17.9_-4.8_4.csv,18,4,"[17.9, -4.8]","[17.9, -4.800000000056069]",6,4.3995415738342216e-20,6,0.0001532
line2d_19.7_11.6_17.csv,85,17,"[19.7, 11.6]","[19.700000000002863, 11.599999999442804]",5,2.1066652108648843e-17,5,0.0006358
line2d_2.4_-21.5_28.csv,141,28,"[2.4, -21.5]","[2.400000000000065, -21.49999999997713]",5,5.906000940205508e-20,5,0.00105295
line2d_2.8_-5.1_15.csv,75,15,"[2.8, -5.1]","[2.80000000000638, -5.100000000883658]",5,4.6666124920746236e-17,5,0.0005146
line2d_20.7_-14.2_3.csv,13,3,"[20.7, -14.2]","[20.699999999951665, -14.199999992846067]",6,5.100801635485241e-16,6,0.0001084
line2d_21.3_-10.8_22.csv,110,22,"[21.3, -10.8]","[21.300000000000104, -10.799999999949277]",5,2.264322260600212e-19,5,0.0007726
line2d_21.6_17.7_13.csv,66,13,"[21.6, 17.7]","[21.6, 17.699999999997765]",6,2.6250385393269163e-22,6,0.0005775
