1,2,3,4,5,6,7
line2d_-10.0_-4.6_18.csv,90,18,"[-10.0, -4.6]","[-9.999999999998467, -4.5999999995586185]",6,1.4014138953581974e-17
line2d_-10.5_24.0_11.csv,55,11,"[-10.5, 24.0]","[-10.500000000011463, 23.99999999624084]",6,6.213506208459504e-16
line2d_-10.7_23.6_28.csv,140,28,"[-10.7, 23.6]","[-10.699999999999513, 23.60000000005698]",6,3.616298126829786e-19
line2d_-10.8_3.1_22.csv,109,22,"[-10.8, 3.1]","[-10.800000000001523, 3.0999999995962844]",6,1.4166384932404335e-17
line2d_-11.0_13.8_7.csv,36,7,"[-11.0, 13.8]","[-11.000000000050065, 13.799999982000495]",6,9.389764456006221e-15
line2d_-11.3_-11.8_27.csv,137,27,"[-11.3, -11.8]","[-11.299999999999978, -11.800000000052021]",6,2.976733234702545e-19
line2d_-11.3_-24.7_23.csv,115,23,"[-11.3, -24.7]","[-11.299999999999507, -24.700000000064033]",6,3.7562507581369134e-19
line2d_-11.3_9.9_8.csv,38,8,"[-11.3, 9.9]","[-11.299999999984596, 9.899999998255561]",7,9.066725672527987e-17
line2d_-11.4_6.8_20.csv,98,20,"[-11.4, 6.8]","[-11.400000000002215, 6.800000000213583]",6,3.5305366404750865e-18
line2d_-13.6_-8.4_24.csv,119,24,"[-13.6, -8.4]","[-13.599999999987356, -8.399999998858863]",5,1.2262659088050446e-16
line2d_-13.9_-21.3_3.csv,13,3,"[-13.9, -21.3]","[-13.90000000023124, -21.300000087524634]",8,7.655554760040315e-14
line2d_-14.0_20.2_5.csv,23,5,"[-14.0, 20.2]","[-14.000000000019204, 20.20000000261983]",8,1.2300121075749383e-16
line2d_-14.8_14.4_20.csv,99,20,"[-14.8, 14.4]","[-14.79999999998889, 14.400000002027783]",5,3.241518905985916e-16
line2d_-14.9_-22.0_19.csv,97,19,"[-14.9, -22.0]","[-14.899999999986816, -21.999999996576467]",6,9.13190678879498e-16
line2d_-16.5_14.7_19.csv,96,19,"[-16.5, 14.7]","[-16.50000000000043, 14.699999999092165]",6,6.34584745567027e-17
line2d_-16.7_-16.5_23.csv,115,23,"[-16.7, -16.5]","[-16.699999999999868, -16.50000000023802]",6,5.2122818490981695e-18
line2d_-17.3_-2.2_26.csv,129,26,"[-17.3, -2.2]","[-17.300000000000455, -2.1999999998640343]",6,1.9023187503542655e-18
line2d_-17.4_-15.0_6.csv,31,6,"[-17.4, -15.0]","[-17.39999999967452, -14.999999967322472]",6,2.650670206402525e-14
line2d_-18.1_27.3_6.csv,28,6,"[-18.1, 27.3]","[-18.100000000292734, 27.29999996390422]",7,2.854840398266012e-14
line2d_-18.3_-22.9_12.csv,59,12,"[-18.3, -22.9]","[-18.30000000000513, -22.89999999965844]",7,5.386572527024896e-18
line2d_-18.7_21.2_29.csv,147,29,"[-18.7, 21.2]","[-18.69999999999992, 21.200000006032155]",4,4.293676611326645e-15
line2d_-19.4_-19.2_17.csv,83,17,"[-19.4, -19.2]","[-19.400000000000823, -19.20000000012764]",6,1.0720470758703757e-18
line2d_-19.7_4.2_10.csv,48,10,"[-19.7, 4.2]","[-19.699999999950872, 4.200000002379396]",6,2.0843821725614398e-16
line2d_-2.3_25.4_5.csv,23,5,"[-2.3, 25.4]","[-2.3000000002565897, 25.40000001652285]",7,4.85165867185487e-15
line2d_-20.8_-27.5_13.csv,64,13,"[-20.8, -27.5]","[-20.80000000025219, -27.499999980401302]",5,1.9342099275964882e-14
line2d_-20.8_0.4_28.csv,141,28,"[-20.8, 0.4]","[-20.79999999999949, 0.3999999998888623]",6,1.3937538831383492e-18
line2d_-20.9_24.2_6.csv,28,6,"[-20.9, 24.2]","[-20.900000000306406, 24.20000002137926]",6,9.912068962766266e-15
line2d_-20.9_9.0_20.csv,101,20,"[-20.9, 9.0]","[-20.90000000000562, 8.999999997226467]",5,6.228990456916536e-16
line2d_-22.0_15.1_26.csv,132,26,"[-22.0, 15.1]","[-21.999999999999442, 15.0999999999026]",6,1.0033359350431493e-18
line2d_-22.6_-6.6_16.csv,80,16,"[-22.6, -6.6]","[-22.599999999984984, -6.59999999205224]",5,4.041566745591349e-15
line2d_-23.1_-1.6_12.csv,61,12,"[-23.1, -1.6]","[-23.10000000000336, -1.6000000005347288]",6,1.3968223193668698e-17
line2d_-25.1_18.2_6.csv,28,6,"[-25.1, 18.2]","[-25.100000000002993, 18.200000004517996]",7,4.490581470828348e-16
line2d_-26.3_-19.2_8.csv,39,8,"[-26.3, -19.2]","[-26.300000000023985, -19.199999998758916]",7,4.637892724838135e-17
line2d_-26.5_5.5_21.csv,104,21,"[-26.5, 5.5]","[-26.500000000000203, 5.500000000073455]",6,4.475016941157658e-19
line2d_-26.9_13.4_5.csv,27,5,"[-26.9, 13.4]","[-26.899999999927104, 13.399999992911686]",7,1.095353608586953e-15
line2d_-27.4_-6.0_11.csv,54,11,"[-27.4, -6.0]","[-27.400000000119686, -6.000000022334957]",6,2.1403520953477357e-14
line2d_-28.1_4.0_8.csv,41,8,"[-28.1, 4.0]","[-28.099999999987745, 3.9999999991945105]",7,2.1022904454768692e-17
line2d_-28.4_-1.2_28.csv,139,28,"[-28.4, -1.2]","[-28.399999999979133, -1.1999999932339525]",5,5.0778551992241065e-15
line2d_-28.9_29.8_21.csv,105,21,"[-28.9, 29.8]","[-28.899999999998883, 29.799999999419644]",6,2.828543964037443e-17
line2d_-29.1_-22.1_25.csv,124,25,"[-29.1, -22.1]","[-29.100000000000506, -22.100000000421417]",6,1.7578968087051718e-17
line2d_-29.7_23.6_29.csv,143,29,"[-29.7, 23.6]","[-29.699999999977447, 23.599999993911243]",5,4.2219811916870625e-15
line2d_-4.0_-22.7_12.csv,60,12,"[-4.0, -22.7]","[-3.999999999861066, -22.700000017686985]",6,1.4944267380558352e-14
line2d_-4.4_4.9_4.csv,18,4,"[-4.4, 4.9]","[-4.399999999113104, 4.899999954024875]",8,2.881116721115499e-14
line2d_-4.9_-12.3_8.csv,41,8,"[-4.9, -12.3]","[-4.8999999999824455, -12.299999996521658]",6,3.9844860435545513e-16
line2d_-4.9_26.2_16.csv,82,16,"[-4.9, 26.2]","[-4.900000000048573, 26.200000004866077]",5,1.5513938787035973e-15
line2d_-5.7_-16.2_20.csv,98,20,"[-5.7, -16.2]","[-5.699999999993892, -16.200000001150592]",6,1.0304666513324864e-16
line2d_-5.7_0.2_28.csv,139,28,"[-5.7, 0.2]","[-5.700000000000023, 0.2000000000464028]",6,2.389723987983406e-19
line2d_-6.0_-10.9_17.csv,87,17,"[-6.0, -10.9]","[-5.999999999995675, -10.899999999632858]",6,9.337748865087786e-18
line2d_-6.8_9.7_20.csv,99,20,"[-6.8, 9.7]","[-6.799999999949245, 9.699999992795464]",5,4.08527640984199e-15
line2d_-8.0_18.7_7.csv,34,7,"[-8.0, 18.7]","[-7.999999999923553, 18.700000004680316]",7,5.790760888035976e-16
line2d_-8.1_17.2_20.csv,100,20,"[-8.1, 17.2]","[-8.100000000018031, 17.200000001227668]",6,1.1872714927213774e-16
line2d_-8.1_23.8_10.csv,51,10,"[-8.1, 23.8]","[-8.100000000003053, 23.79999999939241]",7,1.510278226765096e-17
