1,2,3,4,5,6
line2d_-10.0_-4.6_18.csv,90,18,"[-10.0, -4.6]","[-9.999999999682343, -4.5999999085657475]",0.0006923
line2d_-10.5_24.0_11.csv,55,11,"[-10.5, 24.0]","[-8.555909045378318, 24.881382883492698]",6.47e-5
line2d_-10.7_23.6_28.csv,140,28,"[-10.7, 23.6]","[-10.69999999984498, 23.60000001816264]",0.00139065
line2d_-10.8_3.1_22.csv,109,22,"[-10.8, 3.1]","[-10.800000000379148, 3.099999899532512]",0.0007013
line2d_-11.0_13.8_7.csv,36,7,"[-11.0, 13.8]","[-11.000000004082427, 13.799998532286626]",0.00023145
line2d_-11.3_-11.8_27.csv,137,27,"[-11.3, -11.8]","[-11.29999999999247, -11.800000016411703]",0.0009558
line2d_-11.3_-24.7_23.csv,115,23,"[-11.3, -24.7]","[-11.749906717336007, -38.858608522398974]",0.00014815
line2d_-11.3_9.9_8.csv,38,8,"[-11.3, 9.9]","[-11.299999999332021, 9.899999924358687]",0.00028405
line2d_-11.4_6.8_20.csv,98,20,"[-11.4, 6.8]","[-12.717677731633215, 3.5861790471296113]",0.0001327
line2d_-13.6_-8.4_24.csv,119,24,"[-13.6, -8.4]","[-13.599999998256818, -8.399999840178818]",0.00072035
line2d_-13.9_-21.3_3.csv,13,3,"[-13.9, -21.3]","[-13.90000000673178, -21.300002547996492]",0.00012675
line2d_-14.0_20.2_5.csv,23,5,"[-14.0, 20.2]","[-14.000000026573982, 20.200003625368613]",0.0001764
line2d_-14.8_14.4_20.csv,99,20,"[-14.8, 14.4]","[-14.799999998748316, 14.400000228325112]",0.00060075
line2d_-14.9_-22.0_19.csv,97,19,"[-14.9, -22.0]","[-14.899999997052813, -21.999999234778254]",0.0008604
line2d_-16.5_14.7_19.csv,96,19,"[-16.5, 14.7]","[-16.809653879655457, 0.06628918902974407]",0.00016195
line2d_-16.7_-16.5_23.csv,115,23,"[-16.7, -16.5]","[-16.69999999996502, -16.500000062758364]",0.00104295
line2d_-17.3_-2.2_26.csv,129,26,"[-17.3, -2.2]","[-17.30000000013465, -2.199999959941384]",0.0009358
line2d_-17.4_-15.0_6.csv,31,6,"[-17.4, -15.0]","[-20.910289221192723, -3.5876390796994815]",4.11e-5
line2d_-18.1_27.3_6.csv,28,6,"[-18.1, 27.3]","[-18.10000000944868, 27.29999883495733]",0.00023025
line2d_-18.3_-22.9_12.csv,59,12,"[-18.3, -22.9]","[-18.300000000342905, -22.899999977166846]",0.00047285
line2d_-18.7_21.2_29.csv,147,29,"[-18.7, 21.2]","[-18.70000000000445, 21.200000008418062]",0.00094315
line2d_-19.4_-19.2_17.csv,83,17,"[-19.4, -19.2]","[-19.472187311894178, -23.896160473873966]",0.00012495
line2d_-19.7_4.2_10.csv,48,10,"[-19.7, 4.2]","[-19.699999994749778, 4.200000254290855]",0.00036335
line2d_-2.3_25.4_5.csv,23,5,"[-2.3, 25.4]","[-2.3000000066787147, 25.40000043006874]",0.00018805
line2d_-20.8_-27.5_13.csv,64,13,"[-20.8, -27.5]","[-21.672843098387858, -25.975668678119604]",8.92e-5
line2d_-20.8_0.4_28.csv,141,28,"[-20.8, 0.4]","[-19.452313581052668, 2.627305935865362]",0.00020735
line2d_-20.9_24.2_6.csv,28,6,"[-20.9, 24.2]","[-20.900000018623878, 24.2000012994682]",0.0002154
line2d_-20.9_9.0_20.csv,101,20,"[-20.9, 9.0]","[-20.900000000649623, 8.999999679562455]",0.0007512
line2d_-22.0_15.1_26.csv,132,26,"[-22.0, 15.1]","[-21.80223470921058, 5.543036984478707]",0.00018955
line2d_-22.6_-6.6_16.csv,80,16,"[-22.6, -6.6]","[-22.599999999134052, -6.59999940811866]",0.00052205
line2d_-23.1_-1.6_12.csv,61,12,"[-23.1, -1.6]","[-23.100000000464195, -1.6000000739549292]",0.00047165
line2d_-25.1_18.2_6.csv,28,6,"[-25.1, 18.2]","[-25.100000000095427, 18.200000144166996]",0.0002294
line2d_-26.3_-19.2_8.csv,39,8,"[-26.3, -19.2]","[-26.76735506904684, -10.811055367998435]",5.205e-5
line2d_-26.5_5.5_21.csv,104,21,"[-26.5, 5.5]","[-26.50000000004771, 5.500000017318294]",0.00073625
line2d_-26.9_13.4_5.csv,27,5,"[-26.9, 13.4]","[-26.787076453506536, 1.0877240736840428]",3.665e-5
line2d_-27.4_-6.0_11.csv,54,11,"[-27.4, -6.0]","[-29.176305127365513, -15.383031457174999]",6.985e-5
line2d_-28.1_4.0_8.csv,41,8,"[-28.1, 4.0]","[-25.93992238558171, -6.0665017808472825]",5.39e-5
line2d_-28.4_-1.2_28.csv,139,28,"[-28.4, -1.2]","[-29.228602623911023, 2.9781151034690923]",0.00020435
