1,2,3,4,5,6,7,8,9,10
line2d_-10.0_-4.6_18.csv,90,18,"[-10.0, -4.6]","[-9.999999999344645, -4.599999811365895]",4,4,2.5596608112188124e-12,4,0.000934
line2d_-10.5_24.0_11.csv,55,11,"[-10.5, 24.0]","[-10.500000003944995, 23.999998705947913]",4,4,7.363073734219055e-11,4,0.0005855
line2d_-10.7_23.6_28.csv,140,28,"[-10.7, 23.6]","[-10.69999988023298, 23.600014028788753]",3,4,2.1920709733508567e-8,3,0.001278
line2d_-10.8_3.1_22.csv,109,22,"[-10.8, 3.1]","[-10.800000001322047, 3.0999996496575988]",4,4,1.0668353641556801e-11,4,0.0011513
line2d_-11.0_13.8_7.csv,36,7,"[-11.0, 13.8]","[-11.000000703396045, 13.799747139900969]",3,4,1.853079722438624e-6,3,0.0003589
line2d_-11.3_-11.8_27.csv,137,27,"[-11.3, -11.8]","[-11.29999999505491, -11.80000955152913]",3,4,1.0035327488971999e-8,3,0.0013728
line2d_-11.3_-24.7_23.csv,115,23,"[-11.3, -24.7]","[-11.299999930875575, -24.70000896138576]",3,4,7.356515642778341e-9,3,0.0011086
line2d_-11.3_9.9_8.csv,38,8,"[-11.3, 9.9]","[-11.299999997716915, 9.899999741465697]",6,4,1.9914759167587818e-12,6,0.0004707
line2d_-11.4_6.8_20.csv,98,20,"[-11.4, 6.8]","[-11.400000001191776, 6.800000114881097]",4,4,1.0214407695490976e-12,4,0.0010884
line2d_-13.6_-8.4_24.csv,119,24,"[-13.6, -8.4]","[-13.600002793579929, -8.400179006007576]",2,3,3.022338144703342e-6,2,0.0007403
line2d_-13.9_-21.3_3.csv,13,3,"[-13.9, -21.3]","[-13.900000338581059, -21.300128153768945]",6,5,1.6412655451024256e-7,6,0.000196
line2d_-14.0_20.2_5.csv,23,5,"[-14.0, 20.2]","[-14.000000111359471, 20.200015192270882]",5,5,4.1362578974215425e-9,5,0.0003477
line2d_-14.8_14.4_20.csv,99,20,"[-14.8, 14.4]","[-14.799999995172922, 14.400000880669959]",3,3,6.114122920384239e-11,3,0.0007002
