1,2,3,4,5,6,7,8
quadratic_0.2_-0.6_3_10_800_88.csv,800,88,"[0.2, -0.4, 1.2, 12.6, -4.6, 12.6, -0.4, 0.2, -0.6, -0.6]","([0.20000002805610112, -0.40000000016153026, 1.199999999455632, 12.600000028244352, -4.600000000137759, 12.600000024424517, -0.39999999512267337, 0.20000000175107766, -0.6000000019334535, -0.600000307454595], 1)",13,5,1.3043338438242268e-11
quadratic_1.4_-1.8_4_15_950_95.csv,950,95,"[1.4, 1.0, -0.6, -2.0, 6.0, -0.2, -0.8, 3.2, -0.2, 3.0, 1.2, 1.0, 0.4, 3.4, -1.8]","([1.3999999061757706, 1.0000000025201663, -0.6000000010686555, -2.0000000000235314, 5.999999961595572, -0.19999999708683372, -0.8000000029522308, 3.199999961423634, -0.1999999976204005, 2.9999999455546584, 1.2000000008457876, 0.999999999065112, 0.4000000022474634, 3.4000000040078944, -1.7999999221206293], 1)",27,8,1.0549016499224242e-12
quadratic_1.4_-1.8_6_28_500_25.csv,500,25,"[1.4, -0.6, -1.4, 1.6, -0.2, -1.8, 7.0, -1.4, 4.6, -6.0, 3.4, 15.6, -6.4, 4.4, -7.8, 11.8, -5.0, -4.0, 11.4, -9.8, 23.8, -1.8, -2.4, 0.8, -0.6, 1.2, 0.6, -1.8]","([1.3999999826199816, -0.6000000005043264, -1.3999999984565499, 1.6000000002113797, -0.19999999984456956, -1.8000000003771368, 6.999999985672693, -1.4000000007925473, 4.600000000998392, -6.000000000154858, 3.4000000006079962, 15.599999982667342, -6.400000001019442, 4.399999999923704, -7.80000000101994, 11.79999998687045, -4.999999999095466, -3.9999999999511067, 11.399999985813354, -9.80000000030532, 23.7999999863789, -1.7999999978353682, -2.3999999978140494, 0.8000000021828059, -0.5999999994329335, 1.1999999973248858, 0.5999999993251401, -1.7999998644495976], 1)",15,5,1.0064277835691843e-12
quadratic_1.8_-1.8_4_15_350_63.csv,350,63,"[1.8, 0.4, -4.4, -2.0, 2.2, -1.2, -1.6, 11.2, 5.4, 3.4, -0.2, 0.4, 2.6, -1.8, -1.8]","([1.7999999985042423, 0.3999999999531689, -4.399999999947684, -2.000000000014495, 2.1999999984302185, -1.199999999982177, -1.5999999999337529, 11.199999998542678, 5.399999999986787, 3.3999999985584584, -0.20000000060775644, 0.40000000032544847, 2.5999999990339924, -1.7999999991502325, -1.7999998121982075], 1)",15,5,1.6524143426087304e-12
quadratic_10.4_0.2_4_15_750_38.csv,750,38,"[10.4, 0.8, 1.2, 0.2, 1.8, -1.4, 2.4, 4.4, -1.6, 7.4, 0.8, -0.2, -2.2, -0.2, 0.2]","([10.40000000106702, 0.7999999999978976, 1.1999999999915179, 0.19999999998779291, 1.8000000011929427, -1.3999999999908748, 2.399999999919374, 4.400000001027131, -1.6000000000632464, 7.400000001103849, 0.7999999999960855, -0.20000000000571402, -2.199999999946914, -0.19999999991946182, 0.19999998421881682], 1)",13,5,3.053977621479541e-14
quadratic_11.0_1.6_6_28_450_99.csv,450,99,"[11.0, -3.4, -2.4, 1.0, 7.0, 6.8, 8.8, 5.8, -1.6, -7.2, -2.2, 6.0, -1.2, -7.0, -2.2, 18.4, -1.0, 2.0, 13.8, 7.2, 12.0, -1.8, 0.4, 3.0, 0.2, 1.2, 1.2, 1.6]","([11.000000004853934, -3.399999999443454, -2.4000000002695425, 0.9999999997451035, 6.999999999990688, 6.799999999848296, 8.800000004893839, 5.799999999881825, -1.5999999999090442, -7.200000000038828, -2.199999999934408, 6.000000004483682, -1.2000000004897344, -7.0000000000617915, -2.199999999962223, 18.40000000393206, -0.9999999998138792, 1.9999999999948075, 13.800000003769615, 7.199999999798455, 12.000000004177348, -1.8000000070761006, 0.3999999976607223, 2.9999999996030646, 0.20000000327550346, 1.2000000028266256, 1.199999998848417, 1.5999996563372778], 1)",19,6,4.463150735846293e-12
quadratic_12.2_3.0_7_36_650_130.csv,650,130,"[12.2, 5.2, -8.2, -1.8, 6.6, 7.4, -2.0, 8.4, -3.6, 2.4, 6.8, 4.4, -5.6, 11.0, -0.4, -2.4, 2.2, -0.8, 5.6, -3.4, 1.4, -0.4, 16.2, 5.8, -0.6, 23.8, 1.0, 13.4, 0.2, 2.4, 3.8, 4.4, 0.6, -2.4, 3.0, 3.0]","([12.199999997926268, 5.199999999988497, -8.199999999812515, -1.8000000000692287, 6.600000000062553, 7.400000000328646, -2.0000000001264975, 8.399999997523093, -3.5999999998413785, 2.400000000125318, 6.799999999978713, 4.400000000111578, -5.599999999913585, 10.999999997911887, -0.40000000024514987, -2.3999999998794292, 2.1999999996267996, -0.7999999999473395, 5.599999997325879, -3.3999999999501904, 1.3999999999900374, -0.4000000000111928, 16.199999998134338, 5.799999999950985, -0.599999999882805, 23.799999997472028, 1.0000000001634604, 13.399999997405015, 0.2000000005248152, 2.3999999997735393, 3.8000000014256146, 4.399999999296797, 0.5999999991547644, -2.400000000065847, 2.9999999969359408, 3.0000003861170352], 1)",15,5,7.318367235003037e-12
quadratic_12.2_4.6_8_45_250_42.csv,250,42,"[12.2, 7.0, -2.0, -4.4, 2.8, 7.8, 2.2, 4.8, 13.4, -4.2, 4.2, 3.0, 4.4, 1.8, 5.0, 10.6, -0.4, 2.2, 1.0, -2.2, -6.0, 11.4, 2.0, -0.8, -2.6, 0.6, 10.4, -0.6, -6.0, 3.4, 13.2, 9.8, -0.2, 18.6, -1.0, 6.8, 0.4, -0.2, -0.8, 0.4, -2.8, 1.2, -3.4, 3.2, 4.6]","([1.9357671520331299, 5.871864266700824, -0.2519373563222989, -2.4881394439732336, 1.9171360013402394, 3.9834091962593603, 3.744093312310967, 3.625173746441812, -1.9829887068739065, -1.45830192833993, 6.316168151354515, 2.3806340407658992, 4.002335319066367, 1.8381001621897777, 2.715260427710169, 0.29947684210319336, -0.569925537912111, -0.27292708368997864, 1.2913752019993705, -1.0247576083668315, 0.18495807900422953, 7.301019645510673, 0.5261724738411077, -1.5609847652201159, -2.492637787338288, 1.8195012831244135, 2.3759707751021555, -0.03217379213385212, -4.518995328744732, 4.285961825339811, 9.750463159506745, 11.759352534536136, -4.871581333884779, 8.332180566472509, -2.306729951159211, 3.2665828559173677, 3.725555215755864, 1.3462878701820222, -2.33121111158798, 3.0170283282347072, -4.678715661471894, 2.2365348789329693, -2.8002613922644293, 5.08456845279713, 25.758010732697954], 1)",22,6,9033.192847165692
quadratic_12.6_-0.2_3_10_350_56.csv,350,56,"[12.6, -14.6, 10.0, 17.2, -11.0, 23.8, -0.0, -0.8, -0.4, -0.2]","([12.599999983287216, -14.600000001610761, 10.000000000416039, 17.199999979954622, -10.999999999688619, 23.799999978851545, -3.1032061934674115e-9, -0.8000000004732437, -0.39999999544240555, -0.1999997866701568], 1)",15,5,2.954329536847595e-12
quadratic_13.2_-1.6_5_21_750_150.csv,750,150,"[13.2, 4.0, 1.4, 6.8, 1.4, 11.6, 2.4, 4.2, 7.2, 11.8, -1.2, -11.8, 7.8, 7.0, 21.8, -1.2, 1.4, -0.2, -3.0, 0.4, -1.6]","([13.199999999415448, 3.999999999974099, 1.399999999993337, 6.800000000008889, 1.400000000014631, 11.599999999369551, 2.39999999997734, 4.199999999954378, 7.200000000003719, 11.799999999408913, -1.1999999999858273, -11.799999999983692, 7.799999999373175, 7.0000000000225855, 21.799999999427268, -1.2000000000478774, 1.3999999998201882, -0.1999999998793043, -3.0000000000707034, 0.39999999998685787, -1.5999999896426504], 1)",23,7,9.03270201367738e-15
