1,2,3,4,5,6,7,8
quadratic_0.2_-0.6_3_10_800_88_with_noise.csv,800,88,"[0.2, -0.4, 1.2, 12.6, -4.6, 12.6, -0.4, 0.2, -0.6, -0.6]","[0.19755291833473002, -0.4008057344180615, 1.20093537331322, 12.59714339775708, -4.597649623544141, 12.5957977171873, -0.39903575401976404, 0.2012079299539704, -0.601140536169839, -0.5723907461518042]",5,44.270335503282006,0.00340915
quadratic_1.4_-1.8_4_15_950_95_with_noise.csv,950,95,"[1.4, 1.0, -0.6, -2.0, 6.0, -0.2, -0.8, 3.2, -0.2, 3.0, 1.2, 1.0, 0.4, 3.4, -1.8]","[1.3774897011492944, 1.0354746876987562, -0.6016749699029527, -2.0075643899736155, 6.035923177719367, -0.20137943717541534, -0.7958168639940966, 3.2300199719122524, -0.22099684554892152, 2.963317801292364, 1.2238860750932978, 0.9984484041444658, 0.3872119687304194, 3.4052834481046284, -1.8249479908123252]",8,50.26501357678347,0.0065413
quadratic_1.4_-1.8_6_28_500_25_with_noise.csv,500,25,"[1.4, -0.6, -1.4, 1.6, -0.2, -1.8, 7.0, -1.4, 4.6, -6.0, 3.4, 15.6, -6.4, 4.4, -7.8, 11.8, -5.0, -4.0, 11.4, -9.8, 23.8, -1.8, -2.4, 0.8, -0.6, 1.2, 0.6, -1.8]","[1.4098341528879932, -0.5953604066250532, -1.403883178908658, 1.6045233813804558, -0.20428415755184876, -1.8052038119359581, 7.007741381855815, -1.400405476078427, 4.597715027362797, -6.002985771700078, 3.394490312837545, 15.59261099991634, -6.404615814246406, 4.398763931397485, -7.789905318619212, 11.814654532032632, -4.995990860686398, -4.003389811462171, 11.401485352309347, -9.79611137138997, 23.795635652484336, -1.7813554028464071, -2.4130210700198935, 0.7937257541772618, -0.6120518930614173, 1.1999840512272923, 0.5970811905600033, -1.8467021645761368]",5,29.253623227072133,0.0085546
quadratic_1.8_-1.8_4_15_350_63_with_noise.csv,350,63,"[1.8, 0.4, -4.4, -2.0, 2.2, -1.2, -1.6, 11.2, 5.4, 3.4, -0.2, 0.4, 2.6, -1.8, -1.8]","[1.8006915803780794, 0.4002580324932915, -4.400023576388075, -2.0005791833454434, 2.199843276375134, -1.1997992597595493, -1.5998130567827458, 11.198801854024476, 5.400334337069104, 3.3994329550538374, -0.19923813793806408, 0.40134489300293463, 2.599650240650056, -1.7974045236863545, -1.7801511868719955]",5,18.29610104378505,0.00201605
quadratic_10.4_0.2_4_15_750_38_with_noise.csv,750,38,"[10.4, 0.8, 1.2, 0.2, 1.8, -1.4, 2.4, 4.4, -1.6, 7.4, 0.8, -0.2, -2.2, -0.2, 0.2]","[10.391638886627089, 0.8026903909993787, 1.2023879115281164, 0.20247117759470257, 1.7933771056773866, -1.3992562737373335, 2.402352413770313, 4.396871105640414, -1.6018572936456046, 7.398862413324007, 0.8065562987367421, -0.201998756856131, -2.198190454779699, -0.19138418101991478, 0.25499755570385535]",4,42.18200371430894,0.00546645
quadratic_11.0_1.6_6_28_450_99_with_noise.csv,450,99,"[11.0, -3.4, -2.4, 1.0, 7.0, 6.8, 8.8, 5.8, -1.6, -7.2, -2.2, 6.0, -1.2, -7.0, -2.2, 18.4, -1.0, 2.0, 13.8, 7.2, 12.0, -1.8, 0.4, 3.0, 0.2, 1.2, 1.2, 1.6]","[10.998873645269876, -3.400027079158603, -2.400277667746169, 0.9998878448713008, 6.999639125730218, 6.800326608510138, 8.797345357433942, 5.800706344949462, -1.598366276376291, -7.199848832690334, -2.1995582610094053, 6.000278864768268, -1.2001033514372528, -7.000220374357826, -2.1988479513313623, 18.39859608721822, -0.9989807675437575, 1.999558707286458, 13.799057481841468, 7.1990625970245095, 11.999566377636565, -1.7990085834991627, 0.4026105790818681, 3.0026801881054044, 0.20572485151957995, 1.2038413115041393, 1.1983677951915985, 1.6507589906011901]",6,19.536410733072923,0.00653455
quadratic_12.2_3.0_7_36_650_130_with_noise.csv,650,130,"[12.2, 5.2, -8.2, -1.8, 6.6, 7.4, -2.0, 8.4, -3.6, 2.4, 6.8, 4.4, -5.6, 11.0, -0.4, -2.4, 2.2, -0.8, 5.6, -3.4, 1.4, -0.4, 16.2, 5.8, -0.6, 23.8, 1.0, 13.4, 0.2, 2.4, 3.8, 4.4, 0.6, -2.4, 3.0, 3.0]","[12.200690984876132, 5.200115185450112, -8.200089026518448, -1.800043819476206, 6.599682556601946, 7.399573208823729, -1.9999175003196317, 8.400315354159387, -3.599613194350727, 2.4000170687901217, 6.800023145025935, 4.399595501355889, -5.599602420434204, 11.00054446610858, -0.40034349872224223, -2.4001312892885123, 2.1999168887939597, -0.7992546926071159, 5.600115466481836, -3.3997749960274604, 1.3998364604919489, -0.4003301619290088, 16.19997110789492, 5.800004020531512, -0.5998072183924918, 23.799563674685515, 0.9995249949132301, 13.3996655079903, 0.1997789611281838, 2.4036035586395794, 3.7967441344069583, 4.40644724551165, 0.6041444413626716, -2.4006357093470347, 3.000990032214911, 2.9945072323505793]",5,30.648511470741056,0.01365325
quadratic_12.2_4.6_8_45_250_42_with_noise.csv,250,42,"[12.2, 7.0, -2.0, -4.4, 2.8, 7.8, 2.2, 4.8, 13.4, -4.2, 4.2, 3.0, 4.4, 1.8, 5.0, 10.6, -0.4, 2.2, 1.0, -2.2, -6.0, 11.4, 2.0, -0.8, -2.6, 0.6, 10.4, -0.6, -6.0, 3.4, 13.2, 9.8, -0.2, 18.6, -1.0, 6.8, 0.4, -0.2, -0.8, 0.4, -2.8, 1.2, -3.4, 3.2, 4.6]","[1.9403103931955465, 5.852531517768377, -0.239157002257344, -2.496978147584403, 1.9301441996263178, 3.992118977032039, 3.760500645500369, 3.6140641457747265, -1.9415284401020994, -1.4866888527894957, 6.293667454687048, 2.36789615823207, 4.031177021088355, 1.7960394806428779, 2.6814352497435427, 0.27409533032119954, -0.5452391512938959, -0.2844838854247514, 1.3047169704322645, -1.039773949436083, 0.19509624326436145, 7.3261630101179405, 0.544549231828151, -1.5732819089105596, -2.4615791636789135, 1.8155209722451497, 2.3690404485634162, -0.03240783938938043, -4.560114526962703, 4.300284991122396, 9.739852956715188, 11.74326796335056, -4.888066710799468, 8.348878653328637, -2.3195044163357963, 3.2503205992392545, 3.747479982941984, 1.332529795432474, -2.3652713573117587, 2.997366473385472, -4.697671781083348, 2.215111184647614, -2.832674647604371, 5.144601534513281, 25.7406240102166]",7,9062.71877862889,0.00804445
quadratic_12.6_-0.2_3_10_350_56_with_noise.csv,350,56,"[12.6, -14.6, 10.0, 17.2, -11.0, 23.8, -0.0, -0.8, -0.4, -0.2]","[12.598416801215755, -14.601566023650896, 9.997650830307695, 17.194184267594842, -10.999409925183722, 23.80535769544528, 0.02547371769296196, -0.8045780139294993, -0.4188384627537933, -0.1876590621770696]",5,18.97047767363819,0.0011968
quadratic_13.2_-1.6_5_21_750_150_with_noise.csv,750,150,"[13.2, 4.0, 1.4, 6.8, 1.4, 11.6, 2.4, 4.2, 7.2, 11.8, -1.2, -11.8, 7.8, 7.0, 21.8, -1.2, 1.4, -0.2, -3.0, 0.4, -1.6]","[13.202755122071462, 4.002743231649215, 1.3999394632771596, 6.801941524993023, 1.4025639060953172, 11.609256458183149, 2.399651136719454, 4.200800233470625, 7.19922247326529, 11.797578666769567, -1.2006203003219937, -11.799519571647867, 7.805550933988501, 6.996403450688314, 21.79589430181303, -1.1889068162891516, 1.403976325445717, -0.1940001112096408, -2.9973178065430983, 0.3929490235933765, -1.6369069549881123]",6,35.06779769996633,0.00758835
