1,2,3,4,5,6,7
quadratic_0.2_-0.6_3_10_800_88.csv,800,88,"[0.2, -0.4, 1.2, 12.6, -4.6, 12.6, -0.4, 0.2, -0.6, -0.6]","[0.20000000002246554, -0.400000000000125, 1.1999999999995763, 12.600000000022632, -4.60000000000011, 12.600000000019566, -0.3999999999962265, 0.2000000000017307, -0.6000000000015409, -0.6000000002463215]",6,8.371580574841142e-18
quadratic_1.4_-1.8_4_15_950_95.csv,950,95,"[1.4, 1.0, -0.6, -2.0, 6.0, -0.2, -0.8, 3.2, -0.2, 3.0, 1.2, 1.0, 0.4, 3.4, -1.8]","[1.3999999996870716, 1.0000000000096516, -0.6000000000024361, -2.0000000000006892, 5.999999999829255, -0.19999999998835188, -0.8000000000112063, 3.1999999998272437, -0.19999999999197685, 2.9999999997987, 1.2000000000037732, 0.999999999994321, 0.40000000001006175, 3.400000000015152, -1.7999999997026688]",10,1.4208498952286406e-17
quadratic_1.4_-1.8_6_28_500_25.csv,500,25,"[1.4, -0.6, -1.4, 1.6, -0.2, -1.8, 7.0, -1.4, 4.6, -6.0, 3.4, 15.6, -6.4, 4.4, -7.8, 11.8, -5.0, -4.0, 11.4, -9.8, 23.8, -1.8, -2.4, 0.8, -0.6, 1.2, 0.6, -1.8]","[1.3999999998940356, -0.600000000003095, -1.3999999999905854, 1.6000000000013097, -0.19999999999910092, -1.8000000000022893, 6.999999999912516, -1.4000000000048567, 4.60000000000609, -6.000000000000963, 3.400000000003721, 15.599999999894266, -6.400000000006232, 4.399999999999537, -7.8000000000062535, 11.79999999991957, -4.999999999994448, -3.9999999999997016, 11.399999999913412, -9.800000000001853, 23.799999999916444, -1.7999999999866676, -2.399999999986714, 0.8000000000130967, -0.599999999996732, 1.1999999999836113, 0.5999999999963316, -1.7999999991717437]",7,3.757347689474657e-17
quadratic_1.8_-1.8_4_15_350_63.csv,350,63,"[1.8, 0.4, -4.4, -2.0, 2.2, -1.2, -1.6, 11.2, 5.4, 3.4, -0.2, 0.4, 2.6, -1.8, -1.8]","[1.7999999999903322, 0.39999999999969715, -4.399999999999663, -2.0000000000000937, 2.1999999999898527, -1.1999999999998847, -1.5999999999995718, 11.19999999999058, 5.399999999999915, 3.399999999990682, -0.20000000000392945, 0.40000000000210456, 2.5999999999937535, -1.7999999999945078, -1.7999999987860613]",7,6.903740929126735e-17
quadratic_10.4_0.2_4_15_750_38.csv,750,38,"[10.4, 0.8, 1.2, 0.2, 1.8, -1.4, 2.4, 4.4, -1.6, 7.4, 0.8, -0.2, -2.2, -0.2, 0.2]","[10.399999999997814, 0.8000000000000025, 1.2000000000000173, 0.2000000000000271, 1.7999999999975351, -1.4000000000000208, 2.40000000000017, 4.399999999997897, -1.5999999999998675, 7.399999999997724, 0.8000000000000418, -0.1999999999998713, -2.2000000000000406, -0.20000000000025794, 0.20000000003245583]",6,1.291093920310403e-19
quadratic_11.0_1.6_6_28_450_99.csv,450,99,"[11.0, -3.4, -2.4, 1.0, 7.0, 6.8, 8.8, 5.8, -1.6, -7.2, -2.2, 6.0, -1.2, -7.0, -2.2, 18.4, -1.0, 2.0, 13.8, 7.2, 12.0, -1.8, 0.4, 3.0, 0.2, 1.2, 1.2, 1.6]","[11.000000000020659, -3.3999999999976316, -2.400000000001147, 0.9999999999989154, 6.99999999999996, 6.799999999999353, 8.800000000020828, 5.799999999999496, -1.5999999999996126, -7.2000000000001645, -2.1999999999997204, 6.000000000019083, -1.2000000000020847, -7.000000000000262, -2.1999999999998394, 18.400000000016732, -0.999999999999208, 1.9999999999999778, 13.800000000016045, 7.199999999999141, 12.000000000017778, -1.8000000000301195, 0.3999999999900494, 2.999999999998311, 0.200000000013942, 1.2000000000120306, 1.1999999999951005, 1.5999999985373319]",8,8.08523089117294e-17
quadratic_12.2_3.0_7_36_650_130.csv,650,130,"[12.2, 5.2, -8.2, -1.8, 6.6, 7.4, -2.0, 8.4, -3.6, 2.4, 6.8, 4.4, -5.6, 11.0, -0.4, -2.4, 2.2, -0.8, 5.6, -3.4, 1.4, -0.4, 16.2, 5.8, -0.6, 23.8, 1.0, 13.4, 0.2, 2.4, 3.8, 4.4, 0.6, -2.4, 3.0, 3.0]","[12.199999999985863, 5.199999999999921, -8.19999999999872, -1.8000000000004726, 6.600000000000426, 7.400000000002241, -2.0000000000008615, 8.399999999983116, -3.5999999999989183, 2.4000000000008535, 6.799999999999854, 4.400000000000761, -5.59999999999941, 10.999999999985764, -0.4000000000016712, -2.3999999999991775, 2.199999999997456, -0.7999999999996418, 5.599999999981769, -3.3999999999996606, 1.399999999999932, -0.40000000000007674, 16.19999999998728, 5.799999999999666, -0.5999999999992004, 23.799999999982766, 1.0000000000011138, 13.39999999998231, 0.20000000000357282, 2.3999999999984505, 3.800000000009715, 4.399999999995205, 0.5999999999942371, -2.4000000000004515, 2.9999999999791145, 3.0000000026321594]",7,3.400937497368917e-16
quadratic_12.2_4.6_8_45_250_42.csv,250,42,"[12.2, 7.0, -2.0, -4.4, 2.8, 7.8, 2.2, 4.8, 13.4, -4.2, 4.2, 3.0, 4.4, 1.8, 5.0, 10.6, -0.4, 2.2, 1.0, -2.2, -6.0, 11.4, 2.0, -0.8, -2.6, 0.6, 10.4, -0.6, -6.0, 3.4, 13.2, 9.8, -0.2, 18.6, -1.0, 6.8, 0.4, -0.2, -0.8, 0.4, -2.8, 1.2, -3.4, 3.2, 4.6]","[1.9357671778845804, 5.871864279741142, -0.25193734525151473, -2.4881393912778056, 1.917136041418462, 3.98340918546329, 3.744093322457701, 3.625173754482574, -1.9829886798604912, -1.458301938348343, 6.316168152477756, 2.3806340663420062, 4.002335318952041, 1.838100160427251, 2.7152604001206266, 0.29947673095260985, -0.5699254977650595, -0.27292712107684164, 1.2913752335425774, -1.0247576249108226, 0.18495809640076138, 7.301019733692158, 0.526172498943023, -1.560984763757919, -2.4926377584103383, 1.8195012835271624, 2.3759707627690543, -0.032173819245439085, -4.518995337581611, 4.285961899469397, 9.750463304897606, 11.759352559977788, -4.871581370625424, 8.33218053634548, -2.3067299932166083, 3.266582987675908, 3.7255552662339895, 1.3462879249294728, -2.331211152005928, 3.017028336449442, -4.678715681136, 2.2365348773962226, -2.8002613834837367, 5.084568508986211, 25.75801063704767]",100,9033.192847165687
quadratic_12.6_-0.2_3_10_350_56.csv,350,56,"[12.6, -14.6, 10.0, 17.2, -11.0, 23.8, -0.0, -0.8, -0.4, -0.2]","[12.59999999991925, -14.600000000007782, 10.000000000002009, 17.19999999990317, -10.999999999998497, 23.799999999897835, -1.5008522198193555e-11, -0.8000000000022456, -0.3999999999779814, -0.19999999896939918]",7,6.895015866407273e-17
quadratic_13.2_-1.6_5_21_750_150.csv,750,150,"[13.2, 4.0, 1.4, 6.8, 1.4, 11.6, 2.4, 4.2, 7.2, 11.8, -1.2, -11.8, 7.8, 7.0, 21.8, -1.2, 1.4, -0.2, -3.0, 0.4, -1.6]","[13.199999999989615, 3.9999999999995475, 1.399999999999883, 6.800000000000156, 1.4000000000002593, 11.599999999988745, 2.3999999999995967, 4.19999999999919, 7.200000000000071, 11.799999999989472, -1.1999999999997502, -11.799999999999706, 7.799999999988869, 7.000000000000411, 21.799999999989783, -1.2000000000010937, 1.399999999996753, -0.19999999999774312, -3.0000000000010436, 0.39999999999972624, -1.5999999998156271]",8,2.8619338565808848e-18
