1,2,3,4,5,6
quadratic_0.2_-0.6_3_10_800_88.csv,800,88,"[0.2, -0.4, 1.2, 12.6, -4.6, 12.6, -0.4, 0.2, -0.6, -0.6]","([0.19999996630613667, -0.39999999981439055, 1.2000000006296734, 12.59999996605244, -4.599999999835364, 12.599999970644665, -0.4000000055959181, 0.1999999972339201, -0.5999999976739554, -0.5999996304933272], 4, 1.8838735589955665e-11)",0.00253385
quadratic_1.4_-1.8_4_15_950_95.csv,950,95,"[1.4, 1.0, -0.6, -2.0, 6.0, -0.2, -0.8, 3.2, -0.2, 3.0, 1.2, 1.0, 0.4, 3.4, -1.8]","([1.39999997457272, 1.0000000006996415, -0.6000000002841948, -2.0000000000403877, 5.99999998862321, -0.19999999913713315, -0.8000000008284177, 3.199999987427098, -0.19999999935061175, 2.999999984349087, 1.2000000002411524, 0.9999999996886152, 0.4000000007082398, 3.40000000119186, -1.7999999774882949], 8, 8.46625100255829e-14)",0.0045903
quadratic_1.4_-1.8_6_28_500_25.csv,500,25,"[1.4, -0.6, -1.4, 1.6, -0.2, -1.8, 7.0, -1.4, 4.6, -6.0, 3.4, 15.6, -6.4, 4.4, -7.8, 11.8, -5.0, -4.0, 11.4, -9.8, 23.8, -1.8, -2.4, 0.8, -0.6, 1.2, 0.6, -1.8]","([1.3999999861975645, -0.6000000004015528, -1.3999999987741079, 1.6000000001689034, -0.19999999987910944, -1.8000000002989165, 6.999999988615387, -1.400000000630712, 4.600000000792988, -6.000000000123959, 3.400000000483571, 15.599999986232813, -6.4000000008103255, 4.399999999939558, -7.800000000811855, 11.799999989554177, -4.999999999279772, -3.9999999999612146, 11.399999988729803, -9.800000000242047, 23.799999989157026, -1.7999999982733754, -2.3999999982659332, 0.8000000017219572, -0.5999999995598454, 1.1999999978713678, 0.5999999994873318, -1.7999998922631006], 5, 6.357694554377496e-13)",0.00484855
quadratic_1.8_-1.8_4_15_350_63.csv,350,63,"[1.8, 0.4, -4.4, -2.0, 2.2, -1.2, -1.6, 11.2, 5.4, 3.4, -0.2, 0.4, 2.6, -1.8, -1.8]","([1.7999999988325022, 0.3999999999634466, -4.3999999999591655, -2.000000000011314, 2.199999998774724, -1.1999999999860889, -1.5999999999482915, 11.199999998862502, 5.399999999989687, 3.3999999988748195, -0.2000000004743766, 0.40000000025402194, 2.599999999245995, -1.7999999993367202, -1.7999998534132653], 5, 1.0067201809723772e-12)",0.0013064
quadratic_10.4_0.2_4_15_750_38.csv,750,38,"[10.4, 0.8, 1.2, 0.2, 1.8, -1.4, 2.4, 4.4, -1.6, 7.4, 0.8, -0.2, -2.2, -0.2, 0.2]","([10.399999999437265, 0.800000000000287, 1.2000000000044926, 0.20000000000743903, 1.799999999361016, -1.4000000000060295, 2.400000000044928, 4.399999999459179, -1.5999999999653127, 7.3999999994109364, 0.8000000000189702, -0.19999999994017686, -2.1999999999960655, -0.20000000008688598, 0.20000000837913187], 4, 8.610545856819222e-15)",0.00393955
quadratic_11.0_1.6_6_28_450_99.csv,450,99,"[11.0, -3.4, -2.4, 1.0, 7.0, 6.8, 8.8, 5.8, -1.6, -7.2, -2.2, 6.0, -1.2, -7.0, -2.2, 18.4, -1.0, 2.0, 13.8, 7.2, 12.0, -1.8, 0.4, 3.0, 0.2, 1.2, 1.2, 1.6]","([11.000000001110315, -3.3999999998726937, -2.400000000061657, 0.9999999999416935, 6.99999999999787, 6.799999999965298, 8.800000001119443, 5.799999999972968, -1.5999999999791938, -7.200000000008882, -2.199999999984996, 6.000000001025621, -1.2000000001120246, -7.0000000000141345, -2.1999999999913595, 18.40000000089944, -0.9999999999574257, 1.9999999999988123, 13.800000000862282, 7.1999999999538975, 12.000000000955549, -1.800000001618629, 0.3999999994649017, 2.9999999999092033, 0.2000000007492556, 1.2000000006465834, 1.1999999997365873, 1.5999999213887557], 6, 2.335319285127576e-13)",0.00361035
quadratic_12.2_3.0_7_36_650_130.csv,650,130,"[12.2, 5.2, -8.2, -1.8, 6.6, 7.4, -2.0, 8.4, -3.6, 2.4, 6.8, 4.4, -5.6, 11.0, -0.4, -2.4, 2.2, -0.8, 5.6, -3.4, 1.4, -0.4, 16.2, 5.8, -0.6, 23.8, 1.0, 13.4, 0.2, 2.4, 3.8, 4.4, 0.6, -2.4, 3.0, 3.0]","([12.199999998239873, 5.199999999990236, -8.19999999984087, -1.8000000000587593, 6.600000000053092, 7.400000000278945, -2.0000000001073674, 8.39999999789767, -3.599999999865366, 2.400000000106367, 6.799999999981932, 4.400000000094704, -5.599999999926653, 10.99999999822767, -0.40000000020807663, -2.3999999998976627, 2.19999999968324, -0.7999999999553042, 5.599999997730281, -3.399999999957723, 1.399999999991544, -0.4000000000094996, 16.199999998416477, 5.799999999958397, -0.599999999900528, 23.79999999785433, 1.0000000001387404, 13.399999997797451, 0.20000000044544639, 2.399999999807783, 3.80000000121003, 4.399999999403142, 0.5999999992825914, -2.4000000000558948, 2.9999999973993137, 3.000000327725404], 5, 5.272251914333232e-12)",0.0087723
quadratic_12.2_4.6_8_45_250_42.csv,250,42,"[12.2, 7.0, -2.0, -4.4, 2.8, 7.8, 2.2, 4.8, 13.4, -4.2, 4.2, 3.0, 4.4, 1.8, 5.0, 10.6, -0.4, 2.2, 1.0, -2.2, -6.0, 11.4, 2.0, -0.8, -2.6, 0.6, 10.4, -0.6, -6.0, 3.4, 13.2, 9.8, -0.2, 18.6, -1.0, 6.8, 0.4, -0.2, -0.8, 0.4, -2.8, 1.2, -3.4, 3.2, 4.6]","([1.9357671716495888, 5.871864274862455, -0.2519373488524915, -2.4881394055641337, 1.9171360315304338, 3.9834091896356334, 3.7440933199037842, 3.6251737510502435, -1.9829886847158211, -1.4583019365896637, 6.3161681512609995, 2.3806340592979653, 4.002335316789253, 1.8381001603317502, 2.7152604051087423, 0.2994767568230154, -0.5699255086547931, -0.27292711229120936, 1.2913752256316366, -1.024757620568508, 0.18495808952903975, 7.301019710821601, 0.5261724918518587, -1.5609847626982474, -2.4926377660136163, 1.8195012827717796, 2.375970763317663, -0.032173811774857466, -4.518995334493711, 4.285961877673193, 9.750463274413065, 11.759352553424627, -4.871581360593903, 8.332180541483503, -2.3067299811424125, 3.266582947792868, 3.725555250672872, 1.3462879105633483, -2.331211142059062, 3.0170283332848067, -4.67871567722025, 2.236534878066905, -2.800261386427864, 5.084568492273593, 25.75801066344716], 7, 9033.192847165688)",0.0036082
quadratic_12.6_-0.2_3_10_350_56.csv,350,56,"[12.6, -14.6, 10.0, 17.2, -11.0, 23.8, -0.0, -0.8, -0.4, -0.2]","([12.599999985845002, -14.600000001364254, 10.000000000352543, 17.19999998302408, -10.999999999736065, 23.799999982089446, -2.630676892112393e-9, -0.8000000004064008, -0.3999999961409732, -0.1999998193302778], 5, 2.118979185470629e-12)",0.00101655
quadratic_13.2_-1.6_5_21_750_150.csv,750,150,"[13.2, 4.0, 1.4, 6.8, 1.4, 11.6, 2.4, 4.2, 7.2, 11.8, -1.2, -11.8, 7.8, 7.0, 21.8, -1.2, 1.4, -0.2, -3.0, 0.4, -1.6]","([13.19999999847952, 3.999999999933566, 1.399999999982893, 6.800000000022988, 1.400000000037978, 11.599999998353626, 2.3999999999409516, 4.199999999881431, 7.20000000001038, 11.79999999845929, -1.1999999999633382, -11.799999999957157, 7.799999998369972, 7.00000000006002, 21.799999998505086, -1.2000000001535156, 1.3999999995255183, -0.19999999967176277, -3.000000000158975, 0.39999999996061747, -1.5999999730129688], 6, 6.132125518184365e-14)",0.00482855
