1,2,3,4,5,6
quadratic_0.2_-0.6_3_10_800_88.csv,800,88,"[0.2, -0.4, 1.2, 12.6, -4.6, 12.6, -0.4, 0.2, -0.6, -0.6]","[0.3455067133651992, -0.5669673607321292, 1.3863366324012691, 11.38558358508371, -4.359594304980665, 10.074297341285503, -0.7106591651973353, 0.5411556724361493, 0.1325810828583342, 8.109076207927012]",0.00313125
quadratic_1.4_-1.8_4_15_950_95.csv,950,95,"[1.4, 1.0, -0.6, -2.0, 6.0, -0.2, -0.8, 3.2, -0.2, 3.0, 1.2, 1.0, 0.4, 3.4, -1.8]","[3.216955460819636e-5, 0.900190506545915, -0.2985986047487937, -0.6359223160321059, 1.2065673794524545, -0.15607476032566373, -0.5437800322779099, 0.010545721238760596, -0.15319063509220404, 0.5529709797282165, 0.9100632442456624, 0.31702876216000203, 0.6764091678006261, 2.8253813618353325, 1.9803946895041908]",0.00516705
quadratic_1.4_-1.8_6_28_500_25.csv,500,25,"[1.4, -0.6, -1.4, 1.6, -0.2, -1.8, 7.0, -1.4, 4.6, -6.0, 3.4, 15.6, -6.4, 4.4, -7.8, 11.8, -5.0, -4.0, 11.4, -9.8, 23.8, -1.8, -2.4, 0.8, -0.6, 1.2, 0.6, -1.8]","[1.3999999921817066, -0.6000000002275682, -1.3999999993055883, 1.600000000095784, -0.1999999999317938, -1.8000000001692555, 6.999999993550577, -1.400000000357401, 4.600000000449191, -6.000000000070318, 3.4000000002739923, 15.599999992201449, -6.4000000004590785, 4.39999999996578, -7.800000000460068, 11.799999994081054, -4.999999999591831, -3.9999999999780385, 11.399999993615713, -9.800000000137063, 23.799999993855366, -1.7999999990211422, -2.399999999017955, 0.8000000009741465, -0.5999999997517755, 1.1999999987938064, 0.5999999997120734, -1.7999999389639267]",0.0404139
quadratic_1.8_-1.8_4_15_350_63.csv,350,63,"[1.8, 0.4, -4.4, -2.0, 2.2, -1.2, -1.6, 11.2, 5.4, 3.4, -0.2, 0.4, 2.6, -1.8, -1.8]","[1.7926712462780228, 0.6172573644624909, -4.363095215836379, -1.9732304225521584, 1.8647051007541635, -1.2234420156235353, -1.7334488635344036, 10.706617123364818, 5.077836905448874, 3.2941375564301136, -0.14148436929827576, 2.441063169915675, 2.1336144630467193, -2.1486002596895726, 17.640534088073593]",0.0017044
quadratic_10.4_0.2_4_15_750_38.csv,750,38,"[10.4, 0.8, 1.2, 0.2, 1.8, -1.4, 2.4, 4.4, -1.6, 7.4, 0.8, -0.2, -2.2, -0.2, 0.2]","[10.399999999250399, 0.8000000000005135, 1.2000000000059863, 0.2000000000097507, 1.7999999991504532, -1.4000000000078403, 2.400000000059464, 4.3999999992794825, -1.5999999999540062, 7.399999999216441, 0.8000000000228212, -0.19999999992921164, -2.1999999999999256, -0.20000000010873087, 0.20000001115221827]",0.02997485
quadratic_11.0_1.6_6_28_450_99.csv,450,99,"[11.0, -3.4, -2.4, 1.0, 7.0, 6.8, 8.8, 5.8, -1.6, -7.2, -2.2, 6.0, -1.2, -7.0, -2.2, 18.4, -1.0, 2.0, 13.8, 7.2, 12.0, -1.8, 0.4, 3.0, 0.2, 1.2, 1.2, 1.6]","[10.73858180110114, -2.7836427336916536, -1.6924401312498418, 0.22982930382090885, 6.353258515808127, 6.570948100768666, 8.376790567211083, 5.98291050450911, -1.4625238710647626, -6.795656622560033, -1.9329321919986784, 6.370673723682532, -1.0684386644020152, -7.026886983197035, -1.7057564496128883, 15.732447178097235, -0.8799141395801705, 1.6206066270826416, 12.558435780644551, 6.866088924917497, 11.053847549156071, 0.27945197793852006, -1.5821750543618265, 0.8702870006699197, -0.2513910660417237, 3.983100221555088, 5.12717392358104, 37.30754629271883]",0.00445195
quadratic_12.2_3.0_7_36_650_130.csv,650,130,"[12.2, 5.2, -8.2, -1.8, 6.6, 7.4, -2.0, 8.4, -3.6, 2.4, 6.8, 4.4, -5.6, 11.0, -0.4, -2.4, 2.2, -0.8, 5.6, -3.4, 1.4, -0.4, 16.2, 5.8, -0.6, 23.8, 1.0, 13.4, 0.2, 2.4, 3.8, 4.4, 0.6, -2.4, 3.0, 3.0]","[11.307879659393429, 5.035439541063287, -8.030661462294052, -1.6802105893117536, 6.327797642773022, 6.979632019785435, -1.9491309596224844, 7.596394360166977, -3.108659133561045, 2.4835610115415543, 6.6589675065936555, 4.218545208637721, -5.5860883905366086, 10.456468398143386, -0.3764666315537808, -2.618898714084699, 2.297299002363799, -0.6671366687540272, 6.388030980259327, -3.128135527581754, 1.603039185316253, -0.7422836254188983, 15.55811011026775, 5.458541594001891, -0.6000794788208231, 22.786546855650492, 0.6481909503120594, 13.190164878372041, 2.093923796740099, 4.528991623461535, 4.186639689475866, 5.191522822137113, 1.647129496789621, -3.7820488933307765, 3.589092814265305, 62.878428334280294]",0.0098807
quadratic_12.2_4.6_8_45_250_42.csv,250,42,"[12.2, 7.0, -2.0, -4.4, 2.8, 7.8, 2.2, 4.8, 13.4, -4.2, 4.2, 3.0, 4.4, 1.8, 5.0, 10.6, -0.4, 2.2, 1.0, -2.2, -6.0, 11.4, 2.0, -0.8, -2.6, 0.6, 10.4, -0.6, -6.0, 3.4, 13.2, 9.8, -0.2, 18.6, -1.0, 6.8, 0.4, -0.2, -0.8, 0.4, -2.8, 1.2, -3.4, 3.2, 4.6]","[1.7430317005840785, 3.731443922933513, -0.3154022138861195, -2.6362164228182863, 3.269799885394461, 2.2198461251373383, 2.5709105113241777, 2.5619109571439536, 1.6382167388717725, -1.2111961058672338, 3.04955984480695, 1.6293819491259824, -1.7075181506075752, 1.528288417790108, 0.24192713117709455, -1.4214436978690268, -0.8104369803699931, 1.0153749821557911, -0.2727663630276787, -2.882815988412048, 0.1459877490725039, 5.15539876475878, 0.35037392243658677, -0.1623204578136571, -1.7463080423672963, 1.8425099924256998, 0.24419844243670658, 0.18627618538612142, -2.532963392844641, 1.381158574249337, 7.934873608418779, 7.4490588196341, -3.6796885326381497, 3.1623941338393218, 0.46713052486359513, -3.6794291209718417, 1.4627337237562419, 3.207273427846135, -1.0848773780218885, 1.7348557030347727, -3.4155359743851164, 0.7239383391423623, -3.7566477299370744, 3.277588334776396, 32.24159353592203]",0.004389
quadratic_12.6_-0.2_3_10_350_56.csv,350,56,"[12.6, -14.6, 10.0, 17.2, -11.0, 23.8, -0.0, -0.8, -0.4, -0.2]","[11.527298304138144, -14.215299175932847, 8.918111340630105, 9.840551744328797, -8.577237166237559, 15.46348766057733, -0.10078679888325819, -4.000903678075267, 2.6344797303014635, 41.67675238930217]",0.0011133
quadratic_13.2_-1.6_5_21_750_150.csv,750,150,"[13.2, 4.0, 1.4, 6.8, 1.4, 11.6, 2.4, 4.2, 7.2, 11.8, -1.2, -11.8, 7.8, 7.0, 21.8, -1.2, 1.4, -0.2, -3.0, 0.4, -1.6]","[6.0013283430459765, 3.3144217833081777, 1.4447443741684212, 6.051616057550469, 0.870628550013493, 6.186045583050749, 2.4128362872929943, 3.4967403239963515, 6.261807977651893, 8.812351410764371, -0.5493202777884216, -10.340314838998335, 4.911208792828414, 6.217397361157601, 16.94302662343618, -1.0476804105562492, 2.2648861361140704, -0.2344919554101872, -4.224010301902971, 1.7468181279506916, 58.1195905377934]",0.00541345
