1,2,3,4,5,6,7,8,9,10
quadratic_0.2_-0.6_3_10_800_88.csv,800,88,"[0.2, -0.4, 1.2, 12.6, -4.6, 12.6, -0.4, 0.2, -0.6, -0.6]","[0.19997960863805353, -0.3999998373533001, 1.2000003636274363, 12.599979207157741, -4.5999999337132484, 12.599982104990616, -0.4000030634940133, 0.1999973616844994, -0.5999984787560532, -0.5997749316934441]",3,4,6.9924214614220765e-6,3,0.02141815
quadratic_1.4_-1.8_4_15_950_95.csv,950,95,"[1.4, 1.0, -0.6, -2.0, 6.0, -0.2, -0.8, 3.2, -0.2, 3.0, 1.2, 1.0, 0.4, 3.4, -1.8]","[1.399999866516602, 1.0000000035846286, -0.6000000015218835, -2.0000000000349134, 5.999999945363491, -0.19999999585348882, -0.8000000041998956, 3.1999999450440404, -0.19999999661452897, 2.999999922510266, 1.200000001202318, 0.9999999986700764, 0.4000000032001035, 3.4000000057062825, -1.7999998891650508]",9,8,2.136137229296322e-12,9,0.10702725
quadratic_1.4_-1.8_6_28_500_25.csv,500,25,"[1.4, -0.6, -1.4, 1.6, -0.2, -1.8, 7.0, -1.4, 4.6, -6.0, 3.4, 15.6, -6.4, 4.4, -7.8, 11.8, -5.0, -4.0, 11.4, -9.8, 23.8, -1.8, -2.4, 0.8, -0.6, 1.2, 0.6, -1.8]","[1.399999945653713, -0.600000001582814, -1.3999999951728879, 1.6000000006667539, -0.19999999952821185, -1.8000000011759887, 6.999999955163067, -1.4000000024855506, 4.60000000312251, -6.000000000489691, 3.4000000019052363, 15.599999945788777, -6.400000003191801, 4.399999999762263, -7.800000003199721, 11.799999958839098, -4.999999997161028, -3.9999999998473856, 11.399999955618235, -9.800000000952355, 23.799999957264106, -1.799999993188856, -2.399999993175336, 0.8000000067609103, -0.5999999982838382, 1.1999999916117159, 0.5999999980199162, -1.7999995756467075]",5,5,9.863293331834017e-12,5,0.07025785
quadratic_1.8_-1.8_4_15_350_63.csv,350,63,"[1.8, 0.4, -4.4, -2.0, 2.2, -1.2, -1.6, 11.2, 5.4, 3.4, -0.2, 0.4, 2.6, -1.8, -1.8]","[1.7999794051644822, 0.3999993572072148, -4.399999267139159, -2.000000198611197, 2.1999783444370884, -1.1999997614751243, -1.599999105200695, 11.199979917709395, 5.399999825459605, 3.3999801479995004, -0.2000092015831177, 0.40000565818183353, 2.5999865760848584, -1.7999886435168144, -1.797411845937364]",3,4,0.00031385097503842116,3,0.0143334
quadratic_10.4_0.2_4_15_750_38.csv,750,38,"[10.4, 0.8, 1.2, 0.2, 1.8, -1.4, 2.4, 4.4, -1.6, 7.4, 0.8, -0.2, -2.2, -0.2, 0.2]","[10.399999225577563, 0.7999999926570887, 1.200000005973975, 0.20000001570587345, 1.7999990296511987, -1.4000000157344283, 2.4000000767544525, 4.399999256139751, -1.5999999442176105, 7.399999151872719, 0.800000085517642, -0.1999997104132007, -2.199999898176515, -0.20000026965671375, 0.20001196943183025]",3,4,1.7825695354642894e-8,3,0.03828715
quadratic_11.0_1.6_6_28_450_99.csv,450,99,"[11.0, -3.4, -2.4, 1.0, 7.0, 6.8, 8.8, 5.8, -1.6, -7.2, -2.2, 6.0, -1.2, -7.0, -2.2, 18.4, -1.0, 2.0, 13.8, 7.2, 12.0, -1.8, 0.4, 3.0, 0.2, 1.2, 1.2, 1.6]","[11.000016105981025, -3.399998188808251, -2.400000886889368, 0.9999991140409691, 6.9999999549023, 6.799999443668379, 8.800016184788541, 5.799999591463505, -1.5999997111284376, -7.200000125223738, -2.1999997839681895, 6.0000146727906944, -1.2000015549823717, -7.000000193123693, -2.1999999338546674, 18.4000128795153, -0.9999993937671037, 2.0000000486971716, 13.800012433299067, 7.1999993345371465, 12.000013792730993, -1.8000246714788213, 0.3999923272423979, 2.9999998208529854, 0.20000983395208427, 1.2000096192124399, 1.1999978859098412, 1.5988672288398058]",4,5,4.851364939655649e-5,4,0.04987995
quadratic_12.2_3.0_7_36_650_130.csv,650,130,"[12.2, 5.2, -8.2, -1.8, 6.6, 7.4, -2.0, 8.4, -3.6, 2.4, 6.8, 4.4, -5.6, 11.0, -0.4, -2.4, 2.2, -0.8, 5.6, -3.4, 1.4, -0.4, 16.2, 5.8, -0.6, 23.8, 1.0, 13.4, 0.2, 2.4, 3.8, 4.4, 0.6, -2.4, 3.0, 3.0]","[12.199999992877682, 5.1999999999604904, -8.199999999356079, -1.8000000002377667, 6.600000000214837, 7.400000001128742, -2.0000000004344587, 8.399999991492958, -3.599999999455207, 2.4000000004304103, 6.799999999926887, 4.4000000003832165, -5.599999999703203, 10.999999992828295, -0.4000000008419774, -2.3999999995858943, 2.19999999871823, -0.7999999998191354, 5.599999990815632, -3.3999999998289256, 1.3999999999657826, -0.40000000003844105, 16.1999999935923, 5.79999999983165, -0.5999999995974893, 23.79999999131758, 1.000000000561412, 13.399999991087423, 0.2000000018025035, 2.399999999222192, 3.800000004896341, 4.399999997584841, 0.5999999970970024, -2.4000000002261666, 2.999999989476382, 3.0000013261345155]",5,5,8.632788389002862e-11,5,0.08980485
quadratic_12.2_4.6_8_45_250_42.csv,250,42,"[12.2, 7.0, -2.0, -4.4, 2.8, 7.8, 2.2, 4.8, 13.4, -4.2, 4.2, 3.0, 4.4, 1.8, 5.0, 10.6, -0.4, 2.2, 1.0, -2.2, -6.0, 11.4, 2.0, -0.8, -2.6, 0.6, 10.4, -0.6, -6.0, 3.4, 13.2, 9.8, -0.2, 18.6, -1.0, 6.8, 0.4, -0.2, -0.8, 0.4, -2.8, 1.2, -3.4, 3.2, 4.6]","[1.935767115287918, 5.871864246605031, -0.2519373728621028, -2.488139522489439, 1.917135943854035, 3.983409209656027, 3.744093298727652, 3.6251737331233804, -1.9829887436923002, -1.458301912220055, 6.31616814855172, 2.380634003799009, 4.002335315406661, 1.838100164514156, 2.7152604680352446, 0.29947700659648907, -0.5699255987870794, -0.2729270288055306, 1.291375153280118, -1.0247575813069172, 0.18495804996513357, 7.301019507122224, 0.5261724366014904, -1.5609847662342622, -2.4926378296803895, 1.8195012844241474, 2.3759707924168905, -0.032173752319366304, -4.518995313375803, 4.2859617126457925, 9.75046294177857, 11.759352493045906, -4.871581280482947, 8.332180604766501, -2.3067298861306265, 3.26658264686167, 3.7255551409618235, 1.3462877910420592, -2.3312110499880965, 3.017028317439139, -4.678715631652268, 2.2365348787613937, -2.8002614046895373, 5.084568369681727, 25.75801088580015]",10,6,9033.192847165707,10,0.0828402
quadratic_12.6_-0.2_3_10_350_56.csv,350,56,"[12.6, -14.6, 10.0, 17.2, -11.0, 23.8, -0.0, -0.8, -0.4, -0.2]","[12.599999954134393, -14.600000004420355, 10.00000000114213, 17.199999944995046, -10.999999999144901, 23.799999941966092, -8.523357136272911e-9, -0.8000000013121588, -0.39999998749569243, -0.19999941459218012]",5,5,2.22470738486803e-11,5,0.0135067
quadratic_13.2_-1.6_5_21_750_150.csv,750,150,"[13.2, 4.0, 1.4, 6.8, 1.4, 11.6, 2.4, 4.2, 7.2, 11.8, -1.2, -11.8, 7.8, 7.0, 21.8, -1.2, 1.4, -0.2, -3.0, 0.4, -1.6]","[13.199998582948371, 3.9999999361020437, 1.3999999854827048, 6.800000023940132, 1.400000035308618, 11.599998488606257, 2.3999999457333145, 4.199999890541077, 7.200000009182135, 11.799998579074398, -1.199999966587467, -11.799999960870608, 7.799998478905604, 7.000000054423096, 21.799998627599425, -1.2000001005984307, 1.399999562838736, -0.19999970529735334, -3.000000185680848, 0.3999999683651985, -1.599975042766357]",5,6,5.2453027501823735e-8,5,0.06988795
