1,2,3,4,5,6,7
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.949730324780756, -33.62540702960357, -32.23591403570011]",9,253445.39461886117
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477591181818, 29.020918777492923, -17.46620986181689]",4,35700.96449318479
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.6516018083171913, -2.1547281190224497, 29.557044252724793]",4,129700.35446755767
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086213591994, -30.059912820428757, -7.238410947466956]",3,5624.606035919559
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.594586615546307, 18.579777446943716, -5.714150390063495]",4,6838.141945043502
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268778279885, 47.3178480877764, -3.449020500996862]",4,691.1385019089433
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387838795, -14.2627720839571, 23.38641173512714]",4,156776.07185274747
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-14.058375552084398, -19.055855182122272, -24.77899796075598]",22,108140.1655732357
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.362522379294308, -24.972654363450825, -10.458219005121183]",6,15974.592604599202
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.56600781522849, -12.749910715252247, 30.063309351686076]",5,209876.65335744715
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.30427516493499, -6.907062833386063, 35.082865420210716]",4,324112.9287556113
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.65093882180789, 40.239544023004655, -22.895117622913077]",4,76015.34437762653
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.7164784991075153, -30.90589491368343, -16.26160176655021]",4,44984.82345383255
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.3572589677461115, 48.09096673266263, -27.06363232934132]",5,114636.73881880965
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.198636860385337, 28.247433639046115, 38.964862097919884]",3,400173.36325485754
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035031698247, 41.24154071424565, -10.862871546457553]",3,16877.692793312217
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.830824751783098, 20.746089877962415, -20.50520586414692]",4,146081.49209946286
sphere2D_-24.4_44.9_9.2_8.csv,39,8,"[-24.4, 44.9, 9.2]","[-24.277089839559828, 44.81322334113446, -9.127565559451407]",5,3802.26998772621
sphere2D_-24.8_49.7_4.6_13.csv,63,13,"[-24.8, 49.7, 4.6]","[-25.03986156662944, 49.92716801863996, -4.84695361238386]",5,2325.9114963539178
sphere2D_-25.5_12.5_26.9_26.csv,130,26,"[-25.5, 12.5, 26.9]","[-25.52195834111208, 12.466122933461085, -26.851876013742235]",4,175875.3563806003
sphere2D_-26.2_36.5_35.5_16.csv,80,16,"[-26.2, 36.5, 35.5]","[-26.186092635312217, 36.49736277309859, -35.50846823169572]",3,259589.1799744171
sphere2D_-28.0_-15.9_26.4_21.csv,107,21,"[-28.0, -15.9, 26.4]","[-28.08493657140983, -15.536937744241712, -26.50802440477888]",7,199263.5468644246
sphere2D_-28.1_15.3_20.2_26.csv,132,26,"[-28.1, 15.3, 20.2]","[-27.86322630133194, 15.263748887500586, -20.123400138786444]",4,130511.28701318099
sphere2D_-29.5_-16.4_35.7_11.csv,56,11,"[-29.5, -16.4, 35.7]","[-29.176603516096, -16.12480469779186, 35.84217909088007]",3,84999.6255526044
sphere2D_-30.3_-15.6_2.7_19.csv,95,19,"[-30.3, -15.6, 2.7]","[-29.95049499839734, -15.5785361951823, -2.747190919930536]",6,1139.6519231486636
sphere2D_-30.3_0.0_19.4_6.csv,29,6,"[-30.3, 0.0, 19.4]","[-29.895951447480375, 0.5804218587215096, -19.263954676370407]",3,15020.473896083695
sphere2D_-31.8_0.7_11.3_8.csv,42,8,"[-31.8, 0.7, 11.3]","[-31.92441613467615, 1.266370788320684, -11.2291797151504]",4,9796.781738221776
sphere2D_-32.0_-41.1_34.3_25.csv,124,25,"[-32.0, -41.1, 34.3]","[-32.22332221571503, -41.43807231721755, -34.15538707695006]",3,360268.58476419206
sphere2D_-32.0_23.2_7.5_10.csv,50,10,"[-32.0, 23.2, 7.5]","[-32.28189412154004, 23.23580122151217, -7.967179884333968]",4,5406.563616098518
sphere2D_-32.8_-17.3_24.0_7.csv,37,7,"[-32.8, -17.3, 24.0]","[-33.03660788787754, -17.015811349391388, -24.185970188474695]",4,53137.653118487244
sphere2D_-33.1_38.2_18.7_26.csv,130,26,"[-33.1, 38.2, 18.7]","[-32.69623753819488, 38.13142377688186, -18.653634031046156]",4,101680.77010555542
sphere2D_-34.4_0.0_21.7_13.csv,64,13,"[-34.4, 0.0, 21.7]","[-34.316291393012655, 0.024733265837471385, -21.741448417619058]",10,65104.16788843994
sphere2D_-35.4_14.0_25.8_22.csv,111,22,"[-35.4, 14.0, 25.8]","[-35.64071687518357, 14.000142198400706, -25.793889268746305]",4,206592.32100780823
sphere2D_-37.1_-23.8_39.0_9.csv,45,9,"[-37.1, -23.8, 39.0]","[-37.20961732475371, -23.977992382922587, -39.16075690229796]",3,148357.7337013811
sphere2D_-38.0_-33.0_2.5_23.csv,116,23,"[-38.0, -33.0, 2.5]","[-37.8582194831499, -33.07829435859325, -2.442957978142475]",4,763.2239011247286
sphere2D_-4.4_15.4_37.7_11.csv,56,11,"[-4.4, 15.4, 37.7]","[-4.780356397342447, 15.849769037067217, 37.87771474855536]",3,206267.25399438766
sphere2D_-4.6_-21.4_29.6_24.csv,121,24,"[-4.6, -21.4, 29.6]","[-4.679129427662184, -21.567337531393267, 29.656456533707697]",4,280626.7544163549
sphere2D_-4.9_-24.0_9.7_26.csv,128,26,"[-4.9, -24.0, 9.7]","[-5.052875206856337, -23.868750472188246, -9.818953210194405]",5,22311.57686421039
sphere2D_-40.2_-47.2_29.6_20.csv,98,20,"[-40.2, -47.2, 29.6]","[-39.93402457598207, -47.23878654152996, -29.722303480985445]",3,160171.7296145573
sphere2D_-41.5_-41.7_29.1_12.csv,58,12,"[-41.5, -41.7, 29.1]","[-41.05305161301004, -41.33278298857253, -29.185809468004337]",4,135012.66706959615
sphere2D_-42.9_29.2_39.5_18.csv,92,18,"[-42.9, 29.2, 39.5]","[-42.845987995786615, 29.179426018615274, -39.29329113354307]",4,450410.714318995
