1,2,3,4,5,6,7
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.9497303247807555, -33.62540702960357, -32.2359140357001]",6,253445.3946188613
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.5793523136832062, 28.868329578421744, -17.547181049395054]",14,36294.02270925789
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.5188997888728661, -2.0415796907720583, 29.651269558087588]",17,132825.4502745926
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.87757294420423, -30.141479001371803, -7.103300340697134]",12,5682.162353409116
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.59458661550568, 18.57977744771849, -5.71415038874183]",16,6838.141945043504
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268778312501, 47.31784808777313, -3.4490205009080888]",8,691.1385019089432
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387831324, -14.262772083961039, 23.386411735143678]",20,156776.07185274744
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-13.861462976362656, -19.18779199099248, -24.905996998967662]",21,106054.7572453911
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.36252237929867, -24.972654363360935, -10.458219005246033]",19,15974.592604599198
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.61454181414334, -12.639687193650769, 30.07137093236218]",17,210550.45907127173
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.30427516493736, -6.90706283338746, 35.08286542022153]",19,324112.9287556109
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.65093882179364, 40.239544023006346, -22.895117622667296]",16,76015.3443776265
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.716478499131942, -30.905894913692347, -16.26160176615457]",22,44984.823453832556
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.357258968214601, 48.09096673266475, -27.06363233106675]",100,114636.73881880962
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.198636860383165, 28.247433639093302, 38.96486209789614]",17,400173.36325485783
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035031802132, 41.24154071421307, -10.862871546435043]",15,16877.69279331222
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.830824751791642, 20.746089877955935, -20.505205864030845]",18,146081.49209946283
sphere2D_-24.4_44.9_9.2_8.csv,39,8,"[-24.4, 44.9, 9.2]","[-24.27708983955818, 44.813223341135156, -9.127565559429065]",16,3802.2699877262116
sphere2D_-24.8_49.7_4.6_13.csv,63,13,"[-24.8, 49.7, 4.6]","[-25.03986155217037, 49.92716802584725, -4.8469536295944575]",16,2325.91149635392
sphere2D_-25.5_12.5_26.9_26.csv,130,26,"[-25.5, 12.5, 26.9]","[-25.521958341112075, 12.466122933461083, -26.851876013741997]",12,175875.35638060028
