1,2,3,4,5,6,7
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.8878650389132158, -34.55323687049414, -33.52823667993054]",0,705789.6469062252
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477591182064, 29.02091877749292, -17.466209861817035]",5,35700.96449318478
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.6516018083171917, -2.154728119022448, 29.557044252724804]",5,129700.35446755763
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086212972308, -30.059912821228266, -7.238410945649342]",5,5624.606035919556
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.594586615141525, 18.579777446613516, -5.714150391607184]",12,6838.141945043502
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268802387932, 47.31784805970085, -3.449020535081029]",6,691.1385019089399
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387831336, -14.262772083961035, 23.386411735143742]",14,156776.07185274747
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-13.861462976362656, -19.18779199099248, -24.905996998967662]",21,106054.7572453911
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.362522379298342, -24.972654363361382, -10.458219005245146]",11,15974.5926045992
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.566007815237224, -12.74991071523835, 30.063309351789805]",100,209876.65335744713
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.304275164932466, -6.907062833384669, 35.08286542019598]",100,324112.92875561083
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.65093882179662, 40.23954402300566, -22.895117623048144]",100,76015.34437762646
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.085198149300443, -30.815152590410225, -16.799909404709823]",0,69610.14777787015
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.3572589677461284, 48.09096673266262, -27.063632329341406]",6,114636.73881880961
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.198636860385601, 28.247433639046044, 38.96486209791436]",5,400173.36325485754
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035031699246, 41.24154071424517, -10.862871546454286]",4,16877.692793312217
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.830824751791667, 20.746089877956003, -20.505205864030962]",6,146081.4920994629
sphere2D_-24.4_44.9_9.2_8.csv,39,8,"[-24.4, 44.9, 9.2]","[-25.07957475431195, 44.269038145692036, -9.963728894918978]",0,10739.126832895858
