1,2,3,4,5,6
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.949730324780756, -33.62540702960357, -32.23591403570011]",0.0001017
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477591181818, 29.020918777492923, -17.46620986181689]",6.315e-5
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.6516018083171913, -2.1547281190224497, 29.557044252724793]",6.32e-5
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086213591994, -30.059912820428757, -7.238410947466956]",6.875e-5
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.594586615546307, 18.579777446943716, -5.714150390063495]",0.0001779
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268778279885, 47.3178480877764, -3.449020500996862]",6.31e-5
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387838795, -14.2627720839571, 23.38641173512714]",0.00019855
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-14.058375552084398, -19.055855182122272, -24.77899796075598]",9.68e-5
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.362522379294308, -24.972654363450825, -10.458219005121183]",0.0001043
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.56600781522849, -12.749910715252247, 30.063309351686076]",0.00011755
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.30427516493499, -6.907062833386063, 35.082865420210716]",0.00013565
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.65093882180789, 40.239544023004655, -22.895117622913077]",0.0001376
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.7164784991075153, -30.90589491368343, -16.26160176655021]",0.0001225
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.3572589677461115, 48.09096673266263, -27.06363232934132]",0.0001025
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.198636860385337, 28.247433639046115, 38.964862097919884]",0.0001252
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035031698247, 41.24154071424565, -10.862871546457553]",8.345e-5
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.830824751783098, 20.746089877962415, -20.50520586414692]",0.0001964
sphere2D_-24.4_44.9_9.2_8.csv,39,8,"[-24.4, 44.9, 9.2]","[-24.277089839559828, 44.81322334113446, -9.127565559451407]",4.485e-5
sphere2D_-24.8_49.7_4.6_13.csv,63,13,"[-24.8, 49.7, 4.6]","[-25.03986156662944, 49.92716801863996, -4.84695361238386]",7.62e-5
sphere2D_-25.5_12.5_26.9_26.csv,130,26,"[-25.5, 12.5, 26.9]","[-25.52195834111208, 12.466122933461085, -26.851876013742235]",0.0001815
sphere2D_-26.2_36.5_35.5_16.csv,80,16,"[-26.2, 36.5, 35.5]","[-26.186092635312217, 36.49736277309859, -35.50846823169572]",0.00010455
sphere2D_-28.0_-15.9_26.4_21.csv,107,21,"[-28.0, -15.9, 26.4]","[-28.08493657140983, -15.536937744241712, -26.50802440477888]",0.000146
sphere2D_-28.1_15.3_20.2_26.csv,132,26,"[-28.1, 15.3, 20.2]","[-27.86322630133194, 15.263748887500586, -20.123400138786444]",0.00018895
sphere2D_-29.5_-16.4_35.7_11.csv,56,11,"[-29.5, -16.4, 35.7]","[-29.176603516096, -16.12480469779186, 35.84217909088007]",6.935e-5
sphere2D_-30.3_-15.6_2.7_19.csv,95,19,"[-30.3, -15.6, 2.7]","[-29.95049499839734, -15.5785361951823, -2.747190919930536]",0.0001345
