1,2,3,4,5,6
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.9497303247807574, -33.62540702960357, -32.23591403570017]",0.0007277
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477591182075, 29.02091877749292, -17.46620986181704]",0.0004427
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.6516018083171937, -2.1547281190224474, 29.557044252724804]",0.00045495
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086213369603, -30.059912820648435, -7.238410946562893]",0.0004125
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.59458661579375, 18.579777447154292, -5.714150388011201]",0.00111115
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268802387932, 47.31784805970085, -3.4490205350810283]",0.00052045
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387847238, -14.262772083952793, 23.386411735055134]",0.0012949
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-13.861462976348973, -19.187791990992494, -24.90599699871598]",0.0006935
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.362522379197166, -24.97265436352383, -10.458219001873841]",0.00090825
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.566007815237224, -12.74991071523835, 30.063309351789805]",0.00095695
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.304275164932463, -6.907062833384668, 35.08286542019597]",0.0009974
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.65093882179663, 40.23954402300566, -22.89511762304956]",0.0009725
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.7164784990777653, -30.905894913674363, -16.26160176683454]",0.00081405
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.357258967746116, 48.09096673266263, -27.063632329341328]",0.00068965
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.1986368603854576, 28.247433639046083, 38.9648620979175]",0.0007029
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035031699206, 41.24154071424519, -10.862871546454421]",0.0004764
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.830824751774475, 20.74608987797087, -20.5052058639349]",0.00127225
