1,2,3,4,5,6
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.8878650389132158, -34.55323687049414, -33.52823667993054]",0.00010825
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477591182075, 29.02091877749292, -17.46620986181704]",0.00039265
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.651601808317195, -2.154728119022445, 29.55704425272486]",0.0003983
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086212972372, -30.059912821228174, -7.238410945649407]",0.0004401
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.594586615141525, 18.579777446613516, -5.714150391607184]",0.00120415
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268802387932, 47.31784805970085, -3.4490205350810283]",0.00047165
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.79580338783458, -14.262772083959359, 23.38641173513609]",0.00183675
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-13.861462976348973, -19.187791990992494, -24.90599699871598]",0.0009301
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.362522379298342, -24.972654363361382, -10.458219005245146]",0.00095715
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.566007815237224, -12.74991071523835, 30.063309351789805]",0.0011986
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.304275164936385, -6.907062833387072, 35.08286542022005]",0.0011221
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.65093882179662, 40.23954402300566, -22.89511762304815]",0.00138955
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.085198149300443, -30.815152590410225, -16.799909404709823]",0.00013635
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.357258967746116, 48.09096673266263, -27.063632329341328]",0.0007479
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.1986368603856, 28.247433639046044, 38.964862097914384]",0.0009527
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035031699206, 41.24154071424519, -10.862871546454421]",0.00052715
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.830824751791667, 20.746089877956003, -20.505205864030962]",0.0014676
sphere2D_-24.4_44.9_9.2_8.csv,39,8,"[-24.4, 44.9, 9.2]","[-25.07957475431195, 44.269038145692036, -9.963728894918978]",5.73e-5
sphere2D_-24.8_49.7_4.6_13.csv,63,13,"[-24.8, 49.7, 4.6]","[-25.039861566629416, 49.927168018641204, -4.846953612377001]",0.00062525
sphere2D_-25.5_12.5_26.9_26.csv,130,26,"[-25.5, 12.5, 26.9]","[-25.534306621838432, 13.438698784929153, -27.24270061910224]",0.0002257
sphere2D_-26.2_36.5_35.5_16.csv,80,16,"[-26.2, 36.5, 35.5]","[-26.186092635321405, 36.49736277310059, -35.50846823175738]",0.00077695
sphere2D_-28.0_-15.9_26.4_21.csv,107,21,"[-28.0, -15.9, 26.4]","[-28.08493657140983, -15.536937744241712, -26.508024404778844]",0.00089805
sphere2D_-28.1_15.3_20.2_26.csv,132,26,"[-28.1, 15.3, 20.2]","[-27.863226301331956, 15.263748887500597, -20.123400138786533]",0.0011735
sphere2D_-29.5_-16.4_35.7_11.csv,56,11,"[-29.5, -16.4, 35.7]","[-29.17660351609479, -16.12480469779625, 35.84217909085477]",0.0004782
sphere2D_-30.3_-15.6_2.7_19.csv,95,19,"[-30.3, -15.6, 2.7]","[-29.95049498949222, -15.578536192553015, -2.7471909392174263]",0.001208
sphere2D_-30.3_0.0_19.4_6.csv,29,6,"[-30.3, 0.0, 19.4]","[-29.457385279879464, 1.7229915181926778, -20.158198220267735]",4.33e-5
sphere2D_-31.8_0.7_11.3_8.csv,42,8,"[-31.8, 0.7, 11.3]","[-31.924416134676274, 1.2663707883205868, -11.229179715152565]",0.0004229
sphere2D_-32.0_-41.1_34.3_25.csv,124,25,"[-32.0, -41.1, 34.3]","[-32.22332221570287, -41.438072317234756, -34.155387076857394]",0.00108645
sphere2D_-32.0_23.2_7.5_10.csv,50,10,"[-32.0, 23.2, 7.5]","[-32.28189412090035, 23.23580122206408, -7.9671798861802]",0.00047955
sphere2D_-32.8_-17.3_24.0_7.csv,37,7,"[-32.8, -17.3, 24.0]","[-34.01618796351921, -16.213862798245906, -23.9856284765476]",6.225e-5
sphere2D_-33.1_38.2_18.7_26.csv,130,26,"[-33.1, 38.2, 18.7]","[-32.696237538218256, 38.131423776864146, -18.6536340310101]",0.0013294
sphere2D_-34.4_0.0_21.7_13.csv,64,13,"[-34.4, 0.0, 21.7]","[-34.31629139301266, 0.02473326583747332, -21.741448417618457]",0.0007562
sphere2D_-35.4_14.0_25.8_22.csv,111,22,"[-35.4, 14.0, 25.8]","[-35.6407168751839, 14.00014219840027, -25.79388926857459]",0.00151875
sphere2D_-37.1_-23.8_39.0_9.csv,45,9,"[-37.1, -23.8, 39.0]","[-37.20961732475391, -23.977992382922142, -39.16075690229489]",0.0003034
sphere2D_-38.0_-33.0_2.5_23.csv,116,23,"[-38.0, -33.0, 2.5]","[-37.858219483146534, -33.07829435859817, -2.4429579783110635]",0.00100565
sphere2D_-4.4_15.4_37.7_11.csv,56,11,"[-4.4, 15.4, 37.7]","[-4.7803563973241205, 15.84976903700656, 37.87771474868048]",0.00051045
sphere2D_-4.6_-21.4_29.6_24.csv,121,24,"[-4.6, -21.4, 29.6]","[-4.679129427662184, -21.567337531393267, 29.656456533707782]",0.00131275
sphere2D_-4.9_-24.0_9.7_26.csv,128,26,"[-4.9, -24.0, 9.7]","[-5.052875206986611, -23.86875047223879, -9.818953213372636]",0.0015209
sphere2D_-40.2_-47.2_29.6_20.csv,98,20,"[-40.2, -47.2, 29.6]","[-39.934024575957466, -47.238786541495514, -29.72230348108191]",0.0009442
sphere2D_-41.5_-41.7_29.1_12.csv,58,12,"[-41.5, -41.7, 29.1]","[-41.053051613011164, -41.33278298856746, -29.18580946797962]",0.00059865
sphere2D_-42.9_29.2_39.5_18.csv,92,18,"[-42.9, 29.2, 39.5]","[-42.845987995754385, 29.179426018624728, -39.29329113453016]",0.00127595
sphere2D_-43.5_-16.2_21.9_12.csv,61,12,"[-43.5, -16.2, 21.9]","[-43.65762597558827, -16.49148695314981, -22.021339615728575]",0.00058435
sphere2D_-44.5_10.6_16.7_6.csv,29,6,"[-44.5, 10.6, 16.7]","[-44.49116957915594, 10.90942141734056, -16.83312762564326]",0.00023505
sphere2D_-44.6_40.2_27.8_11.csv,54,11,"[-44.6, 40.2, 27.8]","[-44.28130270240977, 40.30718700903412, -27.523798489334684]",0.00054765
sphere2D_-44.8_47.1_10.5_26.csv,132,26,"[-44.8, 47.1, 10.5]","[-44.832858204401276, 47.03037068476005, -10.22173813903898]",0.00242495
sphere2D_-45.8_16.7_39.2_17.csv,87,17,"[-45.8, 16.7, 39.2]","[-45.949138328208484, 16.73753576899203, -39.15743304591956]",0.00091715
sphere2D_-45.9_-34.0_26.2_21.csv,107,21,"[-45.9, -34.0, 26.2]","[-46.04558077149576, -34.303191500028596, -26.234386880797075]",0.0011651
sphere2D_-47.7_-2.3_5.5_18.csv,92,18,"[-47.7, -2.3, 5.5]","[-47.262697535274704, -1.6263579842008549, -5.739925067089291]",0.0012843
sphere2D_-48.4_24.1_2.8_25.csv,126,25,"[-48.4, 24.1, 2.8]","[-48.29580142385134, 24.157060123085557, -2.851327339078936]",0.0021382
sphere2D_-49.9_39.5_6.1_11.csv,54,11,"[-49.9, 39.5, 6.1]","[-49.86422446282885, 39.574799148201485, -6.195229398403468]",0.00074095
sphere2D_-7.7_6.9_37.3_23.csv,116,23,"[-7.7, 6.9, 37.3]","[-7.710993303444703, 6.95899008932135, 37.42123071723639]",0.00142455
sphere2D_-8.0_-27.2_3.8_8.csv,41,8,"[-8.0, -27.2, 3.8]","[-8.41071260027708, -27.425731149337057, -4.147816426395309]",0.0003676
