1,2,3,4,5,6
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.9497303247843257, -33.625407029612646, -32.23591403579895]",9.62e-5
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477591182228, 29.020918777492916, -17.46620986181706]",6.135e-5
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.651601808316254, -2.1547281190230683, 29.557044252758775]",6.22e-5
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086214079936, -30.059912820208055, -7.238410950925856]",0.0001104
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.594586615827682, 18.579777447168393, -5.7141503891386405]",0.00017835
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268802394088, 47.31784805973181, -3.4490205350800816]",6.26e-5
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387841367, -14.262772083955655, 23.38641173509633]",0.0002029
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-13.952764583399606, -19.118499971470968, -24.907241549452436]",9.335e-5
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.3625223793496, -24.972654363499228, -10.458219003729205]",9.545e-5
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.5660078152334, -12.749910715242661, 30.06330935174537]",0.0001166
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.3042751649344, -6.90706283338546, 35.082865420204676]",0.0001409
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.650938821800963, 40.239544023005514, -22.89511762297069]",0.0001386
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.7164784990913264, -30.905894913680587, -16.261601766699698]",0.0001221
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.357258967789549, 48.09096673265688, -27.063632329635254]",0.0001169
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.1986368603853363, 28.247433639046115, 38.964862097919884]",0.0001484
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035031698247, 41.24154071424565, -10.862871546457553]",0.0001018
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.83082475177946, 20.746089877963914, -20.505205864056013]",0.0002223
sphere2D_-24.4_44.9_9.2_8.csv,39,8,"[-24.4, 44.9, 9.2]","[-24.27708983955933, 44.81322334113481, -9.12756555944888]",4.94e-5
sphere2D_-24.8_49.7_4.6_13.csv,63,13,"[-24.8, 49.7, 4.6]","[-25.039861542890453, 49.927168027508706, -4.846953598210254]",7.955e-5
sphere2D_-25.5_12.5_26.9_26.csv,130,26,"[-25.5, 12.5, 26.9]","[-25.52195834111273, 12.466122933461827, -26.85187601370968]",0.00020595
