1,2,3,4,5,6,7,8,9,10
sphere2D_-0.3_-16.9_34.6_40.csv,132,40,"[-0.3, -16.9, 34.6]","[-0.30000000502362134, -16.899999999087864, 34.59999998657081]",3,4,8.42425169815796e-11,3,0.001289
sphere2D_-12.1_16.9_10.5_44.csv,148,44,"[-12.1, 16.9, 10.5]","[-12.100000000048164, 16.89999999991479, -10.49999999885264]",3,4,5.998403619037318e-14,3,0.0015904
sphere2D_-12.3_45.3_8.1_18.csv,60,18,"[-12.3, 45.3, 8.1]","[-12.300000001777716, 45.2999999977395, -8.100000013006301]",3,4,1.8866743041371533e-12,3,0.00059565
sphere2D_-13.0_-26.6_8.7_32.csv,108,32,"[-13.0, -26.6, 8.7]","[-13.00000000352026, -26.60000000055384, -8.70000009248252]",2,3,1.9618496672000008e-10,2,0.0007487
sphere2D_-13.1_37.0_12.9_31.csv,103,31,"[-13.1, 37.0, 12.9]","[-13.100000000021605, 37.00000000000043, -12.899999999742553]",4,4,3.1786213801069925e-15,4,0.00112505
sphere2D_-14.4_-23.6_3.0_7.csv,24,7,"[-14.4, -23.6, 3.0]","[-14.40001501751838, -23.60000462164822, -2.999993787118503]",3,3,8.957369571700668e-8,3,0.0001844
sphere2D_-14.5_37.5_38.7_44.csv,147,44,"[-14.5, 37.5, 38.7]","[-14.5000000023794, 37.499999998618755, -38.699999994918414]",4,4,1.951989978827601e-11,4,0.0017206
sphere2D_-16.8_-45.7_14.9_15.csv,50,15,"[-16.8, -45.7, 14.9]","[-16.799999999431467, -45.699999999582076, -14.899999997176824]",3,4,2.4080803479072554e-13,3,0.00051165
sphere2D_-19.4_-20.1_19.0_21.csv,71,21,"[-19.4, -20.1, 19.0]","[-19.399999999997057, -20.100000000004925, -18.99999999994886]",3,4,1.8804831976061057e-16,3,0.00071115
sphere2D_-19.5_34.6_33.4_32.csv,108,32,"[-19.5, 34.6, 33.4]","[-19.499999999995225, 34.6000000000143, -33.39999999989897]",4,4,3.4300470722404126e-15,4,0.00130755
sphere2D_-2.1_-1.4_26.9_12.csv,40,12,"[-2.1, -1.4, 26.9]","[-2.0999999999997803, -1.4000000000007007, 26.90000000000352]",3,3,9.734261060783118e-19,3,0.00030295
sphere2D_-2.5_-24.4_25.7_34.csv,115,34,"[-2.5, -24.4, 25.7]","[-2.500000000000524, -24.3999999999988, -25.699999999964604]",4,4,2.6825919554528934e-16,4,0.00127735
sphere2D_-21.0_-29.6_12.6_44.csv,148,44,"[-21.0, -29.6, 12.6]","[-20.999999995385842, -29.600000012212906, -12.599999997108403]",4,4,6.257247836633553e-12,4,0.00156455
sphere2D_-22.2_-32.8_14.8_16.csv,54,16,"[-22.2, -32.8, 14.8]","[-22.20000000347258, -32.799999998591275, -14.800000047189652]",4,4,7.53592763872264e-11,4,0.00059785
sphere2D_-23.6_-8.9_18.9_42.csv,139,42,"[-23.6, -8.9, 18.9]","[-23.600000000007107, -8.900000000004376, -18.8999999999391]",4,4,5.039761489709561e-16,4,0.0014777
sphere2D_-24.5_-6.5_35.6_18.csv,60,18,"[-24.5, -6.5, 35.6]","[-24.50000005314377, -6.500000022305382, 35.59999961311261]",4,4,3.2089988806384744e-8,4,0.00064865
sphere2D_-24.5_27.9_29.4_12.csv,41,12,"[-24.5, 27.9, 29.4]","[-24.499999999998877, 27.900000000001125, -29.39999999989959]",4,4,1.0105891784049468e-15,4,0.0004556
sphere2D_-25.0_0.7_31.3_30.csv,100,30,"[-25.0, 0.7, 31.3]","[-24.99999999891204, 0.7000000009241545, 31.29999999931299]",3,4,3.7618299449807584e-13,3,0.0011468
sphere2D_-25.1_50.0_12.6_8.csv,26,8,"[-25.1, 50.0, 12.6]","[-25.09999999953629, 50.00000000753088, -12.599999977424439]",3,4,5.331140359487061e-12,3,0.00024685
sphere2D_-25.3_-6.4_5.2_42.csv,139,42,"[-25.3, -6.4, 5.2]","[-25.299999999904234, -6.399999999536908, -5.199999993649412]",3,4,4.2769443787110804e-13,3,0.0013935
sphere2D_-25.6_37.4_33.8_13.csv,42,13,"[-25.6, 37.4, 33.8]","[-25.599999999921145, 37.40000000010656, -33.79999999906082]",6,5,1.165041401645593e-13,6,0.00065625
sphere2D_-26.4_-41.7_22.3_30.csv,100,30,"[-26.4, -41.7, 22.3]","[-26.399999999991948, -41.70000000001007, -22.300000000262216]",4,4,9.563571998881559e-15,4,0.00111745
sphere2D_-28.2_36.9_28.8_14.csv,46,14,"[-28.2, 36.9, 28.8]","[-28.19999999996447, 36.9000000000316, -28.79999999983504]",5,5,2.834271199585261e-15,5,0.00074765
sphere2D_-29.4_22.2_21.3_17.csv,56,17,"[-29.4, 22.2, 21.3]","[-29.399999999825422, 22.199999999857514, -21.29999999888169]",4,4,8.645558355019429e-14,4,0.0006652
sphere2D_-31.1_-47.1_12.7_31.csv,104,31,"[-31.1, -47.1, 12.7]","[-31.09989535534672, -47.09999528552206, -12.699945442286284]",3,4,0.00040543205294462455,3,0.00106875
sphere2D_-32.1_-40.0_31.3_16.csv,52,16,"[-32.1, -40.0, 31.3]","[-32.100000000302785, -40.000000000104556, -31.300000010957277]",4,4,1.696942524501429e-11,4,0.0005611
sphere2D_-32.1_-5.2_31.7_30.csv,101,30,"[-32.1, -5.2, 31.7]","[-32.099999999999355, -5.199999999999578, -31.699999999996045]",3,4,4.496954837338982e-18,3,0.00105285
sphere2D_-33.4_4.3_29.6_17.csv,58,17,"[-33.4, 4.3, 29.6]","[-33.40000000006118, 4.300000000025352, -29.59999999952262]",4,4,3.290094851185819e-14,4,0.0006882
sphere2D_-34.3_-1.8_19.8_40.csv,133,40,"[-34.3, -1.8, 19.8]","[-34.299999999995045, -1.7999999999748357, -19.799999999839475]",3,4,3.737909702391712e-15,3,0.001296
sphere2D_-35.2_-37.0_11.8_33.csv,110,33,"[-35.2, -37.0, 11.8]","[-35.20000018546511, -36.99999994660272, -11.79999946573184]",4,4,1.3435707477987195e-8,4,0.00118125
sphere2D_-35.9_29.4_9.2_45.csv,149,45,"[-35.9, 29.4, 9.2]","[-35.8999999998155, 29.40000000017871, -9.19999999839618]",3,4,9.06958912225495e-14,3,0.00142515
sphere2D_-36.7_11.6_33.6_34.csv,113,34,"[-36.7, 11.6, 33.6]","[-36.70000000709069, 11.600000004082032, -33.59999997724706]",4,4,1.9702150467997725e-10,4,0.0012637
sphere2D_-38.6_43.9_29.6_34.csv,112,34,"[-38.6, 43.9, 29.6]","[-38.59999999742142, 43.90000000029505, -29.5999999981843]",4,4,1.5633806963259696e-12,4,0.00122115
sphere2D_-38.9_7.0_25.6_20.csv,65,20,"[-38.9, 7.0, 25.6]","[-38.89999999997911, 7.000000000021376, -25.599999999845615]",4,5,2.792204924583718e-15,4,0.00089165
sphere2D_-40.3_13.4_29.3_40.csv,134,40,"[-40.3, 13.4, 29.3]","[-40.300000000000225, 13.400000000000494, -29.300000000003894]",3,4,4.9350271952805305e-18,3,0.00133385
sphere2D_-40.6_-10.7_5.5_28.csv,95,28,"[-40.6, -10.7, 5.5]","[-40.599999888238976, -10.699999951968973, -5.499999956244676]",4,4,7.592961535084546e-11,4,0.0012839
sphere2D_-40.6_-27.2_26.8_12.csv,41,12,"[-40.6, -27.2, 26.8]","[-40.599999999993756, -27.199999999996702, -26.799999999942724]",5,5,2.6448367531355174e-16,5,0.00059075
sphere2D_-40.6_-5.9_2.5_10.csv,33,10,"[-40.6, -5.9, 2.5]","[-40.60000019866907, -5.899999784461329, -2.499999848558965]",4,4,3.490568832329022e-11,4,0.0003693
sphere2D_-41.1_-35.9_13.9_9.csv,30,9,"[-41.1, -35.9, 13.9]","[-41.09999999499334, -35.90000000730095, -13.899999975856216]",4,4,9.321916147573055e-12,4,0.00032705
sphere2D_-41.9_39.2_23.5_40.csv,134,40,"[-41.9, 39.2, 23.5]","[-41.90000000000059, 39.199999999999584, -23.49999999988881]",4,4,2.566604885886191e-15,4,0.0015858
sphere2D_-44.2_-39.7_35.8_32.csv,108,32,"[-44.2, -39.7, 35.8]","[-44.19999999999336, -39.70000000002311, -35.7999999998953]",3,4,4.24332448677269e-15,3,0.00115515
sphere2D_-44.7_-37.7_40.0_24.csv,81,24,"[-44.7, -37.7, 40.0]","[-44.699999999996834, -37.70000000000191, -39.999999999945864]",3,4,1.0652532898259362e-15,3,0.00094155
sphere2D_-45.1_39.3_17.0_44.csv,146,44,"[-45.1, 39.3, 17.0]","[-45.10000000000311, 39.29999999998888, -16.999999999905775]",4,4,1.0452929242154466e-15,4,0.001668
sphere2D_-49.7_48.2_32.7_38.csv,126,38,"[-49.7, 48.2, 32.7]","[-49.70000000576295, 48.2000000116739, -32.6999999356647]",3,4,1.5916614818945857e-9,3,0.00164595
sphere2D_-7.4_-14.9_7.8_13.csv,42,13,"[-7.4, -14.9, 7.8]","[-7.399999999421422, -14.900000001083454, -7.799999998387503]",3,4,2.352893630619379e-14,3,0.00039705
sphere2D_-7.5_-40.5_39.8_17.csv,56,17,"[-7.5, -40.5, 39.8]","[-7.499999998664731, -40.49999999947293, -39.800000006321156]",2,3,1.094879043280151e-11,2,0.000361
sphere2D_-9.2_36.0_2.7_32.csv,108,32,"[-9.2, 36.0, 2.7]","[-9.20000483695487, 35.9999943928953, -2.6999906449506104]",3,3,2.436244070458308e-7,3,0.00100745
sphere2D_0.2_-36.1_34.2_28.csv,92,28,"[0.2, -36.1, 34.2]","[0.19999999995938983, -36.09999999996178, -34.200000001069974]",3,4,3.441141644616574e-13,3,0.00091645
sphere2D_0.5_4.3_32.1_35.csv,117,35,"[0.5, 4.3, 32.1]","[0.5000000000418734, 4.30000000001237, 32.0999999998715]",4,4,5.697954949385005e-15,4,0.00134705
sphere2D_0.6_-5.8_12.6_16.csv,54,16,"[0.6, -5.8, 12.6]","[0.5999999986923995, -5.800000000431773, 12.599999991697358]",4,4,1.6766176117603814e-12,4,0.00062365
sphere2D_0.8_-27.1_29.7_40.csv,133,40,"[0.8, -27.1, 29.7]","[0.7999999999994586, -27.099999999999685, 29.699999999998028]",5,5,1.359380140068367e-18,5,0.00185475
sphere2D_10.1_39.7_23.1_18.csv,59,18,"[10.1, 39.7, 23.1]","[10.099999999999175, 39.69999999999932, -23.100000000005473]",3,3,2.55618709434966e-18,3,0.0004494
sphere2D_10.2_46.7_3.5_24.csv,81,24,"[10.2, 46.7, 3.5]","[10.199999429554621, 46.70000009739111, -3.4999997648220433]",4,4,6.059083946878091e-10,4,0.00089625
