1,2,3,4,5,6,7
sphere3D_-0.9_16.5_17.8_36.7_10.csv,32,10,"[-0.9, 16.5, 17.8, 36.7]","[-0.9000000000001304, 16.49999999999982, 17.80000000000011, 36.70000000000012]",8,3.1686187339609416e-21
sphere3D_-1.2_7.7_-12.8_45.2_19.csv,64,19,"[-1.2, 7.7, -12.8, 45.2]","[-1.200000000012816, 7.699999999998236, -12.799999999996668, 45.199999999984385]",7,7.395065022765286e-17
sphere3D_-1.4_34.6_37.1_21.5_39.csv,129,39,"[-1.4, 34.6, 37.1, 21.5]","[-1.3999999999355264, 34.59999999998975, 37.10000000001044, -21.500000000110262]",6,1.7392361485964154e-15
sphere3D_-11.3_-26.5_-21.7_16.0_24.csv,81,24,"[-11.3, -26.5, -21.7, 16.0]","[-11.29999999987805, -26.500000000066027, -21.69999999992322, -16.000000000155328]",6,1.0174121072568771e-15
sphere3D_-11.7_-28.5_-22.6_23.0_19.csv,64,19,"[-11.7, -28.5, -22.6, 23.0]","[-19.27981426680877, -24.271364349933183, -22.56136301487883, -26.766167811341855]",0,1.8692130894304153e6
sphere3D_-12.3_17.3_-42.1_48.4_31.csv,104,31,"[-12.3, 17.3, -42.1, 48.4]","[-17.11093174974471, 11.901511757318476, -47.94332038375861, 57.009687054105655]",0,5.560742406250675e7
sphere3D_-13.5_3.0_46.1_35.4_22.csv,74,22,"[-13.5, 3.0, 46.1, 35.4]","[-13.879797147346878, -4.800658881607452, 51.01412787164452, -43.215149279676275]",0,1.1325131630790178e7
sphere3D_-15.4_5.3_45.0_35.8_14.csv,46,14,"[-15.4, 5.3, 45.0, 35.8]","[-28.45990347575639, 10.617348373241063, 43.050142047566965, -42.74129883387653]",0,6.344007074815023e6
sphere3D_-15.9_-22.3_-8.0_40.0_41.csv,136,41,"[-15.9, -22.3, -8.0, 40.0]","[-15.90000000000002, -22.30000000000003, -7.999999999999989, 39.999999999999936]",6,2.104037285605195e-21
sphere3D_-16.0_13.0_-33.0_20.9_16.csv,55,16,"[-16.0, 13.0, -33.0, 20.9]","[-17.54489008587159, 11.42687329213731, -35.02727887713091, -25.72054091906698]",0,2.0063850623830308e6
sphere3D_-18.2_-1.8_-2.1_39.7_9.csv,31,9,"[-18.2, -1.8, -2.1, 39.7]","[-18.199999999913636, -1.8000000000118381, -2.099999999955669, 39.700000000108425]",7,1.2121090794819086e-15
sphere3D_-18.2_-18.0_-37.9_3.1_35.csv,118,35,"[-18.2, -18.0, -37.9, 3.1]","[-18.384756579597866, -18.46222106324556, -37.21432580594239, -3.5415805441351003]",0,607.7975508331479
sphere3D_-19.7_11.1_-44.3_16.1_38.csv,127,38,"[-19.7, 11.1, -44.3, 16.1]","[-19.699999999989192, 11.10000000001609, -44.30000000001188, -16.100000000013697]",6,1.5982222249973602e-17
sphere3D_-2.5_3.3_45.2_31.5_8.csv,28,8,"[-2.5, 3.3, 45.2, 31.5]","[-9.294584924627813, 0.27034972724725204, 39.345067922905734, -35.35244141552534]",0,3.145726812466687e6
sphere3D_-2.9_-37.6_15.3_5.3_36.csv,120,36,"[-2.9, -37.6, 15.3, 5.3]","[-2.5236608899249746, -36.96568493251058, 15.757490119774477, -6.512056715970521]",0,11764.683609435473
sphere3D_-20.1_23.2_-45.8_37.3_11.csv,36,11,"[-20.1, 23.2, -45.8, 37.3]","[-29.356576633592866, 19.228494395395742, -43.55364123119468, -42.09424224602366]",0,3.9300889542155233e6
sphere3D_-21.5_-17.9_-48.6_14.2_35.csv,116,35,"[-21.5, -17.9, -48.6, 14.2]","[-21.500000000003663, -17.900000000020157, -48.599999999986956, -14.199999999993162]",7,6.686782955803342e-18
sphere3D_-21.5_20.2_-25.6_8.4_35.csv,117,35,"[-21.5, 20.2, -25.6, 8.4]","[-20.817539877482634, 19.099414576030576, -24.304340026771104, -9.902113809912107]",0,36197.537951185026
sphere3D_-23.5_21.1_34.4_36.2_40.csv,134,40,"[-23.5, 21.1, 34.4, 36.2]","[-23.500000000001137, 21.100000000000957, 34.399999999999594, -36.199999999998596]",5,8.067855956711319e-19
sphere3D_-24.6_-9.1_-15.0_21.1_18.csv,61,18,"[-24.6, -9.1, -15.0, 21.1]","[-24.600000000000236, -9.100000000000394, -14.999999999999732, -21.099999999999994]",6,2.531424706005152e-21
sphere3D_-24.9_-16.6_-13.4_23.3_35.csv,116,35,"[-24.9, -16.6, -13.4, 23.3]","[-24.899999999999956, -16.6, -13.4, -23.300000000000033]",7,1.7355283227128212e-22
sphere3D_-26.6_-0.1_16.0_15.4_33.csv,111,33,"[-26.6, -0.1, 16.0, 15.4]","[-28.66134712393622, -0.9988411517895082, 17.307829707041105, -17.533453941177807]",0,410641.09224257723
sphere3D_-26.9_11.9_1.6_46.5_39.csv,130,39,"[-26.9, 11.9, 1.6, 46.5]","[-26.899999999999977, 11.900000000000006, 1.5999999999999965, 46.500000000000036]",6,8.166340597429766e-22
sphere3D_-26.9_18.6_29.7_14.6_44.csv,148,44,"[-26.9, 18.6, 29.7, 14.6]","[-27.695010818353847, 17.54344479262784, 29.134731740615397, -16.545101615426887]",0,407936.8547499356
sphere3D_-27.6_-18.8_37.3_28.2_28.csv,92,28,"[-27.6, -18.8, 37.3, 28.2]","[-30.86760297808389, -23.937816893185225, 35.26467284738231, -32.95793153845812]",0,5.996706552951649e6
sphere3D_-28.6_15.1_12.5_6.0_33.csv,109,33,"[-28.6, 15.1, 12.5, 6.0]","[-30.765202525829764, 14.625273118385348, 12.89065965715898, -6.996871926711621]",0,10271.487830111024
sphere3D_-28.8_19.2_-33.5_28.0_18.csv,59,18,"[-28.8, 19.2, -33.5, 28.0]","[-20.604809918823268, 28.191437141397596, -39.014141418371466, -36.63352806057157]",0,3.6361412186088497e6
sphere3D_-29.0_27.5_-16.3_10.3_38.csv,128,38,"[-29.0, 27.5, -16.3, 10.3]","[-29.608576593219986, 28.93937513047805, -16.624158636044136, -12.522572914645739]",0,197302.40193603004
sphere3D_-29.3_33.7_38.4_37.0_40.csv,132,40,"[-29.3, 33.7, 38.4, 37.0]","[-29.30000000000072, 33.700000000000756, 38.39999999999953, -36.99999999999921]",6,2.9796994708478385e-19
sphere3D_-29.8_-22.5_31.9_19.7_31.csv,103,31,"[-29.8, -22.5, 31.9, 19.7]","[-29.799999999999677, -22.500000000000036, 31.899999999999952, -19.700000000000657]",6,4.0589759120325604e-20
sphere3D_-29.8_-33.0_-49.3_24.3_36.csv,120,36,"[-29.8, -33.0, -49.3, 24.3]","[-29.800000000000004, -33.0, -49.3, -24.30000000000001]",7,3.082540251467142e-23
sphere3D_-29.9_9.3_13.1_23.5_10.csv,33,10,"[-29.9, 9.3, 13.1, 23.5]","[-32.0414901501312, 11.732962548076314, 10.564196830270296, -26.94489709604539]",0,776366.7463835906
sphere3D_-3.5_-49.7_0.5_12.1_37.csv,123,37,"[-3.5, -49.7, 0.5, 12.1]","[-3.500000000520363, -49.699999999837445, 0.499999999867417, -12.09999999944095]",5,1.1333022964677515e-14
sphere3D_-32.4_12.3_-7.8_33.9_17.csv,58,17,"[-32.4, 12.3, -7.8, 33.9]","[-32.399999999998236, 12.30000000000056, -7.800000000000472, -33.90000000000234]",7,8.579455274854062e-19
sphere3D_-32.6_18.8_28.9_38.6_41.csv,136,41,"[-32.6, 18.8, 28.9, 38.6]","[-32.59999999999978, 18.799999999999972, 28.900000000000006, 38.60000000000026]",6,2.780536609824032e-20
sphere3D_-32.7_16.8_46.5_20.4_25.csv,83,25,"[-32.7, 16.8, 46.5, 20.4]","[-42.10343470942617, 11.812328177147183, 47.31059826782297, -24.75193170400038]",0,1.3067321422902218e6
sphere3D_-34.6_7.2_17.2_37.8_44.csv,145,44,"[-34.6, 7.2, 17.2, 37.8]","[-34.59999999999984, 7.200000000000128, 17.19999999999991, 37.80000000000002]",6,4.787979879398347e-21
sphere3D_-35.6_25.3_-11.5_27.8_22.csv,74,22,"[-35.6, 25.3, -11.5, 27.8]","[-37.7762085265126, 17.47530491674875, -9.798622214155158, -33.189094959032275]",0,3.5863004128876855e6
sphere3D_-35.9_-28.3_42.1_21.4_27.csv,89,27,"[-35.9, -28.3, 42.1, 21.4]","[-32.521864148969605, -17.858671128219207, 34.58235987972169, -30.34157960986293]",0,3.061537003601529e6
sphere3D_-38.1_23.9_8.2_14.3_24.csv,80,24,"[-38.1, 23.9, 8.2, 14.3]","[-40.77391042333962, 22.953916432387768, 6.492665223231001, -17.325448235833885]",0,510408.8766800697
sphere3D_-39.4_1.2_37.7_24.8_22.csv,75,22,"[-39.4, 1.2, 37.7, 24.8]","[-40.92713171498862, 4.666314351642078, 33.58526877207961, -28.92903764080249]",0,2.096559279336875e6
sphere3D_-39.8_4.5_22.5_46.8_10.csv,32,10,"[-39.8, 4.5, 22.5, 46.8]","[-39.80000000000001, 4.50000000000004, 22.499999999999975, -46.800000000000004]",7,9.181704799338607e-23
sphere3D_-40.1_-38.7_5.3_27.7_39.csv,130,39,"[-40.1, -38.7, 5.3, 27.7]","[-48.534109857242704, -34.21581941000045, 6.375455770664668, -33.54380216448742]",0,9.359604641366743e6
sphere3D_-41.2_49.2_10.8_7.5_38.csv,125,38,"[-41.2, 49.2, 10.8, 7.5]","[-40.5048877041901, 48.54052953013275, 12.643638142272893, -9.233887806937407]",0,24753.2554516218
sphere3D_-42.3_38.3_-30.0_2.2_20.csv,67,20,"[-42.3, 38.3, -30.0, 2.2]","[-42.01375791070349, 38.63474795865532, -30.007626400126995, -2.551607325422484]",0,70.47889065269968
sphere3D_-43.1_-3.3_-20.2_20.6_12.csv,40,12,"[-43.1, -3.3, -20.2, 20.6]","[-42.75980229500695, -6.89573502113918, -17.07032703250295, -25.241185503491717]",0,889544.6871880804
sphere3D_-43.8_10.9_18.7_21.5_10.csv,34,10,"[-43.8, 10.9, 18.7, 21.5]","[-51.41747480655107, 8.938285395669146, 18.136818030263548, -24.161040070588367]",0,219413.53625124297
sphere3D_-43.8_19.7_24.4_45.0_7.csv,22,7,"[-43.8, 19.7, 24.4, 45.0]","[-29.121775438679638, 18.56205039519479, 14.18484651738969, 54.02304979802434]",0,3.3183570067007807e6
sphere3D_-44.4_7.2_-34.8_32.4_28.csv,94,28,"[-44.4, 7.2, -34.8, 32.4]","[-44.39999999999984, 7.200000000000015, -34.80000000000001, -32.40000000000023]",6,1.2443122858270342e-20
