1,2,3,4,5,6,7
sphere3D_-0.9_16.5_17.8_36.7_10.csv,32,10,"[-0.9, 16.5, 17.8, 36.7]","[-0.9000000000001304, 16.49999999999982, 17.80000000000011, 36.70000000000012]",8,3.1686187339609416e-21
sphere3D_-1.2_7.7_-12.8_45.2_19.csv,64,19,"[-1.2, 7.7, -12.8, 45.2]","[-1.2000000000000048, 7.7, -12.799999999999999, 45.2]",8,6.979336418416171e-24
sphere3D_-1.4_34.6_37.1_21.5_39.csv,129,39,"[-1.4, 34.6, 37.1, 21.5]","[-1.3999999999999964, 34.6, 37.1, -21.5]",7,1.2052280018839036e-24
sphere3D_-11.3_-26.5_-21.7_16.0_24.csv,81,24,"[-11.3, -26.5, -21.7, 16.0]","[-11.299999999999988, -26.500000000000014, -21.69999999999999, -16.000000000000007]",7,3.491283796341978e-24
sphere3D_-11.7_-28.5_-22.6_23.0_19.csv,64,19,"[-11.7, -28.5, -22.6, 23.0]","[-11.699999999999855, -28.50000000000008, -22.599999999999937, -23.000000000000487]",6,2.0584518790352805e-20
sphere3D_-12.3_17.3_-42.1_48.4_31.csv,104,31,"[-12.3, 17.3, -42.1, 48.4]","[-17.11093174974471, 11.901511757318476, -47.94332038375861, 57.009687054105655]",0,5.560742406250675e7
sphere3D_-13.5_3.0_46.1_35.4_22.csv,74,22,"[-13.5, 3.0, 46.1, 35.4]","[-13.499999999999998, 2.9999999999999996, 46.1, -35.4]",9,3.825710333057753e-24
sphere3D_-15.4_5.3_45.0_35.8_14.csv,46,14,"[-15.4, 5.3, 45.0, 35.8]","[-15.399999999999997, 5.300000000000001, 45.0, -35.8]",8,1.6543612251060553e-24
sphere3D_-15.9_-22.3_-8.0_40.0_41.csv,136,41,"[-15.9, -22.3, -8.0, 40.0]","[-15.90000000000002, -22.30000000000003, -7.999999999999989, 39.999999999999936]",6,2.104037285605195e-21
sphere3D_-16.0_13.0_-33.0_20.9_16.csv,55,16,"[-16.0, 13.0, -33.0, 20.9]","[-15.999999999999847, 12.999999999999947, -32.999999999999986, -20.90000000000008]",6,5.205486368887417e-22
